nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
SÃO PAULO;São Paulo Futebol Clube;São Paulo;SP;São Paulo;-23.5329;-46.6395;1930-01-01T00:00:00Z;3550308
CORINTHIANS PAULISTA;Sport Club Corinthians Paulista;São Paulo;SP;São Paulo;-23.5329;-46.6395;1910-01-01T00:00:00Z;3550308
FLAMENGO;Clube de Regatas do Flamengo;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1895-11-15T00:00:00Z;3304557
NÁUTICO CAPIBARIBE;Clube Náutico Capibaribe;Pernambuco;PE;Recife;-8.04666;-34.8771;1901-01-01T00:00:00Z;2611606
INTERNACIONAL;Sport Club Internacional;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1909-04-04T00:00:00Z;4314902
INTERNACIONAL B;Sport Club Internacional;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1909-04-04T00:00:00Z;4314902
INTERNACIONAL SUB23;Sport Club Internacional;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1909-04-04T00:00:00Z;4314902
SANTOS;Santos Futebol Clube;São Paulo;SP;Santos;-23.9535;-46.335;1912-04-14T00:00:00Z;3548500
BOTAFOGO;Botafogo de Futebol e Regatas;Rio de Janeiro;RJ;Rio de Janeiro;-22.95456749;-43.177563068;1904-08-12T00:00:00Z;3304557
PONTE PRETA;Associação Atlética Ponte Preta;São Paulo;SP;Campinas;-22.9053;-47.0659;1900-01-01T00:00:00Z;3509502
GRÊMIO;Grêmio Foot-Ball Porto Alegrense;Rio Grande do Sul;RS;Porto Alegre;-29.9740266;-51.1949496;1903-09-15T00:00:00Z;4314902
GRÊMIO B;Grêmio Foot-Ball Porto Alegrense;Rio Grande do Sul;RS;Porto Alegre;-29.9740266;-51.1949496;1903-09-15T00:00:00Z;4314902
GRÊMIO SUB23;Grêmio Foot-Ball Porto Alegrense;Rio Grande do Sul;RS;Porto Alegre;-29.9740266;-51.1949496;1903-09-15T00:00:00Z;4314902
FORTALEZA;Fortaleza Esporte Clube;Ceará;CE;Fortaleza;-3.71664;-38.5423;1918-01-01T00:00:00Z;2304400
BAHIA;Esporte Clube Bahia;Bahia;BA;Salvador;-12.9718;-38.5011;1931-01-01T00:00:00Z;2927408
ATLÉTICO GOIANIENSE;Atlético Clube Goianiense;Goiás;GO;Goiânia;-16.6864;-49.2643;1937-01-01T00:00:00Z;5208707
GRÊMIO BARUERI;Grêmio Barueri;São Paulo;SP;Barueri;-23.5057;-46.879;1989-01-01T00:00:00Z;3505708
CRUZEIRO;Cruzeiro Esporte Clube;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1921-01-01T00:00:00Z;3106200
PORTUGUESA;Associação Portuguesa de Desportos;São Paulo;SP;São Paulo;-23.5329;-46.6395;1920-01-01T00:00:00Z;3550308
FIGUEIRENSE;Figueirense Futebol Clube;Santa Catarina;SC;Florianópolis;-27.5945;-48.5477;1921-01-01T00:00:00Z;4205407
SPORT;Sport Club do Recife;Pernambuco;PE;Recife;-8.04666;-34.8771;1905-01-01T00:00:00Z;2611606
RED BULL BRAGANTINO;Red Bull Bragantino;São Paulo;SP;Bragança Paulista;-22.9527;-46.5419;1928-01-01T00:00:00Z;3507605
RED BULL BRASIL;Red Bull Bragantino;São Paulo;SP;Campinas;-22.9053;-47.0659;1900-01-01T00:00:00Z;3509502
ATHLETICO PARANAENSE;Club Athletico Paranaense;Paraná;PR;Curitiba;-25.4195;-49.2646;1924-01-01T00:00:00Z;4106902
SANTA CRUZ;Santa Cruz Futebol Clube;Pernambuco;PE;Recife;-8.04666;-34.8771;1914-01-01T00:00:00Z;2611606
NACIONAL;Nacional Futebol Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1913-01-01T00:00:00Z;1302603
BRASILIENSE;Brasiliense Futebol Clube;Tocantins;TO;Taguatinga;-12.4026;-46.437;2000-01-01T00:00:00Z;1720903
ENTRERRIENSE;Entrerriense Futebol Clube;Rio de Janeiro;RJ;Três Rios;-22.1165;-43.2185;1925-01-01T00:00:00Z;3306008
JATAIENSE;Associação Esportiva Jataiense;Goiás;GO;Jataí;-17.8784;-51.7204;1952-01-01T00:00:00Z;5211909
PARANÁ;Associação Desportiva Atlética do Paraná;Paraná;PR;Campo Mourão;-24.0463;-52.378;1999-01-01T00:00:00Z;4104303
ATLÉTICO MINEIRO;Clube Atlético Mineiro;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1908-03-25T00:00:00Z;3106200
VITÓRIA;Esporte Clube Vitória;Bahia;BA;Salvador;-12.9718;-38.5011;1899-01-01T00:00:00Z;2927408
PALMEIRAS;Sociedade Esportiva Palmeiras;São Paulo;SP;São Paulo;-23.5329;-46.6395;1914-01-01T00:00:00Z;3550308
FLUMINENSE;Fluminense Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1902-07-21T00:00:00Z;3304557
IPATINGA;Ipatinga Futebol Clube;Minas Gerais;MG;Ipatinga;-19.4703;-42.5476;1998-01-01T00:00:00Z;3131307
ATLÉTICO YPIRANGA;Clube Atlético Ypiranga;Paraíba;PB;Paulista;-6.59138;-37.6185;1906-01-01T00:00:00Z;2510907
MANCHETE RECIFE;Manchete Futebol Clube do Recife;Pernambuco;PE;Recife;-8.04666;-34.8771;1950-01-01T00:00:00Z;2611606
AVAÍ;Avaí Futebol Clube;Santa Catarina;SC;Florianópolis;-27.5945;-48.5477;1923-09-01T00:00:00Z;4205407
CANTO DO RIO;Canto do Rio Foot-Ball Club;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;1913-01-01T00:00:00Z;3303302
CALOUROS DO AR;Calouros do Ar Futebol Clube;Ceará;CE;Fortaleza;-3.71664;-38.5423;1952-01-01T00:00:00Z;2304400
BARRA DO GARÇAS;Barra do Garças Futebol Clube;Mato Grosso;MT;Barra do Garças;-15.8804;-52.264;1978-01-01T00:00:00Z;5101803
PALMEIRAS;Associação Atlética das Palmeiras;Paraná;PR;Palmeira;-25.4257;-50.007;1902-01-01T00:00:00Z;4117701
INTER DE LIMEIRA;Associação Atlética Internacional (Limeira);São Paulo;SP;Limeira;-22.566;-47.397;1913-01-01T00:00:00Z;3526902
SÃO CAETANO;Associação Desportiva São Caetano;São Paulo;SP;São Caetano do Sul;-23.6229;-46.5548;1989-01-01T00:00:00Z;3548807
AMÉRICA;América Futebol Clube;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1912-04-30T00:00:00Z;3106200
BACABAL;Bacabal Esporte Clube;Maranhão;MA;Bacabal;-4.22447;-44.7832;1974-01-01T00:00:00Z;2101202
AMERICA;America Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-09-18T00:00:00Z;3304557
CORITIBA;Coritiba Foot Ball Club;Paraná;PR;Curitiba;-25.4195;-49.2646;1909-01-01T00:00:00Z;4106902
AMÉRICA GOIÁS;América Futebol Clube (Goiás);Goiás;GO;Morrinhos;-17.7334;-49.1059;1937-01-01T00:00:00Z;5213806
AMÉRICA RIO GRANDE DO NORTE;América Futebol Clube (Rio Grande do Norte);Rio Grande do Norte;RN;Natal;-5.79357;-35.1986;1915-01-01T00:00:00Z;2408102
BRASILIS;Brasilis Futebol Clube;São Paulo;SP;Águas de Lindóia;-22.4733;-46.6314;2007-01-01T00:00:00Z;3500501
SÃO BERNARDO;São Bernardo Futebol Clube;São Paulo;SP;São Bernardo do Campo;-23.6914;-46.5646;2004-12-20T00:00:00Z;3548708
CRICIÚMA;Criciúma Esporte Clube;Santa Catarina;SC;Criciúma;-28.6723;-49.3729;1947-01-01T00:00:00Z;4204608
