estado;divisao;ano;data;mandante;visitante;placar;gols_mandante;gols_visitante;resultado;peso_importancia
acre;2;2025;2025-08-12;São Francisco FC;Náuas;1-0;1;0;H;1.5
acre;2;2025;2025-08-14;Santa Cruz-AC;Atlético-AC;1-1;1;1;D;1.5
acre;2;2025;2025-08-16;Plácido de Castro;Andirá-AC;1-3;1;3;A;1.5
acre;2;2025;2025-08-19;Santa Cruz-AC;São Francisco FC;4-0;4;0;H;1.5
acre;2;2025;2025-08-21;Plácido de Castro;Náuas;1-0;1;0;H;1.5
acre;2;2025;2025-08-23;Andirá-AC;Atlético-AC;1-3;1;3;A;1.5
acre;2;2025;2025-08-26;Plácido de Castro;Santa Cruz-AC;0-8;0;8;A;1.5
acre;2;2025;2025-08-28;Náuas;Andirá-AC;1-4;1;4;A;1.5
acre;2;2025;2025-08-30;Atlético-AC;São Francisco FC;0-3;0;3;A;1.5
acre;2;2025;2025-09-02;Andirá-AC;Santa Cruz-AC;1-1;1;1;D;1.5
acre;2;2025;2025-09-04;São Francisco FC;Plácido de Castro;3-0;3;0;H;1.5
acre;2;2025;2025-09-06;Náuas;Atlético-AC;1-4;1;4;A;1.5
acre;2;2025;2025-09-09;São Francisco FC;Andirá-AC;4-0;4;0;H;1.5
acre;2;2025;2025-09-11;Atlético-AC;Plácido de Castro;7-0;7;0;H;1.5
acre;2;2025;2025-09-13;Santa Cruz-AC;Náuas;8-0;8;0;H;1.5
acre;2;2025;2025-09-18;Andirá-AC;São Francisco FC;1-2;1;2;A;1.5
acre;2;2025;2025-09-20;Atlético-AC;Santa Cruz-AC;0-1;0;1;A;1.5
acre;2;2025;2025-09-25;São Francisco FC;Andirá-AC;2-0;2;0;H;1.5
acre;2;2025;2025-09-27;Santa Cruz-AC;Atlético-AC;1-1;1;1;D;1.5
acre;2;2025;2025-10-04;Santa Cruz-AC;São Francisco FC;1-0;1;0;H;1.5
acre;2;2025;2025-10-11;São Francisco FC;Santa Cruz-AC;1-0(2-4 Pen.);1;0;H;1.5
acre;1;2025;2025-01-25;Rio Branco-AC;São Francisco FC;2-0;2;0;H;2.0
acre;1;2025;2025-01-25;Galvez EC;Plácido de Castro;3-2;3;2;H;2.0
acre;1;2025;2025-01-27;SC Humaitá;ADESG;1-1;1;1;D;2.0
acre;1;2025;2025-01-27;Independência-AC;Vasco da Gama-AC;0-3;0;3;A;2.0
acre;1;2025;2025-02-01;ADESG;Plácido de Castro;6-2;6;2;H;2.0
acre;1;2025;2025-02-01;Independência-AC;Rio Branco-AC;3-0;3;0;H;2.0
acre;1;2025;2025-02-02;Vasco da Gama-AC;São Francisco FC;1-0;1;0;H;2.0
