estado;divisao;ano;data;mandante;mandante_estado;visitante;visitante_estado;placar;resultado;peso_importancia;gols_mandante;gols_visitante;estado_slug
acre;2;2025;2025-08-12;SÃO FRANCISCO;acre;NÁUAS;acre;1-0;H;1.5;1;0;acre
acre;2;2025;2025-08-14;SANTA CRUZ;acre;ATLÉTICO;acre;1-1;D;1.5;1;1;acre
acre;2;2025;2025-08-16;PLÁCIDO DE CASTRO;acre;ANDIRÁ;acre;1-3;A;1.5;1;3;acre
acre;2;2025;2025-08-19;SANTA CRUZ;acre;SÃO FRANCISCO;acre;4-0;H;1.5;4;0;acre
acre;2;2025;2025-08-21;PLÁCIDO DE CASTRO;acre;NÁUAS;acre;1-0;H;1.5;1;0;acre
acre;2;2025;2025-08-23;ANDIRÁ;acre;ATLÉTICO;acre;1-3;A;1.5;1;3;acre
acre;2;2025;2025-08-26;PLÁCIDO DE CASTRO;acre;SANTA CRUZ;acre;0-8;A;1.5;0;8;acre
acre;2;2025;2025-08-28;NÁUAS;acre;ANDIRÁ;acre;1-4;A;1.5;1;4;acre
acre;2;2025;2025-08-30;ATLÉTICO;acre;SÃO FRANCISCO;acre;0-3;A;1.5;0;3;acre
acre;2;2025;2025-09-02;ANDIRÁ;acre;SANTA CRUZ;acre;1-1;D;1.5;1;1;acre
acre;2;2025;2025-09-04;SÃO FRANCISCO;acre;PLÁCIDO DE CASTRO;acre;3-0;H;1.5;3;0;acre
acre;2;2025;2025-09-06;NÁUAS;acre;ATLÉTICO;acre;1-4;A;1.5;1;4;acre
acre;2;2025;2025-09-09;SÃO FRANCISCO;acre;ANDIRÁ;acre;4-0;H;1.5;4;0;acre
acre;2;2025;2025-09-11;ATLÉTICO;acre;PLÁCIDO DE CASTRO;acre;7-0;H;1.5;7;0;acre
acre;2;2025;2025-09-13;SANTA CRUZ;acre;NÁUAS;acre;8-0;H;1.5;8;0;acre
acre;2;2025;2025-09-18;ANDIRÁ;acre;SÃO FRANCISCO;acre;1-2;A;1.5;1;2;acre
acre;2;2025;2025-09-20;ATLÉTICO;acre;SANTA CRUZ;acre;0-1;A;1.5;0;1;acre
acre;2;2025;2025-09-25;SÃO FRANCISCO;acre;ANDIRÁ;acre;2-0;H;1.5;2;0;acre
acre;2;2025;2025-09-27;SANTA CRUZ;acre;ATLÉTICO;acre;1-1;D;1.5;1;1;acre
acre;2;2025;2025-10-04;SANTA CRUZ;acre;SÃO FRANCISCO;acre;1-0;H;1.5;1;0;acre
acre;2;2025;2025-10-11;SÃO FRANCISCO;acre;SANTA CRUZ;acre;1-0(2-4 Pen.);H;1.5;1;0;acre
acre;1;2025;2025-01-25;RIO BRANCO;acre;SÃO FRANCISCO;acre;2-0;H;2.0;2;0;acre
acre;1;2025;2025-01-25;GALVEZ;acre;PLÁCIDO DE CASTRO;acre;3-2;H;2.0;3;2;acre
acre;1;2025;2025-01-27;HUMAITÁ;acre;ADESG;acre;1-1;D;2.0;1;1;acre
acre;1;2025;2025-01-27;INDEPENDÊNCIA;acre;VASCO DA GAMA;acre;0-3;A;2.0;0;3;acre
acre;1;2025;2025-02-01;ADESG;acre;PLÁCIDO DE CASTRO;acre;6-2;H;2.0;6;2;acre
acre;1;2025;2025-02-01;INDEPENDÊNCIA;acre;RIO BRANCO;acre;3-0;H;2.0;3;0;acre
acre;1;2025;2025-02-02;VASCO DA GAMA;acre;SÃO FRANCISCO;acre;1-0;H;2.0;1;0;acre
acre;1;2025;2025-02-02;GALVEZ;acre;HUMAITÁ;acre;2-2;D;2.0;2;2;acre
acre;1;2025;2025-02-08;VASCO DA GAMA;acre;GALVEZ;acre;1-0;H;2.0;1;0;acre
acre;1;2025;2025-02-08;RIO BRANCO;acre;ADESG;acre;0-1;A;2.0;0;1;acre
acre;1;2025;2025-02-09;INDEPENDÊNCIA;acre;SÃO FRANCISCO;acre;5-0;H;2.0;5;0;acre
acre;1;2025;2025-02-09;HUMAITÁ;acre;PLÁCIDO DE CASTRO;acre;1-1;D;2.0;1;1;acre
acre;1;2025;2025-02-15;VASCO DA GAMA;acre;HUMAITÁ;acre;2-1;H;2.0;2;1;acre
acre;1;2025;2025-02-15;INDEPENDÊNCIA;acre;ADESG;acre;1-1;D;2.0;1;1;acre
acre;1;2025;2025-02-16;SÃO FRANCISCO;acre;PLÁCIDO DE CASTRO;acre;3-2;H;2.0;3;2;acre
acre;1;2025;2025-02-16;RIO BRANCO;acre;GALVEZ;acre;1-6;A;2.0;1;6;acre
acre;1;2025;2025-02-22;HUMAITÁ;acre;RIO BRANCO;acre;3-2;H;2.0;3;2;acre
acre;1;2025;2025-02-23;ADESG;acre;SÃO FRANCISCO;acre;1-0;H;2.0;1;0;acre
acre;1;2025;2025-02-23;PLÁCIDO DE CASTRO;acre;VASCO DA GAMA;acre;1-1;D;2.0;1;1;acre
acre;1;2025;2025-02-25;GALVEZ;acre;INDEPENDÊNCIA;acre;0-0;D;2.0;0;0;acre
acre;1;2025;2025-03-08;ADESG;acre;VASCO DA GAMA;acre;0-2;A;2.0;0;2;acre
acre;1;2025;2025-03-09;PLÁCIDO DE CASTRO;acre;RIO BRANCO;acre;0-5;A;2.0;0;5;acre
acre;1;2025;2025-03-09;SÃO FRANCISCO;acre;GALVEZ;acre;0-1;A;2.0;0;1;acre
acre;1;2025;2025-03-11;HUMAITÁ;acre;INDEPENDÊNCIA;acre;0-0;D;2.0;0;0;acre
acre;1;2025;2025-03-15;PLÁCIDO DE CASTRO;acre;INDEPENDÊNCIA;acre;0-3;A;2.0;0;3;acre
acre;1;2025;2025-03-15;VASCO DA GAMA;acre;RIO BRANCO;acre;3-3;D;2.0;3;3;acre
acre;1;2025;2025-03-16;ADESG;acre;GALVEZ;acre;3-2;H;2.0;3;2;acre
acre;1;2025;2025-03-16;SÃO FRANCISCO;acre;HUMAITÁ;acre;0-4;A;2.0;0;4;acre
acre;1;2025;2025-03-22;VASCO DA GAMA;acre;GALVEZ;acre;1-1(4-5 Pen.);D;2.0;1;1;acre
acre;1;2025;2025-03-22;ADESG;acre;INDEPENDÊNCIA;acre;0-0(3-4 Pen.);D;2.0;0;0;acre
acre;1;2025;2025-03-29;GALVEZ;acre;INDEPENDÊNCIA;acre;1-3;A;2.0;1;3;acre
acre;1;2024;2024-02-17;ANDIRÁ;acre;ADESG;acre;0-0;D;2.0;0;0;acre
acre;1;2024;2024-02-17;NÁUAS;acre;GALVEZ;acre;2-2;D;2.0;2;2;acre
acre;1;2024;2024-02-25;INDEPENDÊNCIA;acre;VASCO DA GAMA;acre;2-1;H;2.0;2;1;acre
acre;1;2024;2024-02-25;ATLÉTICO;acre;RIO BRANCO;acre;0-3;A;2.0;0;3;acre
acre;1;2024;2024-03-03;PLÁCIDO DE CASTRO;acre;NÁUAS;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-03-03;SÃO FRANCISCO;acre;HUMAITÁ;acre;1-2;A;2.0;1;2;acre
acre;1;2024;2024-03-06;ATLÉTICO;acre;ANDIRÁ;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-03-06;GALVEZ;acre;SÃO FRANCISCO;acre;0-0;D;2.0;0;0;acre
acre;1;2024;2024-03-10;RIO BRANCO;acre;VASCO DA GAMA;acre;2-0;H;2.0;2;0;acre
acre;1;2024;2024-03-10;ADESG;acre;INDEPENDÊNCIA;acre;0-0;D;2.0;0;0;acre
acre;1;2024;2024-03-16;HUMAITÁ;acre;NÁUAS;acre;4-0;H;2.0;4;0;acre
acre;1;2024;2024-03-16;RIO BRANCO;acre;ANDIRÁ;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-03-19;VASCO DA GAMA;acre;ADESG;acre;2-1;H;2.0;2;1;acre
acre;1;2024;2024-03-19;ATLÉTICO;acre;INDEPENDÊNCIA;acre;0-0;D;2.0;0;0;acre
acre;1;2024;2024-03-23;ADESG;acre;RIO BRANCO;acre;1-1;D;2.0;1;1;acre
acre;1;2024;2024-03-23;PLÁCIDO DE CASTRO;acre;GALVEZ;acre;1-2;A;2.0;1;2;acre
acre;1;2024;2024-03-26;NÁUAS;acre;SÃO FRANCISCO;acre;0-2;A;2.0;0;2;acre
acre;1;2024;2024-03-26;HUMAITÁ;acre;PLÁCIDO DE CASTRO;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-03-30;VASCO DA GAMA;acre;ATLÉTICO;acre;4-0;H;2.0;4;0;acre
acre;1;2024;2024-03-30;ANDIRÁ;acre;INDEPENDÊNCIA;acre;1-3;A;2.0;1;3;acre
acre;1;2024;2024-04-02;ANDIRÁ;acre;VASCO DA GAMA;acre;1-5;A;2.0;1;5;acre
acre;1;2024;2024-04-02;GALVEZ;acre;HUMAITÁ;acre;0-4;A;2.0;0;4;acre
acre;1;2024;2024-04-05;ADESG;acre;ATLÉTICO;acre;2-0;H;2.0;2;0;acre
acre;1;2024;2024-04-06;SÃO FRANCISCO;acre;PLÁCIDO DE CASTRO;acre;2-1;H;2.0;2;1;acre
acre;1;2024;2024-04-06;INDEPENDÊNCIA;acre;RIO BRANCO;acre;2-2;D;2.0;2;2;acre
acre;1;2024;2024-04-10;ATLÉTICO;acre;PLÁCIDO DE CASTRO;acre;0-4;A;2.0;0;4;acre
acre;1;2024;2024-04-10;SÃO FRANCISCO;acre;HUMAITÁ;acre;1-1;D;2.0;1;1;acre
acre;1;2024;2024-04-11;RIO BRANCO;acre;GALVEZ;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-04-11;VASCO DA GAMA;acre;INDEPENDÊNCIA;acre;0-2;A;2.0;0;2;acre
acre;1;2024;2024-04-14;HUMAITÁ;acre;INDEPENDÊNCIA;acre;2-1;H;2.0;2;1;acre
acre;1;2024;2024-04-14;SÃO FRANCISCO;acre;GALVEZ;acre;1-2;A;2.0;1;2;acre
acre;1;2024;2024-04-15;RIO BRANCO;acre;VASCO DA GAMA;acre;3-3;D;2.0;3;3;acre
acre;1;2024;2024-04-17;GALVEZ;acre;INDEPENDÊNCIA;acre;1-1;D;2.0;1;1;acre
acre;1;2024;2024-04-18;SÃO FRANCISCO;acre;RIO BRANCO;acre;0-1;A;2.0;0;1;acre
acre;1;2024;2024-04-18;HUMAITÁ;acre;VASCO DA GAMA;acre;1-1;D;2.0;1;1;acre
acre;1;2024;2024-04-21;GALVEZ;acre;HUMAITÁ;acre;2-2;D;2.0;2;2;acre
acre;1;2024;2024-04-21;INDEPENDÊNCIA;acre;RIO BRANCO;acre;1-0;H;2.0;1;0;acre
acre;1;2024;2024-04-22;VASCO DA GAMA;acre;SÃO FRANCISCO;acre;4-1;H;2.0;4;1;acre
acre;1;2024;2024-04-25;RIO BRANCO;acre;HUMAITÁ;acre;0-3;A;2.0;0;3;acre
acre;1;2024;2024-04-25;INDEPENDÊNCIA;acre;SÃO FRANCISCO;acre;4-1;H;2.0;4;1;acre
acre;1;2024;2024-04-26;GALVEZ;acre;VASCO DA GAMA;acre;2-3;A;2.0;2;3;acre
acre;1;2023;2023-03-05;HUMAITÁ;acre;ANDIRÁ;acre;6-0;H;2.0;6;0;acre
acre;1;2023;2023-03-05;SÃO FRANCISCO;acre;VASCO DA GAMA;acre;4-1;H;2.0;4;1;acre
acre;1;2023;2023-03-07;ADESG;acre;INDEPENDÊNCIA;acre;0-4;A;2.0;0;4;acre
acre;1;2023;2023-03-07;RIO BRANCO;acre;PLÁCIDO DE CASTRO;acre;1-0;H;2.0;1;0;acre
acre;1;2023;2023-03-11;ATLÉTICO;acre;VASCO DA GAMA;acre;6-1;H;2.0;6;1;acre
acre;1;2023;2023-03-11;GALVEZ;acre;NÁUAS;acre;7-2;H;2.0;7;2;acre
acre;1;2023;2023-03-14;ANDIRÁ;acre;ADESG;acre;1-2;A;2.0;1;2;acre
acre;1;2023;2023-03-14;HUMAITÁ;acre;INDEPENDÊNCIA;acre;2-0;H;2.0;2;0;acre
acre;1;2023;2023-03-18;NÁUAS;acre;SÃO FRANCISCO;acre;1-2;A;2.0;1;2;acre
acre;1;2023;2023-03-18;GALVEZ;acre;ATLÉTICO;acre;1-1;D;2.0;1;1;acre
acre;1;2023;2023-03-21;RIO BRANCO;acre;INDEPENDÊNCIA;acre;0-1;A;2.0;0;1;acre
acre;1;2023;2023-03-21;PLÁCIDO DE CASTRO;acre;HUMAITÁ;acre;1-7;A;2.0;1;7;acre
acre;1;2023;2023-03-25;ANDIRÁ;acre;PLÁCIDO DE CASTRO;acre;1-5;A;2.0;1;5;acre
