estado;divisao;ano;data;mandante;visitante;placar
sergipe;1;2023;2023-01-14;Sergipe;Dorense;1-0
sergipe;1;2023;2023-01-14;Atlético Gloriense;Lagarto-SE;0-0
sergipe;1;2023;2023-01-15;América-SE;Confiança;0-3
sergipe;1;2023;2023-01-15;Falcon FC;Frei Paulistano;3-3
sergipe;1;2023;2023-01-15;Itabaiana;Estanciano;1-0
sergipe;1;2023;2023-01-18;Estanciano;Sergipe;0-1
sergipe;1;2023;2023-01-21;Dorense;Itabaiana;0-1
sergipe;1;2023;2023-01-21;Confiança;Atlético Gloriense;2-1
sergipe;1;2023;2023-01-21;Lagarto-SE;Falcon FC;1-0
sergipe;1;2023;2023-01-22;Frei Paulistano;América-SE;0-0
sergipe;1;2023;2023-01-28;Frei Paulistano;Atlético Gloriense;1-2
sergipe;1;2023;2023-01-28;Falcon FC;Dorense;3-0
sergipe;1;2023;2023-01-29;Estanciano;Lagarto-SE;1-4
sergipe;1;2023;2023-01-29;Itabaiana;Confiança;2-0
sergipe;1;2023;2023-01-30;Sergipe;América-SE;2-0
sergipe;1;2023;2023-02-04;Lagarto-SE;Dorense;4-1
sergipe;1;2023;2023-02-04;Confiança;Estanciano;2-0
sergipe;1;2023;2023-02-05;América-SE;Itabaiana;2-2
sergipe;1;2023;2023-02-05;Atlético Gloriense;Falcon FC;0-1
sergipe;1;2023;2023-02-08;Sergipe;Frei Paulistano;1-0
sergipe;1;2023;2023-02-10;Lagarto-SE;América-SE;2-0
sergipe;1;2023;2023-02-11;Dorense;Frei Paulistano;1-0
sergipe;1;2023;2023-02-11;Itabaiana;Falcon FC;1-0
sergipe;1;2023;2023-02-12;Estanciano;Atlético Gloriense;1-0
sergipe;1;2023;2023-02-12;Confiança;Sergipe;1-0
sergipe;1;2023;2023-02-16;Falcon FC;América-SE;0-0
sergipe;1;2023;2023-02-16;Itabaiana;Lagarto-SE;1-0
sergipe;1;2023;2023-02-18;Dorense;Estanciano;0-1
sergipe;1;2023;2023-02-18;Frei Paulistano;Confiança;0-1
sergipe;1;2023;2023-02-22;Atlético Gloriense;Sergipe;0-0
sergipe;1;2023;2023-02-25;Lagarto-SE;Frei Paulistano;4-0
sergipe;1;2023;2023-02-26;América-SE;Atlético Gloriense;0-0
sergipe;1;2023;2023-02-26;Sergipe;Itabaiana;2-1
sergipe;1;2023;2023-02-27;Confiança;Dorense;3-2
sergipe;1;2023;2023-02-28;Falcon FC;Estanciano;4-1
sergipe;1;2023;2023-03-04;Dorense;Atlético Gloriense;0-0
sergipe;1;2023;2023-03-04;Confiança;Lagarto-SE;2-0
sergipe;1;2023;2023-03-05;Estanciano;América-SE;1-1
sergipe;1;2023;2023-03-05;Itabaiana;Frei Paulistano;1-2
sergipe;1;2023;2023-03-11;Sergipe;Falcon FC;4-1
sergipe;1;2023;2023-03-15;América-SE;Dorense;2-0
sergipe;1;2023;2023-03-15;Falcon FC;Confiança;0-2
sergipe;1;2023;2023-03-15;Frei Paulistano;Estanciano;1-0
sergipe;1;2023;2023-03-15;Atlético Gloriense;Itabaiana;1-0
sergipe;1;2023;2023-03-15;Lagarto-SE;Sergipe;2-2
sergipe;1;2023;2023-03-18;Falcon FC;Itabaiana;1-1
sergipe;1;2023;2023-03-19;Dorense;Frei Paulistano;1-0
sergipe;1;2023;2023-03-19;Estanciano;América-SE;0-3
sergipe;1;2023;2023-03-19;Atlético Gloriense;Lagarto-SE;1-0
sergipe;1;2023;2023-03-25;América-SE;Estanciano;0-2
sergipe;1;2023;2023-03-25;Lagarto-SE;Atlético Gloriense;2-0
sergipe;1;2023;2023-03-25;Frei Paulistano;Dorense;0-1
sergipe;1;2023;2023-03-26;Itabaiana;Falcon FC;"1-1(3-0 Pen.)"
sergipe;1;2023;2023-04-01;Lagarto-SE;Confiança;0-0
sergipe;1;2023;2023-04-02;Itabaiana;Sergipe;2-1
sergipe;1;2023;2023-04-08;Sergipe;Itabaiana;"2-1(4-5 Pen.)"
sergipe;1;2023;2023-04-09;Confiança;Lagarto-SE;2-0
sergipe;1;2023;2023-04-16;Itabaiana;Confiança;2-0
sergipe;1;2023;2023-04-22;Confiança;Itabaiana;0-2
sergipe;1;2022;2022-01-15;Sergipe;Falcon FC;2-1
sergipe;1;2022;2022-01-16;Itabaiana;Maruinense;4-0
sergipe;1;2022;2022-01-19;América-SE;Boca Júnior-SE;0-2
sergipe;1;2022;2022-01-22;Frei Paulistano;Confiança;1-2
sergipe;1;2022;2022-01-22;Boca Júnior-SE;Sergipe;0-6
sergipe;1;2022;2022-01-23;Atlético Gloriense;Lagarto-SE;1-2
sergipe;1;2022;2022-01-25;Falcon FC;Itabaiana;0-1
sergipe;1;2022;2022-01-26;Confiança;América-SE;5-0
sergipe;1;2022;2022-01-27;Lagarto-SE;Frei Paulistano;2-0
sergipe;1;2022;2022-01-29;Itabaiana;Boca Júnior-SE;3-0
sergipe;1;2022;2022-01-30;Frei Paulistano;Maruinense;2-1
sergipe;1;2022;2022-01-30;Atlético Gloriense;Falcon FC;1-3
sergipe;1;2022;2022-02-03;Sergipe;Confiança;1-1
sergipe;1;2022;2022-02-04;Falcon FC;América-SE;4-1
sergipe;1;2022;2022-02-05;Boca Júnior-SE;Frei Paulistano;0-1
sergipe;1;2022;2022-02-05;Lagarto-SE;Itabaiana;1-2
sergipe;1;2022;2022-02-07;Confiança;Atlético Gloriense;2-2
sergipe;1;2022;2022-02-09;América-SE;Lagarto-SE;0-1
sergipe;1;2022;2022-02-09;Maruinense;Sergipe;1-1
sergipe;1;2022;2022-02-12;América-SE;Maruinense;6-0
sergipe;1;2022;2022-02-12;Frei Paulistano;Falcon FC;0-2
sergipe;1;2022;2022-02-13;Atlético Gloriense;Boca Júnior-SE;1-0
sergipe;1;2022;2022-02-13;Itabaiana;Confiança;0-0
sergipe;1;2022;2022-02-17;Lagarto-SE;Atlético Gloriense;2-2
sergipe;1;2022;2022-02-19;Confiança;Frei Paulistano;1-0
sergipe;1;2022;2022-02-20;Boca Júnior-SE;América-SE;1-1
sergipe;1;2022;2022-02-20;Maruinense;Itabaiana;0-2
sergipe;1;2022;2022-02-25;Itabaiana;Falcon FC;2-1
sergipe;1;2022;2022-02-26;América-SE;Confiança;0-4
sergipe;1;2022;2022-02-26;Sergipe;Lagarto-SE;2-1
sergipe;1;2022;2022-02-26;Atlético Gloriense;Maruinense;1-0
sergipe;1;2022;2022-03-05;Frei Paulistano;Lagarto-SE;0-2
sergipe;1;2022;2022-03-09;Falcon FC;Sergipe;1-0
sergipe;1;2022;2022-03-12;Maruinense;Frei Paulistano;1-4
sergipe;1;2022;2022-03-12;Lagarto-SE;América-SE;4-1
sergipe;1;2022;2022-03-12;Confiança;Sergipe;1-1
sergipe;1;2022;2022-03-13;Boca Júnior-SE;Itabaiana;0-2
sergipe;1;2022;2022-03-13;Falcon FC;Atlético Gloriense;1-0
sergipe;1;2022;2022-03-16;Sergipe;Boca Júnior-SE;2-1
sergipe;1;2022;2022-03-19;Frei Paulistano;Boca Júnior-SE;4-1
sergipe;1;2022;2022-03-19;América-SE;Falcon FC;0-1
sergipe;1;2022;2022-03-19;Atlético Gloriense;Confiança;0-0
sergipe;1;2022;2022-03-20;Itabaiana;Lagarto-SE;0-0
sergipe;1;2022;2022-03-22;Sergipe;Maruinense;9-0
sergipe;1;2022;2022-03-26;Boca Júnior-SE;Atlético Gloriense;1-3
sergipe;1;2022;2022-03-26;Maruinense;América-SE;0-1
sergipe;1;2022;2022-03-26;Lagarto-SE;Sergipe;0-2
sergipe;1;2022;2022-03-26;Confiança;Itabaiana;2-1
sergipe;1;2022;2022-03-26;Falcon FC;Frei Paulistano;6-0
sergipe;1;2022;2022-03-30;Sergipe;Itabaiana;2-0
sergipe;1;2022;2022-03-31;Confiança;Falcon FC;1-1
sergipe;1;2022;2022-04-02;Itabaiana;Sergipe;1-0
sergipe;1;2022;2022-04-03;Falcon FC;Confiança;1-1
sergipe;1;2022;2022-04-06;Falcon FC;Sergipe;1-2
sergipe;1;2022;2022-04-09;Sergipe;Falcon FC;1-1
sergipe;1;2021;2021-02-20;Confiança;Atlético Gloriense;2-1
sergipe;1;2021;2021-02-20;Lagarto-SE;América de Pedrinhas;3-0
sergipe;1;2021;2021-02-24;Maruinense;Sergipe;1-1
sergipe;1;2021;2021-02-24;Dorense;Itabaiana;0-0
sergipe;1;2021;2021-02-27;Sergipe;Lagarto-SE;1-3
sergipe;1;2021;2021-02-28;Boca Júnior-SE;Frei Paulistano;3-0
sergipe;1;2021;2021-03-02;Atlético Gloriense;Dorense;0-0
sergipe;1;2021;2021-03-03;América de Pedrinhas;Confiança;0-6
sergipe;1;2021;2021-03-03;Frei Paulistano;Maruinense;0-0
sergipe;1;2021;2021-03-03;Itabaiana;Boca Júnior-SE;1-0
sergipe;1;2021;2021-03-06;Dorense;Sergipe;0-3
sergipe;1;2021;2021-03-06;Lagarto-SE;Frei Paulistano;4-1
sergipe;1;2021;2021-03-07;Maruinense;América de Pedrinhas;7-2
sergipe;1;2021;2021-03-07;Boca Júnior-SE;Atlético Gloriense;2-1
sergipe;1;2021;2021-03-10;Sergipe;Boca Júnior-SE;1-1
sergipe;1;2021;2021-03-13;Atlético Gloriense;Lagarto-SE;0-2
sergipe;1;2021;2021-03-17;América de Pedrinhas;Dorense;1-1
sergipe;1;2021;2021-03-17;Confiança;Itabaiana;1-2
sergipe;1;2021;2021-03-20;Itabaiana;Maruinense;2-1
sergipe;1;2021;2021-03-21;Boca Júnior-SE;América de Pedrinhas;2-0
sergipe;1;2021;2021-03-21;Dorense;Frei Paulistano;2-0
sergipe;1;2021;2021-03-23;Maruinense;Atlético Gloriense;5-3
sergipe;1;2021;2021-03-24;Lagarto-SE;Itabaiana;0-2
sergipe;1;2021;2021-03-27;Frei Paulistano;Boca Júnior-SE;1-1
sergipe;1;2021;2021-03-27;Sergipe;Maruinense;3-0
sergipe;1;2021;2021-03-28;América de Pedrinhas;Lagarto-SE;0-3
sergipe;1;2021;2021-03-28;Itabaiana;Dorense;0-0
sergipe;1;2021;2021-03-31;Frei Paulistano;Confiança;1-3
sergipe;1;2021;2021-04-03;Dorense;Atlético Gloriense;2-3
sergipe;1;2021;2021-04-03;Lagarto-SE;Sergipe;2-2
sergipe;1;2021;2021-04-04;Boca Júnior-SE;Itabaiana;1-1
sergipe;1;2021;2021-04-04;Maruinense;Frei Paulistano;0-3
sergipe;1;2021;2021-04-10;Frei Paulistano;Lagarto-SE;0-1
sergipe;1;2021;2021-04-11;Maruinense;Itabaiana;0-2
sergipe;1;2021;2021-04-14;Atlético Gloriense;Boca Júnior-SE;0-0
sergipe;1;2021;2021-04-14;Confiança;Sergipe;2-1
sergipe;1;2021;2021-04-17;Atlético Gloriense;Confiança;1-1
sergipe;1;2021;2021-04-18;Sergipe;Dorense;1-1
sergipe;1;2021;2021-04-21;Confiança;América de Pedrinhas;3-0
sergipe;1;2021;2021-04-24;Dorense;América de Pedrinhas;2-0
sergipe;1;2021;2021-04-24;Itabaiana;Confiança;1-4
sergipe;1;2021;2021-04-27;Boca Júnior-SE;Sergipe;0-1
sergipe;1;2021;2021-04-27;América de Pedrinhas;Maruinense;2-3
sergipe;1;2021;2021-04-28;Confiança;Frei Paulistano;8-0
sergipe;1;2021;2021-04-28;Lagarto-SE;Atlético Gloriense;0-1
sergipe;1;2021;2021-05-01;América de Pedrinhas;Boca Júnior-SE;0-3
sergipe;1;2021;2021-05-01;Frei Paulistano;Dorense;2-0
sergipe;1;2021;2021-05-01;Atlético Gloriense;Maruinense;2-2
sergipe;1;2021;2021-05-01;Sergipe;Confiança;1-1
