estado;divisao;ano;data;mandante;visitante;placar
nacional;0;2020;2020-02-05;Ríver / PI;Bahia / BA;1-0
nacional;0;2020;2020-02-05;São Luiz / RS;América / RN;0-0
nacional;0;2020;2020-02-05;Coruripe / AL;Juventude / RS;0-0
nacional;0;2020;2020-02-05;XV de Piracicaba / SP;Londrina / PR;1-0
nacional;0;2020;2020-02-05;Caxias / RS;Botafogo / RJ;1-1
nacional;0;2020;2020-02-12;Toledo / PR;Náutico / PE;0-2
nacional;0;2020;2020-02-05;Palmas / TO;Paraná / PR;0-2
nacional;0;2020;2020-02-05;Bahia de Feira / BA;Luverdense / MT;3-1
nacional;0;2020;2020-02-12;Brusque / SC;Sport / PE;2-1
nacional;0;2020;2020-02-12;Frei Paulistano / SE;Remo / PA;1-2
nacional;0;2020;2020-02-12;Manaus / AM;Coritiba / PR;1-0
nacional;0;2020;2020-02-12;Gama / DF;Brasil / RS;3-3
nacional;0;2020;2020-02-13;São Raimundo / RR;Cruzeiro / MG;2-2
nacional;0;2020;2020-02-05;Vilhenense / RO;Boa / MG;1-1
nacional;0;2020;2020-02-06;Brasiliense / DF;Paysandu / PA;1-1
nacional;0;2020;2020-02-05;Independente / PA;CRB / AL;2-3
nacional;0;2020;2020-02-26;Moto Club / MA;Fluminense / RJ;2-4
nacional;0;2020;2020-02-12;Atlético / BA;Botafogo / PB;0-0
nacional;0;2020;2020-02-06;Novorizontino / SP;Figueirense / SC;1-2
nacional;0;2020;2020-02-06;Vitória / ES;CSA / AL;2-1
nacional;0;2020;2020-02-19;Boavista / RJ;Chapecoense / SC;0-2
nacional;0;2020;2020-02-12;Caucaia / CE;São José / RS;1-2
nacional;0;2020;2020-02-06;União de Rondonópolis / MT;Atlético Goianiense / GO;0-1
nacional;0;2020;2020-02-05;Operário / MT;Santa Cruz / PE;0-0
nacional;0;2020;2020-02-11;Imperatriz / MA;Vitória / BA;0-0
nacional;0;2020;2020-02-19;Lagarto / SE;Volta Redonda / RJ;1-0
nacional;0;2020;2020-02-12;Bragantino / PA;Ceará / CE;1-2
nacional;0;2020;2020-02-12;Bangu / RJ;Oeste / SP;1-1
nacional;0;2020;2020-02-12;Campinense / PB;Atlético Mineiro / MG;0-0
nacional;0;2020;2020-02-13;Afogados / PE;Atlético / AC;3-0
nacional;0;2020;2020-02-13;Novo Hamburgo / RS;Ponte Preta / SP;1-2
nacional;0;2020;2020-02-12;Galvez / AC;Vila Nova / GO;0-1
nacional;0;2020;2020-02-12;Altos / PI;Vasco da Gama / RJ;1-1
nacional;0;2020;2020-02-05;Aquidauanense / MS;ABC / RN;0-1
