estado;divisao;ano;data;mandante;mandante_estado;visitante;visitante_estado;placar;resultado;peso_importancia;gols_mandante;gols_visitante;estado_slug
regional;0;2025;2025-01-22;CEILÂNDIA;regional;CAPITAL CF;regional;1-1(0-3 Pen.);D;1.0;1;1;regional
regional;0;2025;2025-01-22;GAZIN PORTO VELHO;regional;HUMAITÁ;regional;3-2;H;1.0;3;2;regional
regional;0;2025;2025-01-22;TOCANTINÓPOLIS;regional;GAS;regional;2-1;H;1.0;2;1;regional
regional;0;2025;2025-01-22;VITÓRIA;regional;RIO BRANCO;regional;1-2;A;1.0;1;2;regional
regional;0;2025;2025-01-22;ÁGUIA;regional;INDEPENDÊNCIA;regional;1-1(3-1 Pen.);D;1.0;1;1;regional
regional;0;2025;2025-01-22;UNIÃO RONDONÓPOLIS;regional;UNIÃO ATLÉTICO;regional;3-0;H;1.0;3;0;regional
regional;0;2025;2025-01-22;SÃO RAIMUNDO;regional;TREM;regional;4-1;H;1.0;4;1;regional
regional;0;2025;2025-01-22;OPERÁRIO;regional;LUVERDENSE;regional;0-1;A;1.0;0;1;regional
regional;0;2025;2025-02-04;APARECIDENSE;regional;UNIÃO RONDONÓPOLIS;regional;2-3;A;1.0;2;3;regional
regional;0;2025;2025-02-04;VILA NOVA;regional;LUVERDENSE;regional;1-1(9-8 Pen.);D;1.0;1;1;regional
regional;0;2025;2025-02-05;PAYSANDU;regional;GAZIN PORTO VELHO;regional;1-1(5-4 Pen.);D;1.0;1;1;regional
regional;0;2025;2025-02-05;AMAZONAS;regional;TOCANTINÓPOLIS;regional;5-1;H;1.0;5;1;regional
regional;0;2025;2025-02-06;BRASILIENSE;regional;CAPITAL CF;regional;0-0(5-3 Pen.);D;1.0;0;0;regional
regional;0;2025;2025-02-06;GOIÁS;regional;RIO BRANCO;regional;6-0;H;1.0;6;0;regional
regional;0;2025;2025-02-06;REMO;regional;SÃO RAIMUNDO;regional;1-1(3-4 Pen.);D;1.0;1;1;regional
regional;0;2025;2025-02-06;MANAUS;regional;ÁGUIA;regional;3-2;H;1.0;3;2;regional
regional;0;2025;2025-02-12;UNIÃO RONDONÓPOLIS;regional;GOIÁS;regional;0-2;A;1.0;0;2;regional
regional;0;2025;2025-02-12;SÃO RAIMUNDO;regional;AMAZONAS;regional;2-0;H;1.0;2;0;regional
regional;0;2025;2025-02-13;PAYSANDU;regional;MANAUS;regional;0-0;D;1.0;0;0;regional
