rodada,mandante,estado_m,visitante,estado_v
1,MARANHÃO,maranhao,GUARANI,sao_paulo
1,BRUSQUE,santa_catarina,CAXIAS,rio_grande_do_sul
1,BOTAFOGO,paraiba,BARRA,santa_catarina
1,MARINGÁ,parana,FERROVIÁRIA,sao_paulo
1,ITUANO,sao_paulo,ANÁPOLIS,goias
1,INTER DE LIMEIRA,sao_paulo,FLORESTA,ceara
1,CONFIANÇA,sergipe,AMAZONAS,amazonas
1,VOLTA REDONDA,rio_de_janeiro,PAYSANDU,para
1,SANTA CRUZ,pernambuco,ITABAIANA,sergipe
1,YPIRANGA,rio_grande_do_sul,FIGUEIRENSE,santa_catarina
2,FLORESTA,ceara,SANTA CRUZ,pernambuco
2,FERROVIÁRIA,sao_paulo,BOTAFOGO,paraiba
2,BARRA,santa_catarina,MARANHÃO,maranhao
2,PAYSANDU,para,BRUSQUE,santa_catarina
2,CAXIAS,rio_grande_do_sul,CONFIANÇA,sergipe
2,ANÁPOLIS,goias,INTER DE LIMEIRA,sao_paulo
2,GUARANI,sao_paulo,VOLTA REDONDA,rio_de_janeiro
2,ITABAIANA,sergipe,YPIRANGA,rio_grande_do_sul
2,AMAZONAS,amazonas,ITUANO,sao_paulo
2,FIGUEIRENSE,santa_catarina,MARINGÁ,parana
3,CONFIANÇA,sergipe,SANTA CRUZ,pernambuco
3,INTER DE LIMEIRA,sao_paulo,ITUANO,sao_paulo
3,VOLTA REDONDA,rio_de_janeiro,CAXIAS,rio_grande_do_sul
3,PAYSANDU,para,BARRA,santa_catarina
3,YPIRANGA,rio_grande_do_sul,ANÁPOLIS,goias
3,AMAZONAS,amazonas,MARANHÃO,maranhao
3,GUARANI,sao_paulo,ITABAIANA,sergipe
3,FIGUEIRENSE,santa_catarina,BOTAFOGO,paraiba
3,FLORESTA,ceara,FERROVIÁRIA,sao_paulo
3,MARINGÁ,parana,BRUSQUE,santa_catarina
4,BRUSQUE,santa_catarina,CONFIANÇA,sergipe
4,ITABAIANA,sergipe,PAYSANDU,para
4,BOTAFOGO,paraiba,FLORESTA,ceara
4,MARANHÃO,maranhao,VOLTA REDONDA,rio_de_janeiro
4,SANTA CRUZ,pernambuco,AMAZONAS,amazonas
4,ANÁPOLIS,goias,FIGUEIRENSE,santa_catarina
4,BARRA,santa_catarina,INTER DE LIMEIRA,sao_paulo
4,ITUANO,sao_paulo,MARINGÁ,parana
4,FERROVIÁRIA,sao_paulo,GUARANI,sao_paulo
4,CAXIAS,rio_grande_do_sul,YPIRANGA,rio_grande_do_sul
5,GUARANI,sao_paulo,SANTA CRUZ,pernambuco
5,CONFIANÇA,sergipe,INTER DE LIMEIRA,sao_paulo
5,FERROVIÁRIA,sao_paulo,ANÁPOLIS,goias
5,VOLTA REDONDA,rio_de_janeiro,BRUSQUE,santa_catarina
5,AMAZONAS,amazonas,CAXIAS,rio_grande_do_sul
5,MARINGÁ,parana,ITABAIANA,sergipe
5,PAYSANDU,para,BOTAFOGO,paraiba
5,FIGUEIRENSE,santa_catarina,BARRA,santa_catarina
5,FLORESTA,ceara,MARANHÃO,maranhao
5,YPIRANGA,rio_grande_do_sul,ITUANO,sao_paulo
6,PAYSANDU,para,ANÁPOLIS,goias
6,ITABAIANA,sergipe,FLORESTA,ceara
6,MARANHÃO,maranhao,BOTAFOGO,paraiba
6,VOLTA REDONDA,rio_de_janeiro,FERROVIÁRIA,sao_paulo
6,BARRA,santa_catarina,CAXIAS,rio_grande_do_sul
6,AMAZONAS,amazonas,FIGUEIRENSE,santa_catarina
6,ITUANO,sao_paulo,CONFIANÇA,sergipe
6,BRUSQUE,santa_catarina,YPIRANGA,rio_grande_do_sul
6,MARINGÁ,parana,GUARANI,sao_paulo
6,INTER DE LIMEIRA,sao_paulo,SANTA CRUZ,pernambuco
7,YPIRANGA,rio_grande_do_sul,MARINGÁ,parana
7,SANTA CRUZ,pernambuco,VOLTA REDONDA,rio_de_janeiro
7,FLORESTA,ceara,AMAZONAS,amazonas
7,FIGUEIRENSE,santa_catarina,ITABAIANA,sergipe
7,CAXIAS,rio_grande_do_sul,PAYSANDU,para
7,FERROVIÁRIA,sao_paulo,BRUSQUE,santa_catarina
7,ANÁPOLIS,goias,BARRA,santa_catarina
7,GUARANI,sao_paulo,ITUANO,sao_paulo
7,CONFIANÇA,sergipe,MARANHÃO,maranhao
7,BOTAFOGO,paraiba,INTER DE LIMEIRA,sao_paulo
8,BARRA,santa_catarina,GUARANI,sao_paulo
8,MARANHÃO,maranhao,CAXIAS,rio_grande_do_sul
8,MARINGÁ,parana,SANTA CRUZ,pernambuco
8,BRUSQUE,santa_catarina,ANÁPOLIS,goias
8,AMAZONAS,amazonas,FERROVIÁRIA,sao_paulo
8,INTER DE LIMEIRA,sao_paulo,ITABAIANA,sergipe
8,CONFIANÇA,sergipe,FIGUEIRENSE,santa_catarina
8,VOLTA REDONDA,rio_de_janeiro,YPIRANGA,rio_grande_do_sul
8,PAYSANDU,para,FLORESTA,ceara
8,ITUANO,sao_paulo,BOTAFOGO,paraiba
9,FLORESTA,ceara,CONFIANÇA,sergipe
9,ITABAIANA,sergipe,VOLTA REDONDA,rio_de_janeiro
9,BOTAFOGO,paraiba,MARINGÁ,parana
9,CAXIAS,rio_grande_do_sul,ITUANO,sao_paulo
