rodada,grupo,mandante,visitante
1,A1,MANAUS,GAS
1,A1,MONTE RORAIMA,NACIONAL
1,A1,SÃO RAIMUNDO,MANAUARA
1,A10,JUAZEIRENSE,CSE
1,A10,ASA,JACUIPENSE
1,A10,CSA,ATLÉTICO DE ALAGOINHAS
1,A11,ABECAT OUVIDORENSE,UBERLÂNDIA
1,A11,OPERÁRIO,BETIM FUTEBOL
1,A11,IVINHEMA,CRAC
1,A12,PORTO,RIO BRANCO
1,A12,VITÓRIA,TOMBENSE
1,A12,DEMOCRATA,REAL NOROESTE
1,A13,ÁGUA SANTA,AMERICA
1,A13,POUSO ALEGRE,MADUREIRA
1,A13,PORTUGUESA,PORTUGUESA-SP
1,A14,MARICÁ,VELO CLUBE
1,A14,XV DE PIRACICABA,NOVA IGUAÇU
1,A14,SAMPAIO CORREA,NOROESTE
1,A15,JOINVILLE,SÃO LUIZ
1,A15,CASCAVEL,SANTA CATARINA
1,A15,CIANORTE,GUARANY DE BAGÉ
1,A16,SÃO JOSÉ,BLUMENAU
1,A16,BRASIL,AZURIZ FUTEBOL
1,A16,MARCÍLIO DIAS,SÃO JOSEENSE
1,A2,GUAPORÉ,INDEPENDÊNCIA
1,A2,GALVEZ,ARAGUAÍNA
1,A2,HUMAITÁ,GAZIN PORTO VELHO
1,A3,APARECIDENSE,GAMA
1,A3,INHUMAS,LUVERDENSE
1,A3,BRASILIENSE,PRIMAVERA
1,A4,UNIÃO RONDONÓPOLIS,CAPITAL CF
1,A4,CEILÂNDIA,MIXTO
1,A4,CEOV OPERÁRIO,GOIATUBA
1,A5,AGUIA DE MARABA,TREM
1,A5,TUNA LUSO,IMPERATRIZ
1,A5,ORATÓRIO,TOCANTINÓPOLIS
1,A6,IAPE,MARACANÃ
1,A6,IGUATU,SAMPAIO CORRÊA
1,A6,MOTO CLUB,PARNAHYBA
1,A7,TIROL,PIAUÍ
1,A7,FLUMINENSE,FERROVIÁRIO
1,A7,ATLÉTICO CEARENSE,ALTOS
1,A8,MAGUARY,ABC
1,A8,AMÉRICA,SOUSA
1,A8,LAGUNA,CENTRAL
1,A9,TREZE,RETRÔ
1,A9,DECISÃO,LAGARTO
1,A9,SERRA BRANCA,SERGIPE
2,A1,MANAUARA,MONTE RORAIMA
2,A1,NACIONAL,MANAUS
2,A1,GAS,SÃO RAIMUNDO
2,A10,JACUIPENSE,CSA
2,A10,CSE,ASA
2,A10,ATLÉTICO DE ALAGOINHAS,JUAZEIRENSE
2,A11,BETIM FUTEBOL,ABECAT OUVIDORENSE
2,A11,UBERLÂNDIA,IVINHEMA
2,A11,CRAC,OPERÁRIO
2,A12,REAL NOROESTE,VITÓRIA
2,A12,TOMBENSE,PORTO
2,A12,RIO BRANCO,DEMOCRATA
2,A13,AMERICA,PORTUGUESA
2,A13,MADUREIRA,ÁGUA SANTA
2,A13,PORTUGUESA-SP,POUSO ALEGRE
2,A14,NOROESTE,XV DE PIRACICABA
2,A14,VELO CLUBE,SAMPAIO CORREA
2,A14,NOVA IGUAÇU,MARICÁ
2,A15,SÃO LUIZ,CASCAVEL
2,A15,SANTA CATARINA,CIANORTE
2,A15,GUARANY DE BAGÉ,JOINVILLE
2,A16,AZURIZ FUTEBOL,MARCÍLIO DIAS
2,A16,SÃO JOSEENSE,SÃO JOSÉ
2,A16,BLUMENAU,BRASIL
2,A2,ARAGUAÍNA,GUAPORÉ
2,A2,GAZIN PORTO VELHO,GALVEZ
2,A2,INDEPENDÊNCIA,HUMAITÁ
2,A3,LUVERDENSE,BRASILIENSE
2,A3,GAMA,INHUMAS
2,A3,PRIMAVERA,APARECIDENSE
2,A4,MIXTO,UNIÃO RONDONÓPOLIS
2,A4,GOIATUBA,CEILÂNDIA
2,A4,CAPITAL CF,CEOV OPERÁRIO
2,A5,TOCANTINÓPOLIS,AGUIA DE MARABA
2,A5,IMPERATRIZ,ORATÓRIO
2,A5,TREM,TUNA LUSO
2,A6,SAMPAIO CORRÊA,IAPE
2,A6,MARACANÃ,MOTO CLUB
2,A6,PARNAHYBA,IGUATU
2,A7,PIAUÍ,ATLÉTICO CEARENSE
2,A7,FERROVIÁRIO,TIROL
2,A7,ALTOS,FLUMINENSE
2,A8,CENTRAL,AMÉRICA
2,A8,ABC,LAGUNA
2,A8,SOUSA,MAGUARY
2,A9,LAGARTO,TREZE
2,A9,SERGIPE,DECISÃO
2,A9,RETRÔ,SERRA BRANCA
3,A1,NACIONAL,GAS
3,A1,SÃO RAIMUNDO,MONTE RORAIMA
3,A1,MANAUS,MANAUARA
3,A10,JUAZEIRENSE,JACUIPENSE
3,A10,ATLÉTICO DE ALAGOINHAS,CSE
3,A10,ASA,CSA
3,A11,UBERLÂNDIA,CRAC
3,A11,OPERÁRIO,ABECAT OUVIDORENSE
3,A11,IVINHEMA,BETIM FUTEBOL
3,A12,PORTO,DEMOCRATA
3,A12,VITÓRIA,RIO BRANCO
3,A12,REAL NOROESTE,TOMBENSE
3,A13,AMERICA,PORTUGUESA-SP
3,A13,POUSO ALEGRE,ÁGUA SANTA
3,A13,PORTUGUESA,MADUREIRA
3,A14,MARICÁ,SAMPAIO CORREA
3,A14,NOROESTE,NOVA IGUAÇU
3,A14,XV DE PIRACICABA,VELO CLUBE
3,A15,SÃO LUIZ,SANTA CATARINA
3,A15,CASCAVEL,GUARANY DE BAGÉ
3,A15,CIANORTE,JOINVILLE
3,A16,BLUMENAU,AZURIZ FUTEBOL
3,A16,MARCÍLIO DIAS,SÃO JOSÉ
3,A16,BRASIL,SÃO JOSEENSE
3,A2,GUAPORÉ,HUMAITÁ
3,A2,GALVEZ,INDEPENDÊNCIA
3,A2,GAZIN PORTO VELHO,ARAGUAÍNA
3,A3,INHUMAS,BRASILIENSE
3,A3,APARECIDENSE,LUVERDENSE
3,A3,PRIMAVERA,GAMA
3,A4,CEILÂNDIA,UNIÃO RONDONÓPOLIS
3,A4,CEOV OPERÁRIO,MIXTO
3,A4,CAPITAL CF,GOIATUBA
3,A5,TUNA LUSO,ORATÓRIO
3,A5,TOCANTINÓPOLIS,TREM
3,A5,AGUIA DE MARABA,IMPERATRIZ
3,A6,IGUATU,IAPE
3,A6,MARACANÃ,PARNAHYBA
3,A6,MOTO CLUB,SAMPAIO CORRÊA
3,A7,TIROL,ATLÉTICO CEARENSE
3,A7,ALTOS,FERROVIÁRIO
3,A7,FLUMINENSE,PIAUÍ
3,A8,MAGUARY,LAGUNA
3,A8,CENTRAL,SOUSA
3,A8,AMÉRICA,ABC
3,A9,LAGARTO,RETRÔ
3,A9,SERRA BRANCA,DECISÃO
3,A9,TREZE,SERGIPE
4,A1,MANAUARA,NACIONAL
4,A1,MANAUS,SÃO RAIMUNDO
4,A1,MONTE RORAIMA,GAS
4,A10,CSA,CSE
4,A10,JUAZEIRENSE,ASA
4,A10,JACUIPENSE,ATLÉTICO DE ALAGOINHAS
4,A11,ABECAT OUVIDORENSE,CRAC
4,A11,BETIM FUTEBOL,UBERLÂNDIA
4,A11,IVINHEMA,OPERÁRIO
4,A12,VITÓRIA,PORTO
4,A12,DEMOCRATA,TOMBENSE
4,A12,RIO BRANCO,REAL NOROESTE
4,A13,ÁGUA SANTA,PORTUGUESA-SP
4,A13,MADUREIRA,AMERICA
4,A13,PORTUGUESA,POUSO ALEGRE
4,A14,VELO CLUBE,NOROESTE
4,A14,XV DE PIRACICABA,MARICÁ
4,A14,SAMPAIO CORREA,NOVA IGUAÇU
4,A15,JOINVILLE,SANTA CATARINA
4,A15,GUARANY DE BAGÉ,SÃO LUIZ
4,A15,CASCAVEL,CIANORTE
4,A16,MARCÍLIO DIAS,BLUMENAU
4,A16,SÃO JOSÉ,BRASIL
4,A16,AZURIZ FUTEBOL,SÃO JOSEENSE
4,A2,GUAPORÉ,GAZIN PORTO VELHO
4,A2,ARAGUAÍNA,INDEPENDÊNCIA
4,A2,HUMAITÁ,GALVEZ
4,A3,APARECIDENSE,INHUMAS
4,A3,LUVERDENSE,PRIMAVERA
4,A3,BRASILIENSE,GAMA
4,A4,CEILÂNDIA,CAPITAL CF
4,A4,GOIATUBA,MIXTO
4,A4,UNIÃO RONDONÓPOLIS,CEOV OPERÁRIO
4,A5,AGUIA DE MARABA,TUNA LUSO
4,A5,IMPERATRIZ,TOCANTINÓPOLIS
4,A5,ORATÓRIO,TREM
4,A6,IAPE,MOTO CLUB
4,A6,IGUATU,MARACANÃ
4,A6,PARNAHYBA,SAMPAIO CORRÊA
4,A7,FLUMINENSE,TIROL
4,A7,ATLÉTICO CEARENSE,FERROVIÁRIO
4,A7,PIAUÍ,ALTOS
4,A8,SOUSA,ABC
4,A8,MAGUARY,CENTRAL
4,A8,LAGUNA,AMÉRICA
4,A9,SERGIPE,LAGARTO
4,A9,TREZE,SERRA BRANCA
4,A9,DECISÃO,RETRÔ
5,A1,NACIONAL,SÃO RAIMUNDO
5,A1,MONTE RORAIMA,MANAUS
5,A1,GAS,MANAUARA
5,A10,CSA,JUAZEIRENSE
5,A10,ATLÉTICO DE ALAGOINHAS,ASA
5,A10,CSE,JACUIPENSE
5,A11,ABECAT OUVIDORENSE,IVINHEMA
5,A11,UBERLÂNDIA,OPERÁRIO
5,A11,CRAC,BETIM FUTEBOL
5,A12,REAL NOROESTE,PORTO
5,A12,TOMBENSE,RIO BRANCO
5,A12,DEMOCRATA,VITÓRIA
5,A13,AMERICA,POUSO ALEGRE
5,A13,ÁGUA SANTA,PORTUGUESA
5,A13,PORTUGUESA-SP,MADUREIRA
5,A14,NOROESTE,MARICÁ
5,A14,SAMPAIO CORREA,XV DE PIRACICABA
5,A14,NOVA IGUAÇU,VELO CLUBE
5,A15,SANTA CATARINA,GUARANY DE BAGÉ
5,A15,JOINVILLE,CASCAVEL
5,A15,SÃO LUIZ,CIANORTE
5,A16,SÃO JOSEENSE,BLUMENAU
5,A16,BRASIL,MARCÍLIO DIAS
5,A16,AZURIZ FUTEBOL,SÃO JOSÉ
5,A2,INDEPENDÊNCIA,GAZIN PORTO VELHO
5,A2,ARAGUAÍNA,HUMAITÁ
5,A2,GALVEZ,GUAPORÉ
5,A3,GAMA,LUVERDENSE
5,A3,BRASILIENSE,APARECIDENSE
5,A3,PRIMAVERA,INHUMAS
5,A4,MIXTO,CAPITAL CF
5,A4,GOIATUBA,UNIÃO RONDONÓPOLIS
5,A4,CEOV OPERÁRIO,CEILÂNDIA
5,A5,TOCANTINÓPOLIS,TUNA LUSO
5,A5,ORATÓRIO,AGUIA DE MARABA
5,A5,TREM,IMPERATRIZ
5,A6,MOTO CLUB,IGUATU
5,A6,PARNAHYBA,IAPE
5,A6,SAMPAIO CORRÊA,MARACANÃ
5,A7,ALTOS,TIROL
5,A7,ATLÉTICO CEARENSE,FLUMINENSE
5,A7,FERROVIÁRIO,PIAUÍ
5,A8,ABC,CENTRAL
5,A8,SOUSA,LAGUNA
5,A8,AMÉRICA,MAGUARY
5,A9,LAGARTO,SERRA BRANCA
5,A9,RETRÔ,SERGIPE
5,A9,DECISÃO,TREZE
6,A1,MANAUS,MONTE RORAIMA
6,A1,SÃO RAIMUNDO,NACIONAL
6,A1,MANAUARA,GAS
6,A10,JUAZEIRENSE,CSA
6,A10,JACUIPENSE,CSE
6,A10,ASA,ATLÉTICO DE ALAGOINHAS
6,A11,BETIM FUTEBOL,CRAC
6,A11,OPERÁRIO,UBERLÂNDIA
6,A11,IVINHEMA,ABECAT OUVIDORENSE
6,A12,PORTO,REAL NOROESTE
6,A12,VITÓRIA,DEMOCRATA
6,A12,RIO BRANCO,TOMBENSE
6,A13,MADUREIRA,PORTUGUESA-SP
6,A13,POUSO ALEGRE,AMERICA
6,A13,PORTUGUESA,ÁGUA SANTA
6,A14,MARICÁ,NOROESTE
6,A14,XV DE PIRACICABA,SAMPAIO CORREA
6,A14,VELO CLUBE,NOVA IGUAÇU
