nome_clube;wiki_title
Clube de Regatas do Flamengo;Clube de Regatas do Flamengo
Sport Club Corinthians Paulista;Sport Club Corinthians Paulista
São Paulo Futebol Clube;São Paulo Futebol Clube
Clube Náutico Capibaribe;Clube Náutico Capibaribe
Sport Club Internacional;Sport Club Internacional
Botafogo de Futebol e Regatas;Botafogo de Futebol e Regatas
Santos Futebol Clube;Santos Futebol Clube
Sociedade Esportiva Palmeiras;Sociedade Esportiva Palmeiras
Clube Atlético Ypiranga;Clube Atlético Ypiranga
Fluminense Football Club;Fluminense Football Club
Ipatinga Futebol Clube;Ipatinga Futebol Clube
América Futebol Clube;América Futebol Clube (Belo Horizonte)
Manchete Futebol Clube do Recife;Manchete Futebol Clube do Recife
Avaí Futebol Clube;Avaí Futebol Clube
Canto do Rio Foot-Ball Club;Canto do Rio Foot-Ball Club
Sociedade Esportiva do Gama;Sociedade Esportiva do Gama
Calouros do Ar Futebol Clube;Calouros do Ar Futebol Clube
Bacabal Esporte Clube;Bacabal Esporte Clube
America Football Club;America Football Club (Rio de Janeiro)
Coritiba Foot Ball Club;Coritiba Foot Ball Club
América Futebol Clube (Goiás);América Futebol Clube (Goiás)
América Futebol Clube (Rio Grande do Norte);América Futebol Clube (Rio Grande do Norte)
Club Athletico Paranaense;Club Athletico Paranaense
Santa Cruz Futebol Clube;Santa Cruz Futebol Clube
Nacional Futebol Clube;Nacional Futebol Clube (Amazonas)
Brasiliense Futebol Clube;Brasiliense Futebol Clube
Paraná Clube;Paraná Clube
Esporte Clube Juventude;Esporte Clube Juventude
Boa Esporte Clube;Boa Esporte Clube
Britânia Sport Club;Britânia Sport Club
Esporte Clube Tigres do Brasil;Esporte Clube Tigres do Brasil
Centro Sportivo Alagoano;Centro Sportivo Alagoano
Associação Atlética Rodoviária;Associação Atlética Rodoviária do Amazonas
Sport Club Rio Grande;Sport Club Rio Grande
São Paulo Athletic Club;São Paulo Athletic Club
Clube Sociedade Esportiva;Clube Sociedade Esportiva
Clube Atlético Hermann Aichinger;Clube Atlético Hermann Aichinger
Clube de Regatas Brasil;Clube de Regatas Brasil
Associação Desportiva Recreativa Cultural Icasa;Associação Desportiva Recreativa Cultural Icasa
Macaé Esporte Futebol Clube;Macaé Esporte Futebol Clube
Luverdense Esporte Clube;Luverdense Esporte Clube
Oeste Futebol Clube;Osasco Sporting
Cianorte Futebol Clube;Cianorte Futebol Clube
Red Bull Futebol e Entretenimento Ltda.;Red Bull Bragantino II
Sobradinho Esporte Clube;Sobradinho Esporte Clube
Clube Atlético Juventus;Clube Atlético Juventus
Sinop Futebol Clube;Sinop Futebol Clube
Operário Futebol Clube;Operário Futebol Clube
Ypiranga Futebol Clube;Ypiranga Futebol Clube (Erechim)
Sociedade Esportiva Tupan;Sociedade Esportiva Tupan
Clube Atlético Vila Rica;Clube Atlético Vila Rica
Associação Atlética Caldense;Associação Atlética Caldense
Rio Preto Esporte Clube;Rio Preto Esporte Clube
Villa Nova Atlético Clube;Villa Nova Atlético Clube
Associação Desportiva Confiança;Associação Desportiva Confiança
Sport Club República;Sport Club República
São José Esporte Clube;São José Esporte Clube
Esporte Clube Novo Hamburgo;Esporte Clube Novo Hamburgo
Sociedade Esportiva, Recreativa e Cultural Guarani;Guarani de Palhoça Futebol Ltda.
Clube Atlético do Porto;Clube Atlético do Porto
Clube Desportivo Sete de Setembro;Clube Desportivo Sete de Setembro
Clube de Regatas Guará;Clube de Regatas Guará
Quixadá Futebol Clube;Quixadá Futebol Clube
Bangu Atlético Clube;Bangu Atlético Clube
Goiás Esporte Clube;Goiás Esporte Clube
Duque de Caxias Futebol Clube;Duque de Caxias Futebol Clube
Tupi Football Club;Tupi Football Club
Campinense Clube;Campinense Clube
Ceará Sporting Club;Ceará Sporting Club
Guarani Futebol Clube;Guarani Futebol Clube
Tombense Futebol Clube;Tombense Futebol Clube
Audax Rio de Janeiro Esporte Clube;Audax Rio de Janeiro Esporte Clube
Desportivo Brasil;Desportivo Brasil
Esporte Clube Ferro Carril;Esporte Clube Ferro Carril
