estado;clube_canonical;cidade;latitude;longitude;estadio
acre;ADESG;Senador Guiomard;-10.1475;-67.7364;Estádio Naborzão
acre;Andirá Esporte Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;Atlético Acreano;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;Galvez Esporte Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;Independência Futebol Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;Náuas Esporte Clube;Cruzeiro do Sul;-7.6319;-72.6764;Estádio Arena do Juruá
acre;Plácido de Castro Futebol Clube;Plácido de Castro;-10.2736;-67.1736;Estádio Municipal Aluízio Ferreira
acre;Rio Branco Football Club;Rio Branco;-9.9747;-67.8076;Estádio José de Melo
acre;Santa Cruz Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
acre;Sport Club Humaitá;Porto Acre;-9.5833;-67.6333;Estádio Arena da Floresta
acre;São Francisco Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
acre;Vasco da Gama Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
alagoas;Agremiação Sportiva Arapiraquense;Arapiraca;-9.7547;-36.6575;Estádio Municipal Coaracy da Mata Fonseca
alagoas;Agrimaq Jequiá;Jequiá da Praia;-10.1233;-36.1356;Estádio Municipal José Ferreira de França
alagoas;Associação Atlética Coruripe;Coruripe;-10.1253;-36.1753;Estádio Municipal Gerson Amaral
alagoas;Centro Sportivo Alagoano;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Clube Esportivo Olhodaguense;Olho d'Água das Flores;-9.5786;-37.3561;Estádio Edson Matias
alagoas;Clube Sociedade Esportiva;Palmeira dos Índios;-9.4036;-36.6322;Estádio Juca Sampaio
alagoas;Clube de Regatas Brasil;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Cruzeiro de Arapiraca;Arapiraca;-9.7547;-36.6575;Estádio Municipal Coaracy da Mata Fonseca
alagoas;Desportivo Aliança;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Dimensão Saúde;Capela;-9.4167;-36.05;Estádio Manoel Moreira
alagoas;Dínamo Esporte Clube;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;FF Sport Nova Cruz;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Guarany Alagoano;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Igaci Futebol Clube;Igaci;-9.5433;-36.6386;Estádio Zeca Rocha
alagoas;Jaciobá Atlético Clube;Pão de Açúcar;-9.7481;-37.4458;Estádio Municipal Elisão
alagoas;Miguelense Futebol Clube;São Miguel dos Campos;-9.7833;-36.1056;Estádio Manoel Ferreira
alagoas;Murici Futebol Clube;Murici;-9.2958;-35.8611;Estádio José Gomes da Costa
alagoas;Sport Club Penedense;Penedo;-10.2919;-36.5908;Estádio Alfredo Leahy
alagoas;São Domingos Futebol Clube;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;Zumbi Esporte Clube;União dos Palmares;-9.1467;-36.0333;Estádio Orlando Gomes de Barros
amapa;Associação Desportiva Portuguesa;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Associação Desportiva e Esportiva Calçoene;Calçoene;2.5033;-50.9456;Estádio Municipal de Calçoene
amapa;Atlético Roraima Clube;Boa Vista;2.8235;-60.6758;Estádio Flamarion Vasconcelos
amapa;Canário;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Cristal;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Cruzeiro;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Esporte Clube Macapá;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Independente;Santana;0.0575;-51.1736;Estádio Milton de Souza Corrêa
