clube_uf;pagerank_score
FLAMENGO/RJ;0.017380519141967532
ATLÉTICO MINEIRO/MG;0.01577856224152164
PALMEIRAS/SP;0.015244235932214483
FLUMINENSE/RJ;0.014598540219431305
CORINTHIANS/SP;0.014216483011471411
SÃO PAULO/SP;0.014163931352482766
INTERNACIONAL/RS;0.013223453171084148
BOTAFOGO/RJ;0.013094889504553788
FORTALEZA/CE;0.01276978675484996
ATHLETICO PARANAENSE/PR;0.012401613540235511
GRÊMIO/RS;0.012397218625089397
BAHIA/BA;0.011706167590706286
RED BULL BRAGANTINO/SP;0.011679867994561251
SANTOS/SP;0.010614977086064839
ATLÉTICO GOIANIENSE/GO;0.01041295154632865
CRUZEIRO/MG;0.010352296642900731
CEARÁ/CE;0.009751109153589135
CUIABÁ/MT;0.009385158599246775
VASCO DA GAMA/RJ;0.009348214369610025
JUVENTUDE/RS;0.008669306212704559
AMÉRICA/MG;0.008648962852783484
GOIÁS/GO;0.008371772006698763
CORITIBA/PR;0.007414522697290086
VITÓRIA/BA;0.00740311174529626
SPORT/PE;0.0073657534604409085
CRB/AL;0.006585938660326012
CRICIÚMA/SC;0.006243447812363138
AVAÍ/SC;0.006159277388915576
VILA NOVA/GO;0.0056787889735970066
CHAPECOENSE/SC;0.005358180755123678
MIRASSOL/SP;0.005328949968801203
PONTE PRETA/SP;0.005052950122170274
REMO/PA;0.004825261878774429
GRÊMIO NOVORIZONTINO/SP;0.004737858019363372
BRUSQUE/SC;0.004628930734158238
CSA/AL;0.004619540771464456
GUARANI/SP;0.004465620783061562
OPERÁRIO/PR;0.004391047463172549
PAYSANDU/PA;0.004359188094885691
SAMPAIO CORRÊA/MA;0.004306544722508083
NÁUTICO/PE;0.004256601898392597
BOTAFOGO/SP;0.004030620411310321
LONDRINA/PR;0.0037602404492367157
ABC/RN;0.00371472559270541
VOLTA REDONDA/RJ;0.0037086998664130504
TOMBENSE/MG;0.0036630556928085537
CONFIANÇA/SE;0.003641313912705997
ITUANO/SP;0.003579739335478691
BRASILIENSE/DF;0.0034582873009140376
AMAZONAS/AM;0.0034552812611179902
SÃO BERNARDO/SP;0.0033126928410230337
FIGUEIRENSE/SC;0.003239477133474346
YPIRANGA/RS;0.0030803896690139027
AMÉRICA/RN;0.003052909191409513
SÃO JOSÉ/RS;0.0030108254573207446
MANAUS/AM;0.002960503811158563
BOTAFOGO/PB;0.0029335631541156956
FERROVIÁRIA/SP;0.0028632049999850417
RETRÔ/PE;0.002801243960108208
FERROVIÁRIO/CE;0.0027944787795997086
NOVA IGUAÇU/RJ;0.0027819289288253794
CAXIAS/RS;0.002661120427033128
ALTOS/PI;0.0025957931999419093
MARINGÁ/PR;0.002578047973906464
APARECIDENSE/GO;0.0024990623685702926
TOCANTINÓPOLIS/TO;0.002483553451244391
SANTA CRUZ/PE;0.0024474246008826476
OPERÁRIO/MS;0.0023450849922370142
ATHLETIC/MG;0.0022448238588781986
PORTUGUESA/RJ;0.002241232363928592
FLORESTA/CE;0.0022097855178670857
CEILÂNDIA/DF;0.0022079145935202343
BRASIL/RS;0.002196186338658462
CASCAVEL/PR;0.0021736606130436003
SOUSA/PB;0.002129721374883634
SÃO RAIMUNDO/RR;0.0020734729122674446
SERGIPE/SE;0.002029870317228748
DEMOCRATA/MG;0.002000795896379334
REAL NOROESTE/ES;0.001966911393576114
ANÁPOLIS/GO;0.0019594842318658903
ITABAIANA/SE;0.001914078719412337
COSTA RICA/MS;0.001844250167816727
PARANÁ/PR;0.0018045740518119742
ASA/AL;0.0017969101744877173
JUAZEIRENSE/BA;0.0017530296077097227
JACUIPENSE/BA;0.0017492290167404776
CAMPINENSE/PB;0.0017394354264526955
TUNA LUSO/PA;0.0017082091309060241
RIO BRANCO/ES;0.001698239407647223
TREZE/PB;0.001678739470807467
GAMA/DF;0.001674652101386456
BAHIA DE FEIRA/BA;0.0016378841695669725
OESTE/SP;0.001637199056564928
LAGARTO/SE;0.0016328541373874742
MARCÍLIO DIAS/SC;0.0016324962026338897
MOTO CLUB/MA;0.001618126533510684
MARANHÃO/MA;0.0015836355586901305
INTER DE LIMEIRA/SP;0.0015635994492244987
SÃO LUIZ/RS;0.0015512163755210383
JOINVILLE/SC;0.001548137984893177
VITÓRIA/ES;0.0015142833006812227
POUSO ALEGRE/MG;0.0015009150698656242
TREM/AP;0.0015003453940737215
OLARIA/RJ;0.001457779440759216
