estado;clube;clube_canonical
acre;ADESG;ADESG
acre;ANDIRÁ;Andirá Esporte Clube
acre;ATLÉTICO;Atlético Acreano
acre;GALVEZ;Galvez Esporte Clube
acre;HUMAITÁ;Sport Club Humaitá
acre;INDEPENDÊNCIA;Independência Futebol Clube
acre;NÁUAS;Náuas Esporte Clube
acre;PLÁCIDO DE CASTRO;Plácido de Castro Futebol Clube
acre;RIO BRANCO;Rio Branco Football Club
acre;SANTA CRUZ;Santa Cruz Futebol Clube
acre;SÃO FRANCISCO;São Francisco Futebol Clube
acre;VASCO DA GAMA;Vasco da Gama Futebol Clube
alagoas;AGRIMAQ JEQUIAENSE;Agrimaq Jequiá
alagoas;ASA;Agremiação Sportiva Arapiraquense
alagoas;CEO;Clube Esportivo Olhodaguense
alagoas;CORURIPE;Associação Atlética Coruripe
alagoas;CRB;Clube de Regatas Brasil
alagoas;CRB B;Clube de Regatas Brasil
alagoas;CRUZEIRO;Cruzeiro de Arapiraca
alagoas;CSA;Centro Sportivo Alagoano
alagoas;CSA B;Centro Sportivo Alagoano
alagoas;CSE;Clube Sociedade Esportiva
alagoas;DESPORTIVO ALIANÇA;Desportivo Aliança
alagoas;DIMENSÃO SAÚDE;Dimensão Saúde
alagoas;DÍNAMO;Dínamo Esporte Clube
alagoas;FF SPORT;FF Sport Nova Cruz
alagoas;GUARANY;Guarany Alagoano
alagoas;IGACI;Igaci Futebol Clube
alagoas;JACIOBÁ;Jaciobá Atlético Clube
alagoas;MIGUELENSE;Miguelense Futebol Clube
alagoas;MURICI;Murici Futebol Clube
alagoas;PENEDENSE;Sport Club Penedense
alagoas;SÃO DOMINGOS;São Domingos Futebol Clube
alagoas;ZUMBI;Zumbi Esporte Clube
amapa;ADEC;Associação Desportiva e Esportiva Calçoene
amapa;BARE;Atlético Roraima Clube
amapa;CANÁRIO;Canário
amapa;CRISTAL;Cristal
amapa;CRUZEIRO;Cruzeiro
amapa;INDEPENDENTE;Independente
amapa;LAGOA;Lagoa
amapa;LATITUDE ZERO;Latitude Zero
amapa;MACAPÁ;Esporte Clube Macapá
amapa;MAZAGÃO;Mazagão Atlético Clube
amapa;ORATÓRIO;Oratório Recreativo Clube
amapa;PORTUGUESA;Associação Desportiva Portuguesa
amapa;RENOVAÇÃO;Renovação Esporte Clube
amapa;SANTANA;Santana Esporte Clube
amapa;SANTOS;Santos-AP
amapa;SÃO JOSÉ;São José-AP
amapa;SÃO PAULO;São Paulo-AP
amapa;TREM;Trem Desportivo Clube
amapa;YPIRANGA;Ypiranga Clube
amazonas;ALVORADA;Alvorada Esporte Clube
amazonas;AMAZONAS;Amazonas Futebol Clube
amazonas;ATLÉTICO AMAZONENSE;Atlético Amazonense
amazonas;CDC DA AMAZÔNIA;CDC Manicoré
amazonas;CLIPER;Cliper
amazonas;FAST CLUBE;Nacional Fast Clube
amazonas;IRANDUBA;Iranduba da Amazônia
amazonas;ITACOATIARA;Itacoatiara Esporte Clube
amazonas;JC FUTEBOL CLUBE;JC Futebol Clube
amazonas;LIBRADE;Librade
amazonas;MANAUARA;Manauara Esporte Clube
amazonas;MANAUS;Manaus Futebol Clube
amazonas;NACIONAL;Nacional Futebol Clube
amazonas;OPERÁRIO;Operário Esporte Clube
amazonas;PARINTINS;Parintins Futebol Clube
amazonas;PENAROL;Penarol Atlético Clube
amazonas;PRINCESA;Princesa do Solimões Esporte Clube
amazonas;PRINCESA DO SOLIMÕES;Princesa do Solimões Esporte Clube
amazonas;RB DO NORTE;Red Bull do Norte
amazonas;RIO NEGRO;Atlético Rio Negro Clube
amazonas;SETE;Sete de Setembro Esporte Clube
amazonas;SUL AMÉRICA;Sul América Esporte Clube
amazonas;SÃO RAIMUNDO;São Raimundo Esporte Clube
amazonas;TARUMÃ;Atlético Clube Tarumã
bahia;ATLÉTICO;Atlético de Alagoinhas
bahia;BAHIA;Esporte Clube Bahia
bahia;BAHIA DE FEIRA;Associação Desportiva Bahia de Feira
bahia;BARCELONA DE ILHÉUS;Barcelona Futebol Clube
bahia;BOTAFOGO;Botafogo Sport Club
bahia;CAMAÇARI;Camaçari Futebol Clube
bahia;CAMAÇARIENSE;Sport Club Camaçariense
bahia;CANAÃ;Canaã Esporte Clube
bahia;COLO COLO;Colo Colo de Futebol e Regatas
bahia;DOCE MEL;Doce Mel Esporte Clube
bahia;FEIRENSE;Associação Desportivaatlética Feirense
bahia;FLAMENGO DE GUANAMBI;Flamengo de Guanambi
bahia;FLUMINENSE DE FEIRA;Fluminense de Feira Futebol Clube
bahia;GALÍCIA;Galícia Esporte Clube
bahia;GRAPIÚNA;Grapiúna Atlético Clube
bahia;ITABUNA;Itabuna Esporte Clube
bahia;JACOBINA;Jacobina Esporte Clube
bahia;JACOBINENSE;Jacobinense Esporte Clube
bahia;JACUIPENSE;Esporte Clube Jacuipense
bahia;JEQUIÉ;Associação Desportiva Jequié
bahia;JUAZEIRENSE;Sociedade Desportiva Juazeirense
bahia;JUAZEIRO;Juazeiro Social Clube
bahia;LEÔNICO;Esporte Clube Leônico
bahia;PORTELA;Portela Futebol Clube
bahia;PORTO;Porto Sport Club
bahia;SSA;SSA Futebol Clube
bahia;TEIXEIRA DE FREITAS;Associação Atlética Portela Teixeira de Freitas
bahia;UNIRB;UNIRB Futebol Clube
bahia;VITÓRIA;Esporte Clube Vitória
bahia;VITÓRIA DA CONQUISTA;Esporte Clube Primeiro Passo Vitória da Conquista
bahia;YPIRANGA;Esporte Clube Ypiranga
ceara;ALIANÇA;Aliança Atlético Clube
