clube;estado;cidade;lat;lon;ibge;wins;draws;losses
FLAMENGO;rio_de_janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;218;77;71
PALMEIRAS;sao_paulo;São Paulo;-23.5329;-46.6395;3550308.0;197;86;69
ATLÉTICO MINEIRO;minas_gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;179;86;81
FLUMINENSE;rio_de_janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;171;76;108
ATHLETICO PARANAENSE;parana;Curitiba;-25.4195;-49.2646;4106902.0;164;85;112
GRÊMIO;rio_grande_do_sul;Porto Alegre;-29.9740266;-51.1949496;4314902.0;160;92;99
SÃO PAULO;sao_paulo;São Paulo;-23.5329;-46.6395;3550308.0;154;102;99
INTERNACIONAL;rio_grande_do_sul;Porto Alegre;-30.0318;-51.2065;4314902.0;153;91;84
BOTAFOGO;rio_de_janeiro;Rio de Janeiro;-22.95456749;-43.177563068;3304557.0;152;88;98
CORINTHIANS;sao_paulo;Presidente Prudente;-22.1207;-51.3925;3541406.0;149;107;101
ATLÉTICO GOIANIENSE;goias;Goiânia;-16.6864;-49.2643;5208707.0;148;102;104
CRB;alagoas;Maceió;-9.6658;-35.735;2704302.0;146;80;106
BAHIA;bahia;Salvador;-12.9718;-38.5011;2927408.0;139;82;112
CRUZEIRO;minas_gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;138;98;90
CUIABÁ;mato_grosso;Cuiabá;-15.601;-56.0974;5103403.0;136;99;99
FORTALEZA;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;135;81;92
AMÉRICA MINEIRO;minas_gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;133;99;103
GOIÁS;goias;Goiânia;-16.6864;-49.2643;5208707.0;132;95;104
SÃO BERNARDO;sao_paulo;São Bernardo do Campo;-23.6914;-46.5646;3548708.0;129;96;84
CORITIBA;parana;Curitiba;-25.4195;-49.2646;4106902.0;127;76;124
RED BULL BRAGANTINO;sao_paulo;Bragança Paulista;-22.9527;-46.5419;3507605.0;125;93;113
VILA NOVA;goias;Goiânia;-16.6864;-49.2643;5208707.0;124;108;90
AVAÍ;santa_catarina;Florianópolis;-27.5945;-48.5477;4205407.0;124;96;116
SPORT;pernambuco;Recife;-8.04666;-34.8771;2611606.0;122;87;106
CRICIÚMA;santa_catarina;Criciúma;-28.6723;-49.3729;4204608.0;120;95;89
SANTOS;sao_paulo;Santos;-23.9535;-46.335;3548500.0;120;95;114
REMO;para;Belém;-1.4554;-48.4898;1501402.0;119;68;74
MIRASSOL;sao_paulo;Mirassol;-20.8169;-49.5206;3530300.0;118;69;79
CEARÁ;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;117;90;99
