estado;clube;clube_canonical;cidade;latitude;longitude;estadio
acre;ADESG;ADESG;Senador Guiomard;-10.1475;-67.7364;Estádio Naborzão
acre;ANDIRÁ;Andirá Esporte Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;ATLÉTICO;Atlético Acreano;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;GALVEZ;Galvez Esporte Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;HUMAITÁ;Sport Club Humaitá;Porto Acre;-9.5833;-67.6333;Estádio Arena da Floresta
acre;INDEPENDÊNCIA;Independência Futebol Clube;Rio Branco;-9.9749;-67.8243;Estádio Arena da Floresta
acre;NÁUAS;Náuas Esporte Clube;Cruzeiro do Sul;-7.6319;-72.6764;Estádio Arena do Juruá
acre;PLÁCIDO DE CASTRO;Plácido de Castro Futebol Clube;Plácido de Castro;-10.2736;-67.1736;Estádio Municipal Aluízio Ferreira
acre;RIO BRANCO;Rio Branco Football Club;Rio Branco;-9.9747;-67.8076;Estádio José de Melo
acre;SANTA CRUZ;Santa Cruz Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
acre;SÃO FRANCISCO;São Francisco Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
acre;VASCO DA GAMA;Vasco da Gama Futebol Clube;Rio Branco;-9.9747;-67.8076;Estádio Arena da Floresta
alagoas;AGRIMAQ JEQUIAENSE;Agrimaq Jequiá;Jequiá da Praia;-10.1233;-36.1356;Estádio Municipal José Ferreira de França
alagoas;ASA;Agremiação Sportiva Arapiraquense;Arapiraca;-9.7547;-36.6575;Estádio Municipal Coaracy da Mata Fonseca
alagoas;CEO;Clube Esportivo Olhodaguense;Olho d'Água das Flores;-9.5786;-37.3561;Estádio Edson Matias
alagoas;CORURIPE;Associação Atlética Coruripe;Coruripe;-10.1253;-36.1753;Estádio Municipal Gerson Amaral
alagoas;CRB;Clube de Regatas Brasil;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;CRB B;Clube de Regatas Brasil;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;CRUZEIRO;Cruzeiro de Arapiraca;Arapiraca;-9.7547;-36.6575;Estádio Municipal Coaracy da Mata Fonseca
alagoas;CSA;Centro Sportivo Alagoano;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;CSA B;Centro Sportivo Alagoano;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;CSE;Clube Sociedade Esportiva;Palmeira dos Índios;-9.4036;-36.6322;Estádio Juca Sampaio
alagoas;DESPORTIVO ALIANÇA;Desportivo Aliança;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;DIMENSÃO SAÚDE;Dimensão Saúde;Capela;-9.4167;-36.05;Estádio Manoel Moreira
alagoas;DÍNAMO;Dínamo Esporte Clube;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;FF SPORT;FF Sport Nova Cruz;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;GUARANY;Guarany Alagoano;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;IGACI;Igaci Futebol Clube;Igaci;-9.5433;-36.6386;Estádio Zeca Rocha
alagoas;JACIOBÁ;Jaciobá Atlético Clube;Pão de Açúcar;-9.7481;-37.4458;Estádio Municipal Elisão
alagoas;MIGUELENSE;Miguelense Futebol Clube;São Miguel dos Campos;-9.7833;-36.1056;Estádio Manoel Ferreira
alagoas;MURICI;Murici Futebol Clube;Murici;-9.2958;-35.8611;Estádio José Gomes da Costa
alagoas;PENEDENSE;Sport Club Penedense;Penedo;-10.2919;-36.5908;Estádio Alfredo Leahy
alagoas;SÃO DOMINGOS;São Domingos Futebol Clube;Maceió;-9.6658;-35.7353;Estádio Rei Pelé
alagoas;ZUMBI;Zumbi Esporte Clube;União dos Palmares;-9.1467;-36.0333;Estádio Orlando Gomes de Barros
amapa;ADEC;Associação Desportiva e Esportiva Calçoene;Calçoene;2.5033;-50.9456;Estádio Municipal de Calçoene
amapa;BARE;Atlético Roraima Clube;Boa Vista;2.8235;-60.6758;Estádio Flamarion Vasconcelos
amapa;CANÁRIO;Canário;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;CRISTAL;Cristal;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;CRUZEIRO;Cruzeiro;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;INDEPENDENTE;Independente;Santana;0.0575;-51.1736;Estádio Milton de Souza Corrêa
amapa;LAGOA;Lagoa;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;LATITUDE ZERO;Latitude Zero;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;MACAPÁ;Esporte Clube Macapá;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;MAZAGÃO;Mazagão Atlético Clube;Mazagão;-0.115;-51.3883;Estádio Milton de Souza Corrêa
amapa;ORATÓRIO;Oratório Recreativo Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;PORTUGUESA;Associação Desportiva Portuguesa;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
