clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
GRÊMIO;rio_grande_do_sul;-30.0346;-51.2177;Porto Alegre;Arena do Grêmio;183;99;110;392
ATHLETICO PARANAENSE;parana;-25.4284;-49.2733;Curitiba;Ligga Arena;165;88;114;367
FLAMENGO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio do Maracanã;218;77;71;366
CORINTHIANS;sao_paulo;-23.5505;-46.6333;São Paulo;Neo Química Arena;149;107;101;357
FLUMINENSE;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio do Maracanã;171;76;108;355
SÃO PAULO;sao_paulo;-23.5505;-46.6333;São Paulo;Estádio Cícero Pompeu de Toledo;154;102;99;355
ATLÉTICO GOIANIENSE;goias;-16.6869;-49.2648;Goiânia;Estádio Antônio Accioly;148;102;104;354
JUVENTUDE;rio_grande_do_sul;-29.1678;-51.1784;Caxias do Sul;Estádio Alfredo Jaconi;113;104;136;353
PALMEIRAS;sao_paulo;-23.5505;-46.6333;São Paulo;Allianz Parque;197;86;69;352
CUIABÁ;mato_grosso;-15.601;-56.0974;Cuiabá;Arena Pantanal;140;102;106;348
ATLÉTICO MINEIRO;minas_gerais;-19.9167;-43.9345;Belo Horizonte;Arena MRV;179;86;81;346
INTERNACIONAL;rio_grande_do_sul;-30.0346;-51.2177;Porto Alegre;Estádio Beira-Rio;158;93;94;345
CHAPECOENSE;santa_catarina;-27.1005;-52.6147;Chapecó;Arena Condá;115;108;121;344
VASCO DA GAMA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio São Januário;126;93;125;344
CRB;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;150;83;110;343
AVAÍ;santa_catarina;-27.5949;-48.5482;Florianópolis;Estádio Aderbal Ramos da Silva;125;97;120;342
BOTAFOGO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Nilton Santos;152;88;98;338
AMÉRICA MINEIRO;minas_gerais;-19.9167;-43.9345;Belo Horizonte;Arena Independência;133;99;103;335
CORITIBA;parana;-25.4296;-49.2719;Curitiba;Estádio Major Antônio Couto Pereira;128;82;125;335
BAHIA;bahia;-12.9714;-38.5014;Salvador;Arena Fonte Nova;139;82;112;333
GOIÁS;goias;-16.6869;-49.2647;Goiânia;Estádio Hailé Pinheiro;132;95;104;331
RED BULL BRAGANTINO;sao_paulo;-22.9533;-46.5422;Bragança Paulista;Estádio Nabi Abi Chedid;125;93;113;331
SANTOS;sao_paulo;-23.9608;-46.3333;Santos;Estádio Urbano Caldeira;120;95;114;329
CRUZEIRO;minas_gerais;-19.9167;-43.9345;Belo Horizonte;Mineirão;138;98;90;326
VILA NOVA;goias;-16.6799;-49.255;Goiânia;Estádio Onésio Brasileiro Alvarenga;124;108;90;322
FORTALEZA;ceara;-3.7172;-38.5433;Fortaleza;Arena Castelão;138;86;95;319
OPERÁRIO;parana;-25.095;-50.1619;Ponta Grossa;Estádio Germano Krüger;124;91;103;318
PONTE PRETA;sao_paulo;-22.9056;-47.0608;Campinas;Estádio Moisés Lucarelli;115;88;113;316
CEARÁ;ceara;-3.7319;-38.5267;Fortaleza;Arena Castelão;120;92;103;315
SPORT;pernambuco;-8.05428;-34.8813;Recife;Estádio Adelmar da Costa Carvalho;122;87;106;315
CRICIÚMA;santa_catarina;-28.6775;-49.3713;Criciúma;Estádio Heriberto Hülse;124;99;89;312
SÃO BERNARDO;sao_paulo;-23.6944;-46.565;São Bernardo do Campo;Estádio Primeiro de Maio;129;96;84;309
BRUSQUE;santa_catarina;-27.1006;-48.9135;Brusque;Estádio Augusto Bauer;111;91;104;306
GUARANI;sao_paulo;-22.9056;-47.0608;Campinas;Estádio Brinco de Ouro da Princesa;98;83;115;296
VITÓRIA;bahia;-12.9714;-38.5014;Salvador;Estádio Manoel Barradas;109;89;98;296
GRÊMIO NOVORIZONTINO;sao_paulo;-21.4733;-49.2258;Novo Horizonte;Estádio Doutor Jorge Ismael de Biasi;125;82;84;291
BOTAFOGO;sao_paulo;-21.1775;-47.8103;Ribeirão Preto;Estádio Santa Cruz;84;77;121;282
CSA;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;108;85;84;277
ITUANO;sao_paulo;-23.2619;-47.2972;Itu;Estádio Municipal Dr. Novelli Júnior;89;81;105;275
LONDRINA;parana;-23.3045;-51.1696;Londrina;Estádio do Café;91;88;95;274
SAMPAIO CORRÊA;maranhao;-2.5307;-44.3068;São Luís;Estádio Governador João Castelo;107;81;86;274
FIGUEIRENSE;santa_catarina;-27.5949;-48.5482;Florianópolis;Estádio Orlando Scarpelli;96;87;90;273
VOLTA REDONDA;rio_de_janeiro;-22.5181;-44.1014;Volta Redonda;Estádio Raulino de Oliveira;105;74;89;268
PAYSANDU;para;-1.4558;-48.4902;Belém;Estádio Leônidas Sodré de Castro;114;72;80;266
MIRASSOL;sao_paulo;-20.8186;-49.4936;Mirassol;Estádio Municipal José Maria de Campos Maia;118;69;79;266
REMO;para;-1.4558;-48.4902;Belém;Estádio Evandro Almeida;119;68;74;261
NÁUTICO;pernambuco;-8.0476;-34.877;Recife;Estádio Eládio de Barros Carvalho;101;76;83;260
ABC;rio_grande_do_norte;-5.7945;-35.211;Natal;Estádio Maria Lamas Farache;105;83;62;250
TOMBENSE;minas_gerais;-20.7658;-42.0256;Tombos;Estádio Antônio Guimarães de Almeida;77;83;84;244
CONFIANÇA;sergipe;-10.9167;-37.05;Aracaju;Arena Batistão;103;60;77;240
SÃO JOSÉ;rio_grande_do_sul;-30.0346;-51.2177;Porto Alegre;Estádio Francisco Novelletto Neto;93;69;76;238
BRASIL;rio_grande_do_sul;-31.7654;-52.3376;Pelotas;Estádio Bento Freitas;64;79;94;237
YPIRANGA;rio_grande_do_sul;-27.6333;-52.2667;Erechim;Estádio Olímpico Colosso da Lagoa;87;68;71;226
FERROVIÁRIA;sao_paulo;-21.7945;-48.1758;Araraquara;Estádio Doutor Adhemar de Barros;84;82;59;225
AMÉRICA;rio_grande_do_norte;-5.7945;-35.211;Natal;Arena das Dunas;113;66;43;222
FERROVIÁRIO;ceara;-3.7172;-38.5433;Fortaleza;Estádio Presidente Vargas;91;65;66;222
CASCAVEL;parana;-24.9578;-53.4594;Cascavel;Estádio Olímpico Regional Arnaldo Busatto;77;67;66;210
FLORESTA;ceara;-3.7172;-38.5433;Fortaleza;Estádio Presidente Vargas;64;72;73;209
APARECIDENSE;goias;-16.8233;-49.2442;Aparecida de Goiânia;Estádio Annibal Batista de Toledo;85;53;71;209
CAXIAS;rio_grande_do_sul;-29.1678;-51.1794;Caxias do Sul;Estádio Centenário;82;62;62;206
BOTAFOGO;paraiba;-7.115;-34.8642;João Pessoa;Estádio José Américo de Almeida Filho;80;75;51;206
MARCÍLIO DIAS;santa_catarina;-26.9046;-48.6667;Itajaí;Estádio Dr. Hercílio Luz;73;72;59;204
ALTOS;piaui;-5.0261;-42.4597;Altos;Estádio Municipal Felipe Raulino;85;62;55;202
NOVA IGUAÇU;rio_de_janeiro;-22.7553;-43.4508;Nova Iguaçu;Estádio Jânio Moraes;78;63;60;201
REAL NOROESTE;espirito_santo;-18.9817;-40.7333;AGUIA DE MARABA Branca;Estádio José Olímpio da Rocha;76;55;66;197
AMAZONAS;amazonas;-3.119;-60.0217;Manaus;Arena da Amazônia;84;52;59;195
