clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5
BOTAFOGO/sao_paulo;Botafogo;sao_paulo;-20.4302;-47.8236;Guará;0.0040428906347017525;1;1;0;0
LONDRINA/parana;Londrina;parana;-23.304;-51.1691;Londrina;0.003746851933355181;1;1;0;0
VOLTA REDONDA/rio_de_janeiro;Volta Redonda;rio_de_janeiro;-22.5202;-44.0996;Volta Redonda;0.0037120688940116887;1;1;0;0
ABC/rio_grande_do_norte;Abc;rio_grande_do_norte;-5.7945;-35.2119;Natal;0.003704859133105362;0;2;2;2
CONFIANÇA/sergipe;Confiança;sergipe;-10.9091;-37.0677;Aracaju;0.003637034306389051;0;2;2;2
ITUANO/sao_paulo;Ituano;sao_paulo;-23.2544;-47.2927;Itu;0.003574147614584941;1;1;0;0
TOMBENSE/minas_gerais;Tombense;minas_gerais;-20.9086;-42.0228;Tombos;0.003550825947573315;1;1;0;0
AMAZONAS/amazonas;Amazonas;amazonas;-3.11866;-60.0212;Manaus;0.0034799504344874767;0;0;1;1
BRASILIENSE/distrito_federal;Brasiliense;distrito_federal;-15.8333;-48.0569;Brasília;0.0034517549690828092;1;1;0;0
SÃO BERNARDO/sao_paulo;São Bernardo;sao_paulo;-23.6914;-46.5646;São Bernardo do Campo;0.003295435733847135;1;1;0;0
FIGUEIRENSE/santa_catarina;Figueirense;santa_catarina;-27.5945;-48.5477;Florianópolis;0.0032253488350467165;1;1;0;4
YPIRANGA/rio_grande_do_sul;Ypiranga;rio_grande_do_sul;-27.6364;-52.2697;Erechim;0.003073438600535385;1;1;0;4
AMÉRICA/rio_grande_do_norte;América;rio_grande_do_norte;-5.79357;-35.1986;Natal;0.0030505174092406518;0;2;2;2
SÃO JOSÉ/rio_grande_do_sul;São José;rio_grande_do_sul;-30.0318;-51.2065;Porto Alegre;0.0030043031907027624;1;1;0;4
MANAUS/amazonas;Manaus;amazonas;-3.11866;-60.0212;Manaus;0.0029533129381487857;0;0;1;1
FERROVIÁRIA/sao_paulo;Ferroviária;sao_paulo;-22.8837;-48.4437;Botucatu;0.0029416406389744993;1;1;0;0
BOTAFOGO/paraiba;Botafogo;paraiba;-7.11509;-34.8641;João Pessoa;0.0029295921000792157;0;2;2;2
RETRÔ/pernambuco;Retrô;pernambuco;-8.02351;-34.9782;Camaragibe;0.00279671809966479;0;2;2;2
FERROVIÁRIO/ceara;Ferroviário;ceara;-6.12291;-39.8736;Catarina;0.0027933078655836556;0;2;2;2
GRÊMIO NOVORIZONTINO/sao_paulo;Grêmio Novorizontino;sao_paulo;-21.4681;-49.2211;Novo Horizonte;0.002784909560225435;1;1;0;0
NOVA IGUAÇU/rio_de_janeiro;Nova Iguaçu;rio_de_janeiro;-22.7556;-43.4603;Nova Iguaçu;0.002774549402121175;1;1;0;0
CAXIAS/rio_grande_do_sul;Caxias;rio_grande_do_sul;-29.1629;-51.1792;Caxias do Sul;0.0026549370888003633;1;1;0;4
ALTOS/piaui;Altos;piaui;-5.03888;-42.4612;Altos;0.002612327261781846;0;0;3;3
