clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
CSA/alagoas;-9.6658;-35.7353;0.004664059902725929;1;0;3
BRUSQUE/santa_catarina;-27.1006;-48.9135;0.0046026680871067;0;2;2
GUARANI/sao_paulo;-22.9056;-47.0608;0.004530424576574155;0;2;0
SAMPAIO CORRÊA/maranhao;-2.5307;-44.3068;0.004384477450550111;1;0;3
PAYSANDU/para;-1.4558;-48.4902;0.0042828746162255306;1;1;1
ABC/rio_grande_do_norte;-5.7945;-35.211;0.0037746585218798594;1;0;3
CONFIANÇA/sergipe;-10.9167;-37.05;0.003715445146958253;1;0;3
VOLTA REDONDA/rio_de_janeiro;-22.5181;-44.1014;0.0036566316904885414;0;2;0
ITUANO/sao_paulo;-23.2619;-47.2972;0.003595866267128946;0;2;2
TOMBENSE/minas_gerais;-20.7658;-42.0256;0.0035401446627742633;0;2;0
AMAZONAS/amazonas;-3.119;-60.0217;0.0035076410980069772;1;1;1
BRASILIENSE/distrito_federal;-15.82667;-48.06083;0.003267009900963254;0;1;0
FIGUEIRENSE/santa_catarina;-27.5949;-48.5482;0.0031037927809610946;0;2;2
AMÉRICA/rio_grande_do_norte;-5.7945;-35.211;0.0030976833811277877;1;0;3
BOTAFOGO/paraiba;-7.115;-34.8642;0.0030804784001810287;1;0;3
MANAUS/amazonas;-3.119;-60.0217;0.0029734838729107774;1;1;1
YPIRANGA/rio_grande_do_sul;-27.6333;-52.2667;0.0029677242616897256;0;2;2
FERROVIÁRIA/sao_paulo;-21.7945;-48.1758;0.0028777776138568657;0;2;2
RETRÔ/pernambuco;-8.0153;-34.9875;0.002829271184347311;1;0;3
NOVA IGUAÇU/rio_de_janeiro;-22.7553;-43.4508;0.0027565277471377518;0;2;0
FERROVIÁRIO/ceara;-3.7172;-38.5433;0.002744016451349701;1;0;3
SÃO JOSÉ/rio_grande_do_sul;-30.0346;-51.2177;0.0027406223760364466;0;2;2
BRASIL/rio_grande_do_sul;-31.7654;-52.3376;0.002730213136785333;0;2;2
