clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
GUARANI/sao_paulo;-22.9056;-47.0608;0.0045304245765741;0;2;0;1;2;2
VOLTA REDONDA/rio_de_janeiro;-22.5181;-44.1014;0.0036566316904885;0;2;0;0;2;0
TOMBENSE/minas_gerais;-20.7658;-42.0256;0.0035401446627742;0;2;0;0;0;3
BRASILIENSE/distrito_federal;-15.82667;-48.06083;0.0032670099009632;0;1;0;1;1;1
NOVA IGUAÇU/rio_de_janeiro;-22.7553;-43.4508;0.0027565277471377;0;2;0;0;2;0
APARECIDENSE/goias;-16.8233;-49.2442;0.0024613617890641;0;1;0;1;1;1
PORTUGUESA/rio_de_janeiro;-22.9068;-43.1729;0.0021875845432775;0;2;0;0;0;0
CEILÂNDIA/distrito_federal;-15.8267;-48.1033;0.0021588873503728;0;1;0;1;1;1
REAL NOROESTE/espirito_santo;-18.9817;-40.7333;0.0019979219770379;0;0;0;0;0;3
ANÁPOLIS/goias;-16.3286;-48.9533;0.0019779972594018;0;1;0;1;1;1
DEMOCRATA/minas_gerais;-18.8528;-41.9478;0.0018862497641778;0;0;0;0;0;3
CAPITAL CF/distrito_federal;-15.7939;-47.8828;0.0017334162750755;0;1;0;1;1;1
RIO BRANCO/espirito_santo;-20.3155;-40.3128;0.0017158950726794;0;0;0;0;0;3
GAMA/distrito_federal;-16.0153;-48.0653;0.001659980901139;0;1;0;1;1;1
INTER DE LIMEIRA/sao_paulo;-22.5603;-47.4033;0.0015597296357941;0;2;0;1;2;2
VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0015296372935396;0;0;0;0;0;3
OLARIA/rio_de_janeiro;-22.9068;-43.1729;0.0014980113764755;0;2;0;0;0;0
POUSO ALEGRE/minas_gerais;-22.2303;-45.9336;0.0014865707825418;0;2;0;0;2;2
RIO BRANCO/sao_paulo;-22.7419;-47.3333;0.0014400778363986;0;2;0;1;2;2
MARICÁ/rio_de_janeiro;-22.9225;-42.8186;0.0014119975299205;0;2;0;0;0;0
PORTUGUESA/sao_paulo;-23.5505;-46.6333;0.0013978052807153;0;2;0;0;2;2
BOA ESPORTE/minas_gerais;-21.56;-45.4333;0.0013972583762516;0;2;0;0;2;2
DUQUE DE CAXIAS/rio_de_janeiro;-22.7833;-43.3167;0.0013564060199844;0;2;0;0;0;0
SAMPAIO CORRÊA/rio_de_janeiro;-22.9244;-42.5075;0.0013309052226963;0;2;0;0;0;0
GRÊMIO SÃO-CARLENSE/sao_paulo;-22.0175;-47.8861;0.0013245612659184;0;2;0;1;2;2
SANTO ANDRÉ/sao_paulo;-23.6653;-46.5325;0.0013140517568225;0;2;0;0;2;2
BELFORD ROXO/rio_de_janeiro;-22.7614;-43.4039;0.0013057290367494;0;2;0;0;2;0
GONÇALENSE/rio_de_janeiro;-22.8214;-43.0503;0.0012836503130231;0;2;0;0;0;0
AMERICA/rio_de_janeiro;-22.9068;-43.1729;0.0012642379026755;0;2;0;0;0;0
NOVA VENÉCIA/espirito_santo;-18.7056;-40.3933;0.0012613819179304;0;0;0;0;0;3
ÁGUA SANTA/sao_paulo;-23.6858;-46.6219;0.0012592376652644;0;2;0;0;2;2
SÃO JOSÉ/sao_paulo;-23.2237;-45.9009;0.0012539653998586;0;2;0;0;2;2
PADUANO/rio_de_janeiro;-21.5375;-42.1833;0.0012530552139188;0;2;0;0;0;0
BETIM FUTEBOL/minas_gerais;-19.9733;-44.2014;0.0012471893526934;0;2;0;0;2;3
UBERLÂNDIA/minas_gerais;-18.9186;-48.2772;0.001236289044011;0;2;0;1;1;1
AMERICANO/rio_de_janeiro;-21.7627;-41.3275;0.001230892810976;0;2;0;0;0;3
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.3225;-41.1353;0.0012279261620599;0;2;0;0;0;3
AUDAX RIO/rio_de_janeiro;-22.9247;-42.5075;0.0012173413559056;0;2;0;0;0;0
PÉROLAS NEGRAS/rio_de_janeiro;-22.6335;-43.9046;0.0012143658535621;0;2;0;0;2;0
SERRA/espirito_santo;-20.2417;-40.3083;0.0011893102916392;0;0;0;0;0;3
SERRANO/rio_de_janeiro;-22.505;-43.1789;0.0011788286871533;0;2;0;0;0;0
REAL BRASÍLIA/distrito_federal;-15.7939;-47.8828;0.0011787489697917;0;1;0;1;1;1
URT/minas_gerais;-18.5833;-46.5167;0.0011759299599732;0;2;0;1;1;1
ANAPOLINA/goias;-16.3286;-48.9533;0.0011654882249145;0;1;0;1;1;1
RESENDE/rio_de_janeiro;-22.4683;-44.4517;0.0011445239542461;0;2;0;0;2;0
CABOFRIENSE/rio_de_janeiro;-22.8814;-42.025;0.0011348023731454;0;2;0;0;0;0
BOAVISTA/rio_de_janeiro;-22.9247;-42.5086;0.0011272860756729;0;2;0;0;0;0
GRÊMIO ANÁPOLIS/goias;-16.3286;-48.9533;0.001111054644867;0;1;0;1;1;1
CALDENSE/minas_gerais;-21.7847;-46.5633;0.0011107555578329;0;2;0;1;2;2
PORTO VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0011086523118395;0;0;0;0;0;3
UNIVASSOURAS ARTSUL/rio_de_janeiro;-22.755;-43.453;0.0011062303491664;0;2;0;0;2;0
GOIANÉSIA/goias;-15.3167;-49.1256;0.0010960499440517;0;1;0;1;1;1
CA PATROCINENSE/minas_gerais;-18.9417;-46.9936;0.0010840541029451;0;2;0;1;1;1
FRANCANA/sao_paulo;-20.5383;-47.4008;0.0010751196305051;0;2;0;1;2;2
CRAC/goias;-18.1636;-47.9458;0.0010689956562675;0;2;0;1;1;1
BANGU/rio_de_janeiro;-22.9068;-43.1729;0.0010656044149873;0;2;0;0;0;0
IPORÁ/goias;-16.4417;-51.1172;0.0010475695939728;0;1;0;1;1;1
CENTRO OESTE/goias;-16.7036;-49.0953;0.0010443163355622;0;1;0;1;1;1
MONTE AZUL/sao_paulo;-20.7539;-48.6486;0.0010393510708863;0;2;0;1;2;2
VELO CLUBE/sao_paulo;-22.4122;-47.5617;0.0010370636202097;0;2;0;1;2;2
FLAMENGO/sao_paulo;-23.4538;-46.5332;0.0010330478134808;0;2;0;0;2;2
PAULISTA/sao_paulo;-23.1857;-46.8916;0.0010315919951118;0;2;0;0;2;2
BONSUCESSO/rio_de_janeiro;-22.9068;-43.1729;0.00102296438;0;2;0;0;0;0
IPATINGA/minas_gerais;-19.4672;-42.5375;0.0010161477074132;0;2;0;0;0;3
COIMBRA/minas_gerais;-19.9319;-44.0539;0.0010126401730993;0;2;0;0;2;3
ITAPIRENSE/sao_paulo;-22.4358;-46.8217;0.0009895216814525;0;2;0;1;2;2
NACIONAL/sao_paulo;-23.5505;-46.6333;0.0009870971866796;0;2;0;0;2;2
GOYTACAZ/rio_de_janeiro;-21.7627;-41.3275;0.000985752202135;0;2;0;0;0;3
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.5603;-47.4033;0.0009844953744641;0;2;0;1;2;2
