clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
CSA/alagoas;-9.6658;-35.7353;0.004671250961359599;1;2;3
BRUSQUE/santa_catarina;-27.1006;-48.9135;0.004606219239292647;0;0;2
GUARANI/sao_paulo;-22.9056;-47.0608;0.0045334639772402945;0;0;0
SAMPAIO CORRÊA/maranhao;-2.5307;-44.3068;0.004385764314161082;1;2;3
PAYSANDU/para;-1.4558;-48.4902;0.004368616194805164;1;1;1
ABC/rio_grande_do_norte;-5.7945;-35.211;0.00377423563768383;1;2;3
CONFIANÇA/sergipe;-10.9167;-37.05;0.003715489496432808;1;2;3
VOLTA REDONDA/rio_de_janeiro;-22.5181;-44.1014;0.003663900409264559;0;0;0
ITUANO/sao_paulo;-23.2619;-47.2972;0.0035970692266986096;0;0;2
TOMBENSE/minas_gerais;-20.7658;-42.0256;0.003540135040636621;0;0;0
AMAZONAS/amazonas;-3.119;-60.0217;0.00350894583563147;1;1;1
BRASILIENSE/distrito_federal;-15.82667;-48.06083;0.0032651205353282494;0;1;0
FIGUEIRENSE/santa_catarina;-27.5949;-48.5482;0.003105070407139469;0;0;2
AMÉRICA/rio_grande_do_norte;-5.7945;-35.211;0.0030956470274186723;1;2;3
BOTAFOGO/paraiba;-7.115;-34.8642;0.003083160715981263;1;2;3
MANAUS/amazonas;-3.119;-60.0217;0.002970714015079966;1;1;1
YPIRANGA/rio_grande_do_sul;-27.6333;-52.2667;0.00296871704386677;0;0;2
FERROVIÁRIA/sao_paulo;-21.7945;-48.1758;0.0028791070524692257;0;0;2
RETRÔ/pernambuco;-8.0153;-34.9875;0.00282665805819277;1;2;3
NOVA IGUAÇU/rio_de_janeiro;-22.7553;-43.4508;0.0027543116167438922;0;0;0
FERROVIÁRIO/ceara;-3.7172;-38.5433;0.0027433918160506827;1;2;3
SÃO JOSÉ/rio_grande_do_sul;-30.0346;-51.2177;0.0027407258162804324;0;0;2
BRASIL/rio_grande_do_sul;-31.7654;-52.3376;0.0027305352979442228;0;0;2
ALTOS/piaui;-5.0261;-42.4597;0.002666779964781515;1;2;3
MARINGÁ/parana;-23.421;-51.9331;0.0025127597559867244;0;0;2
CAXIAS/rio_grande_do_sul;-29.1678;-51.1794;0.002508059962958127;0;0;2
OPERÁRIO/mato_grosso_do_sul;-20.4486;-54.6291;0.002465271713707708;0;1;2
