clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
AMAZONAS/amazonas;-3.11866;-60.0212;0.0034799504344874;0;2;0;1;2;2
MANAUS/amazonas;-3.11866;-60.0212;0.0029533129381487;0;2;0;1;2;2
TOCANTINÓPOLIS/tocantins;-6.32447;-47.4224;0.0024813729197834;0;2;0;0;0;3
SÃO RAIMUNDO/roraima;2.82384;-60.6753;0.0020700873317;0;2;0;1;2;2
TUNA LUSO/para;-1.4554;-48.4898;0.0016942886399057;0;2;0;0;0;0
TREM/amapa;0.034934;-51.0694;0.001496425377611;0;2;0;0;0;0
MANAUARA/amazonas;-3.11866;-60.0212;0.0014163437175831;0;2;0;1;2;2
NOVA MUTUM/mato_grosso;-13.8344;-56.0728;0.0012747324045686;1;2;0;1;1;1
MIXTO/mato_grosso;-15.601;-56.0974;0.0012560204845007;1;2;0;1;1;1
CAPITAL/tocantins;-10.1844;-48.3336;0.0012364581226745;0;2;0;0;1;3
CASTANHAL/para;-1.29797;-47.9167;0.0012179083782513;0;2;0;0;0;0
INTERPORTO/tocantins;-10.7027;-48.408;0.0011871335055572;0;2;0;0;1;3
CEOV OPERÁRIO/mato_grosso;-15.65;-56.1325;0.0011759193022777;1;2;0;1;1;1
LUVERDENSE/mato_grosso;-13.0588;-55.9042;0.0011669855614398;1;2;0;1;1;1
IMPERATRIZ/maranhao;-5.51847;-47.4777;0.0011437373483458;0;2;0;0;0;3
BELA VISTA/tocantins;-6.1219;-47.9211;0.0011135512713906;0;2;0;0;0;3
NACIONAL/amazonas;-3.11866;-60.0212;0.0011113281456736;0;2;0;1;2;2
HUMAITÁ/acre;-9.58138;-67.5478;0.001109031321404;1;2;0;1;2;1
RIO BRANCO/acre;-9.974;-67.8076;0.0010995165664787;1;2;0;1;2;1
CAMETÁ/para;-2.24295;-49.4979;0.0010139085635711;0;2;0;0;0;0
MACAPÁ/amapa;0.034934;-51.0694;0.0009802018918973;0;2;0;0;0;0
PARAGOMINAS/para;-3.00212;-47.3527;0.0009790907118782;0;2;0;0;0;0
PALMAS/tocantins;-10.1844;-48.3336;0.0009748282831442;0;2;0;0;1;3
BRAGANTINO/para;-1.06126;-46.7826;0.0009722083285549;0;2;0;0;0;0
AGUIA DE MARABA/para;-5.38075;-49.1327;0.0009542912189041;0;2;0;0;0;3
JI-PARANÁ/rondonia;-10.8777;-61.9322;0.0009429126067683;1;2;0;1;2;1
REAL ARIQUEMES/rondonia;-9.90571;-63.0325;0.0009380076554786;1;2;0;1;2;1
SÃO RAIMUNDO/para;-2.43849;-54.6996;0.0009309083911812;0;2;0;0;0;0
SANTOS/amapa;0.034934;-51.0694;0.0009303371429007;0;2;0;0;0;0
CANAÃ/para;-6.495;-49.8731;0.0009266532689157;0;2;0;0;0;3
GALVEZ/acre;-9.974;-67.8076;0.0009189345623347;1;2;0;1;2;1
GAZIN PORTO VELHO/rondonia;-8.76077;-63.8999;0.0009135194335924;1;2;0;1;2;1
ÁGUIA/para;-5.38075;-49.1327;0.0009123191248794;0;2;0;0;0;3
INDEPENDENTE/amapa;-0.0583;-51.1817;0.0008863719410593;0;2;0;0;0;0
GURUPI/tocantins;-11.7279;-49.068;0.0008791954522349;0;2;0;0;1;3
PRINCESA/amazonas;-3.29066;-60.6216;0.0008777100266332;0;2;0;1;2;2
UNIÃO ATLÉTICO/tocantins;-7.1925;-48.2078;0.0008758481995066;0;2;0;0;0;3
SÃO RAIMUNDO/amazonas;-3.11866;-60.0212;0.0008716266339812;0;2;0;1;2;2
SÃO FRANCISCO/para;-2.43849;-54.6996;0.0008542278722195;0;2;0;0;0;0
AMAZÔNIA INDEPENDENTE/para;-2.63609;-54.9374;0.0008494149837162;0;2;0;0;0;0
CAETÉ/para;-1.0536;-46.7656;0.000823384413963;0;2;0;0;0;0
CAPITÃO POÇO/para;-1.7456;-47.0575;0.0008199352199915;0;2;0;0;0;0
YPIRANGA/amapa;0.034934;-51.0694;0.000818720053367;0;2;0;0;0;0
UNIÃO CACOALENSE/rondonia;-11.4343;-61.4562;0.0007940553786814;1;2;0;1;2;1
SANTA ROSA/para;-1.4554;-48.4898;0.0007929227759592;0;2;0;0;0;0
GAS/roraima;2.8233;-60.675;0.0007834267466984;0;2;0;1;2;2
UNIÃO DE RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0007659654766135;1;2;0;1;1;1
FAST CLUBE/amazonas;-3.119;-60.0217;0.0007651273383137;0;2;0;1;2;2
DOM BOSCO/mato_grosso;-15.601;-56.0974;0.0007517220244777;1;2;0;1;1;1
PARAUAPEBAS/para;-6.06781;-49.9037;0.0007441867854349;0;2;0;0;0;3
PARINTINS/amazonas;-2.6283;-56.7358;0.000742229608415;0;2;0;1;2;2
OPERÁRIO/mato_grosso;-15.65;-56.1325;0.0007239035968124;1;2;0;1;1;1
BATALHÃO/tocantins;-10.1844;-48.3336;0.0007091333030901;0;2;0;0;1;3
PORTO VELHO ESPORTE CLUBE/rondonia;-8.76077;-63.8999;0.0007088081987797;1;2;0;1;2;1
ARAGUAÍNA/tocantins;-7.19238;-48.2044;0.0006950185897955;0;2;0;0;0;3
IZABELENSE/para;-1.29686;-48.1606;0.000692935780753;0;2;0;0;0;0
TOCANTINS MIRACEMA/tocantins;-9.56556;-48.393;0.0006920189394519;0;2;0;0;1;3
PINHEIRENSE/para;-1.4554;-48.4898;0.000688555399887;0;2;0;0;0;0
ORATÓRIO/amapa;-0.0383;-51.0632;0.0006885373181046;0;2;0;0;0;0
ATLÉTICO/acre;-9.974;-67.8076;0.0006845834508379;1;2;0;1;2;1
INDEPENDENTE TUCURUÍ/para;-3.7664;-49.6725;0.0006713244650897;0;2;0;0;0;0
INDEPENDÊNCIA/acre;-9.974;-67.8076;0.0006520391645948;1;2;0;1;2;1
ATLÉTICO PARAENSE/para;-1.36002;-48.3421;0.000639662746725;0;2;0;0;0;0
PENAROL/amazonas;-3.13861;-58.4449;0.0006381025470646;0;2;0;1;2;2
ESMAC/para;-1.3653;-48.3725;0.0006261673604632;0;2;0;0;0;0
GUAPORÉ/rondonia;-11.7271;-61.7714;0.0006180690175728;1;2;0;1;2;1
UNIÃO PARAENSE/para;-1.36002;-48.3421;0.0006100008814224;0;2;0;0;0;0
OPERÁRIO/amazonas;-3.29066;-60.6216;0.0006095941286768;0;2;0;1;2;2
ITZ SPORT/maranhao;-5.5264;-47.4819;0.000609285564548;0;2;0;0;0;3
SÃO FRANCISCO/acre;-9.974;-67.8076;0.0006054231637337;1;2;0;1;2;1
BARCELONA/rondonia;-8.7619;-63.9039;0.0006047731353861;1;2;0;1;2;1
SPORT SINOP/mato_grosso;-11.8604;-55.5091;0.0005893832743546;1;2;0;1;1;1
ARAGUACEMA/tocantins;-9.1131;-49.5636;0.000585374805019;0;2;0;0;1;3
SORRISO/mato_grosso;-12.5425;-55.7211;0.0005786133409998;1;2;0;1;1;1
GUARAÍ/tocantins;-8.83543;-48.5114;0.0005648521166215;0;2;0;0;1;3
