clube_id;clube;lat;lon;score;cluster
BOTAFOGO/sao_paulo;Botafogo;-20.4302;-47.8236;0.0040428906347017525;0
LONDRINA/parana;Londrina;-23.304;-51.1691;0.003746851933355181;0
VOLTA REDONDA/rio_de_janeiro;Volta Redonda;-22.5202;-44.0996;0.0037120688940116887;0
ABC/rio_grande_do_norte;Abc;-5.7945;-35.2119;0.003704859133105362;1
CONFIANÇA/sergipe;Confiança;-10.9091;-37.0677;0.003637034306389051;1
ITUANO/sao_paulo;Ituano;-23.2544;-47.2927;0.003574147614584941;0
TOMBENSE/minas_gerais;Tombense;-20.9086;-42.0228;0.003550825947573315;0
AMAZONAS/amazonas;Amazonas;-3.11866;-60.0212;0.0034799504344874767;2
BRASILIENSE/distrito_federal;Brasiliense;-15.8333;-48.0569;0.0034517549690828092;0
SÃO BERNARDO/sao_paulo;São Bernardo;-23.6914;-46.5646;0.003295435733847135;0
FIGUEIRENSE/santa_catarina;Figueirense;-27.5945;-48.5477;0.0032253488350467165;0
YPIRANGA/rio_grande_do_sul;Ypiranga;-27.6364;-52.2697;0.003073438600535385;0
AMÉRICA/rio_grande_do_norte;América;-5.79357;-35.1986;0.0030505174092406518;1
SÃO JOSÉ/rio_grande_do_sul;São José;-30.0318;-51.2065;0.0030043031907027624;0
MANAUS/amazonas;Manaus;-3.11866;-60.0212;0.0029533129381487857;2
FERROVIÁRIA/sao_paulo;Ferroviária;-22.8837;-48.4437;0.0029416406389744993;0
BOTAFOGO/paraiba;Botafogo;-7.11509;-34.8641;0.0029295921000792157;1
RETRÔ/pernambuco;Retrô;-8.02351;-34.9782;0.00279671809966479;1
FERROVIÁRIO/ceara;Ferroviário;-6.12291;-39.8736;0.0027933078655836556;1
GRÊMIO NOVORIZONTINO/sao_paulo;Grêmio Novorizontino;-21.4681;-49.2211;0.002784909560225435;0
NOVA IGUAÇU/rio_de_janeiro;Nova Iguaçu;-22.7556;-43.4603;0.002774549402121175;0
CAXIAS/rio_grande_do_sul;Caxias;-29.1629;-51.1792;0.0026549370888003633;0
ALTOS/piaui;Altos;-5.03888;-42.4612;0.002612327261781846;1
MARINGÁ/parana;Maringá;-23.4205;-51.9333;0.002578842359205984;0
APARECIDENSE/goias;Aparecidense;-16.8198;-49.2469;0.0024971386396225636;0
TOCANTINÓPOLIS/tocantins;Tocantinópolis;-6.32447;-47.4224;0.002481372919783465;2
SANTA CRUZ/pernambuco;Santa Cruz;-8.04666;-34.8771;0.0024487430585053366;1
OPERÁRIO/mato_grosso_do_sul;Operário;-20.4697;-54.6201;0.002338257150985212;0
PORTUGUESA/rio_de_janeiro;Portuguesa;-22.9129;-43.2003;0.002237607803111858;0
CEILÂNDIA/distrito_federal;Ceilândia;-15.8208;-48.1122;0.00220724659270526;0
FLORESTA/ceara;Floresta;-3.71664;-38.5423;0.0022026285183247116;1
BRASIL/rio_grande_do_sul;Brasil;-29.2227;-51.3419;0.0021943704389579075;0
ATHLETIC/minas_gerais;Athletic;-21.1356;-44.2611;0.0021936093993989683;0
CASCAVEL/parana;Cascavel;-24.9573;-53.459;0.002141305571581267;0
NOVORIZONTINO/sao_paulo;Novorizontino;-21.4681;-49.2211;0.0021272065613656965;0
SOUSA/paraiba;Sousa;-6.75148;-38.2311;0.0021248619170207207;1
SÃO RAIMUNDO/roraima;São Raimundo;2.82384;-60.6753;0.002070087331700078;2
SERGIPE/sergipe;Sergipe;-10.9091;-37.0677;0.0020264922369049813;1
REAL NOROESTE/espirito_santo;Real Noroeste;-18.9846;-40.7437;0.0019614613898254383;0
ANÁPOLIS/goias;Anápolis;-16.3281;-48.953;0.0019536576766654443;0
DEMOCRATA/minas_gerais;Democrata;-18.8545;-41.9555;0.0019300879788710552;0
ITABAIANA/sergipe;Itabaiana;-10.6853;-37.4253;0.0019098788170711536;1
COSTA RICA/mato_grosso_do_sul;Costa Rica;-18.5432;-53.1287;0.0018405619094225348;0
PARANÁ/parana;Paraná;-24.0463;-52.378;0.0018043252596468143;0
ASA/alagoas;Asa;-9.75487;-36.6615;0.001793830619478772;1
JUAZEIRENSE/bahia;Juazeirense;-9.41622;-40.5033;0.001750824283447179;1
