clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
BOTAFOGO/sao_paulo;-20.4302;-47.8236;0.0040428906347017525;0;0;0
LONDRINA/parana;-23.304;-51.1691;0.003746851933355181;0;0;3
VOLTA REDONDA/rio_de_janeiro;-22.5202;-44.0996;0.0037120688940116887;0;0;0
ABC/rio_grande_do_norte;-5.7945;-35.2119;0.003704859133105362;1;1;1
CONFIANÇA/sergipe;-10.9091;-37.0677;0.003637034306389051;1;1;1
ITUANO/sao_paulo;-23.2544;-47.2927;0.003574147614584941;0;0;0
TOMBENSE/minas_gerais;-20.9086;-42.0228;0.003550825947573315;0;0;0
AMAZONAS/amazonas;-3.11866;-60.0212;0.0034799504344874767;1;2;2
BRASILIENSE/distrito_federal;-15.8333;-48.0569;0.0034517549690828092;0;0;0
SÃO BERNARDO/sao_paulo;-23.6914;-46.5646;0.003295435733847135;0;0;0
FIGUEIRENSE/santa_catarina;-27.5945;-48.5477;0.0032253488350467165;0;0;3
YPIRANGA/rio_grande_do_sul;-27.6364;-52.2697;0.003073438600535385;0;0;3
AMÉRICA/rio_grande_do_norte;-5.79357;-35.1986;0.0030505174092406518;1;1;1
SÃO JOSÉ/rio_grande_do_sul;-30.0318;-51.2065;0.0030043031907027624;0;0;3
MANAUS/amazonas;-3.11866;-60.0212;0.0029533129381487857;1;2;2
FERROVIÁRIA/sao_paulo;-22.8837;-48.4437;0.0029416406389744993;0;0;0
BOTAFOGO/paraiba;-7.11509;-34.8641;0.0029295921000792157;1;1;1
RETRÔ/pernambuco;-8.02351;-34.9782;0.00279671809966479;1;1;1
FERROVIÁRIO/ceara;-6.12291;-39.8736;0.0027933078655836556;1;1;1
GRÊMIO NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.002784909560225435;0;0;0
NOVA IGUAÇU/rio_de_janeiro;-22.7556;-43.4603;0.002774549402121175;0;0;0
CAXIAS/rio_grande_do_sul;-29.1629;-51.1792;0.0026549370888003633;0;0;3
ALTOS/piaui;-5.03888;-42.4612;0.002612327261781846;1;1;1
MARINGÁ/parana;-23.4205;-51.9333;0.002578842359205984;0;0;3
APARECIDENSE/goias;-16.8198;-49.2469;0.0024971386396225636;0;0;0
TOCANTINÓPOLIS/tocantins;-6.32447;-47.4224;0.002481372919783465;1;2;2
SANTA CRUZ/pernambuco;-8.04666;-34.8771;0.0024487430585053366;1;1;1
OPERÁRIO/mato_grosso_do_sul;-20.4697;-54.6201;0.002338257150985212;0;0;3
PORTUGUESA/rio_de_janeiro;-22.9129;-43.2003;0.002237607803111858;0;0;0
CEILÂNDIA/distrito_federal;-15.8208;-48.1122;0.00220724659270526;0;0;0
FLORESTA/ceara;-3.71664;-38.5423;0.0022026285183247116;1;1;1
BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0021943704389579075;0;0;3
ATHLETIC/minas_gerais;-21.1356;-44.2611;0.0021936093993989683;0;0;0
CASCAVEL/parana;-24.9573;-53.459;0.002141305571581267;0;0;3
NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.0021272065613656965;0;0;0
SOUSA/paraiba;-6.75148;-38.2311;0.0021248619170207207;1;1;1
SÃO RAIMUNDO/roraima;2.82384;-60.6753;0.002070087331700078;1;2;2
SERGIPE/sergipe;-10.9091;-37.0677;0.0020264922369049813;1;1;1
REAL NOROESTE/espirito_santo;-18.9846;-40.7437;0.0019614613898254383;0;0;0
ANÁPOLIS/goias;-16.3281;-48.953;0.0019536576766654443;0;0;0
DEMOCRATA/minas_gerais;-18.8545;-41.9555;0.0019300879788710552;0;0;0
ITABAIANA/sergipe;-10.6853;-37.4253;0.0019098788170711536;1;1;1
COSTA RICA/mato_grosso_do_sul;-18.5432;-53.1287;0.0018405619094225348;0;0;0
