clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
BOTAFOGO/sao_paulo;-20.4302;-47.8236;0.0040428906347017;0;0;0;1;2;2
LONDRINA/parana;-23.304;-51.1691;0.0037468519333551;0;0;3;0;0;0
VOLTA REDONDA/rio_de_janeiro;-22.5202;-44.0996;0.0037120688940116;0;0;0;1;1;1
ITUANO/sao_paulo;-23.2544;-47.2927;0.0035741476145849;0;0;0;1;1;1
TOMBENSE/minas_gerais;-20.9086;-42.0228;0.0035508259475733;0;0;0;1;1;1
BRASILIENSE/distrito_federal;-15.8333;-48.0569;0.0034517549690828;0;0;0;1;2;2
SÃO BERNARDO/sao_paulo;-23.6914;-46.5646;0.0032954357338471;0;0;0;1;1;1
FIGUEIRENSE/santa_catarina;-27.5945;-48.5477;0.0032253488350467;0;0;3;0;0;0
YPIRANGA/rio_grande_do_sul;-27.6364;-52.2697;0.0030734386005353;0;0;3;0;0;0
SÃO JOSÉ/rio_grande_do_sul;-30.0318;-51.2065;0.0030043031907027;0;0;3;0;0;0
FERROVIÁRIA/sao_paulo;-22.8837;-48.4437;0.0029416406389744;0;0;0;1;1;1
GRÊMIO NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.0027849095602254;0;0;0;1;2;2
NOVA IGUAÇU/rio_de_janeiro;-22.7556;-43.4603;0.0027745494021211;0;0;0;1;1;1
CAXIAS/rio_grande_do_sul;-29.1629;-51.1792;0.0026549370888003;0;0;3;0;0;0
MARINGÁ/parana;-23.4205;-51.9333;0.0025788423592059;0;0;3;0;0;0
APARECIDENSE/goias;-16.8198;-49.2469;0.0024971386396225;0;0;0;1;2;2
OPERÁRIO/mato_grosso_do_sul;-20.4697;-54.6201;0.0023382571509852;0;0;3;0;2;3
PORTUGUESA/rio_de_janeiro;-22.9129;-43.2003;0.0022376078031118;0;0;0;1;1;1
CEILÂNDIA/distrito_federal;-15.8208;-48.1122;0.0022072465927052;0;0;0;1;2;2
BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0021943704389579;0;0;3;0;0;0
ATHLETIC/minas_gerais;-21.1356;-44.2611;0.0021936093993989;0;0;0;1;1;1
CASCAVEL/parana;-24.9573;-53.459;0.0021413055715812;0;0;3;0;0;0
NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.0021272065613656;0;0;0;1;2;2
REAL NOROESTE/espirito_santo;-18.9846;-40.7437;0.0019614613898254;0;0;0;1;1;1
ANÁPOLIS/goias;-16.3281;-48.953;0.0019536576766654;0;0;0;1;2;2
DEMOCRATA/minas_gerais;-18.8545;-41.9555;0.001930087978871;0;0;0;1;1;1
COSTA RICA/mato_grosso_do_sul;-18.5432;-53.1287;0.0018405619094225;0;0;0;0;2;3
PARANÁ/parana;-24.0463;-52.378;0.0018043252596468;0;0;3;0;0;0
RIO BRANCO/espirito_santo;-20.3155;-40.3128;0.0016942324063227;0;0;0;1;1;1
GAMA/distrito_federal;-16.0183;-48.0667;0.0016691336618936;0;0;0;1;2;2
OESTE/sao_paulo;-21.5942;-48.8149;0.0016367434403168;0;0;0;1;2;2
MARCÍLIO DIAS/santa_catarina;-26.9101;-48.6705;0.0016286689294381;0;0;3;0;0;0
INTER DE LIMEIRA/sao_paulo;-22.566;-47.397;0.0015700585493262;0;0;0;1;1;1
SÃO LUIZ/rio_grande_do_sul;-28.388;-53.92;0.0015476096700332;0;0;3;0;0;0
JOINVILLE/santa_catarina;-26.3045;-48.8487;0.0015421945248419;0;0;3;0;0;0
VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0015137530192976;0;0;0;1;1;1
POUSO ALEGRE/minas_gerais;-22.2266;-45.9389;0.0014897197660467;0;0;0;1;1;1
OLARIA/rio_de_janeiro;-22.842143012;-43.26699613;0.0014535006704495;0;0;0;1;1;1
GRÊMIO PRUDENTE/sao_paulo;-22.1207;-51.3925;0.0014022931889899;0;0;3;0;2;3
RIO BRANCO/sao_paulo;-22.7374;-47.3331;0.0013811173632273;0;0;0;1;1;1
MARICÁ/rio_de_janeiro;-22.9354;-42.8246;0.001380392690087;0;0;0;1;1;1
PORTUGUESA/sao_paulo;-23.5329;-46.6395;0.0013765291961623;0;0;0;1;1;1
BARRA/santa_catarina;-26.9922;-48.6353;0.0013619129445367;0;0;3;0;0;0
DOURADOS/mato_grosso_do_sul;-22.4136;-54.2335;0.0013548463758366;0;0;3;0;2;3
CAPITAL CF/distrito_federal;-15.8222;-47.9781;0.0013295723182223;0;0;0;1;2;2
CIANORTE/parana;-23.6599;-52.6054;0.0013292291708064;0;0;3;0;0;0
