clube;uf;pagerank_score
Flamengo;RJ;0.017428655532279007
Atlético Mineiro;MG;0.015546540581012663
Palmeiras;SP;0.015338099176286615
Fluminense;RJ;0.014565742900594402
São Paulo;SP;0.014265973382768917
Corinthians;SP;0.01423783596322707
Internacional;RS;0.013249587647907582
Botafogo;RJ;0.013133587880582744
Fortaleza;CE;0.012868839042209222
Grêmio;RS;0.012725749463431774
Athletico Paranaense;PR;0.012242015154177163
Red Bull Bragantino;SP;0.011740239473150763
Bahia;BA;0.011725164394136412
Santos;SP;0.010657531527892243
Atlético Goianiense;GO;0.010543317535586053
Cruzeiro;MG;0.01036930913471017
Vasco Da Gama;RJ;0.010129476420431638
Ceará;CE;0.009832357636703787
América Mineiro;MG;0.009545551938139312
Cuiabá;MT;0.00923152817702116
Juventude;RS;0.008817813665414703
Goiás;GO;0.00847388341351352
Vitória;BA;0.007490916913900894
Coritiba;PR;0.007443678518390938
Sport;PE;0.007393785131174808
Crb;AL;0.00673059680134271
Criciúma;SC;0.006234791343912546
Avaí;SC;0.006152903429662514
Vila Nova;GO;0.005763029003501582
Chapecoense;SC;0.0054190025298436004
Mirassol;SP;0.0053612160594886035
Operário;PR;0.005341096094577661
Ponte Preta;SP;0.0051377287368760275
Remo;PA;0.004772107114393828
Grêmio Novorizontino;SP;0.004738176527150493
Csa;AL;0.004664059902725929
Brusque;SC;0.0046026680871067
Guarani;SP;0.004530424576574155
Sampaio Corrêa;MA;0.004384477450550111
Paysandu;PA;0.0042828746162255306
Náutico;PE;0.004275444315063938
Botafogo;SP;0.004059729392717847
Abc;RN;0.0037746585218798594
Confiança;SE;0.003715445146958253
Volta Redonda;RJ;0.0036566316904885414
Londrina;PR;0.003620499069206661
Ituano;SP;0.003595866267128946
Tombense;MG;0.0035401446627742633
Amazonas;AM;0.0035076410980069772
São Bernardo;SP;0.003328708770795008
Brasiliense;DF;0.003267009900963254
Figueirense;SC;0.0031037927809610946
América;RN;0.0030976833811277877
Botafogo;PB;0.0030804784001810287
Manaus;AM;0.0029734838729107774
Ypiranga;RS;0.0029677242616897256
Ferroviária;SP;0.0028777776138568657
Retrô;PE;0.002829271184347311
Nova Iguaçu;RJ;0.0027565277471377518
Ferroviário;CE;0.002744016451349701
São José;RS;0.0027406223760364466
Brasil;RS;0.002730213136785333
Altos;PI;0.0026702634993903056
Athletic;MG;0.0025501008514253343
Maringá;PR;0.002514253042219529
Caxias;RS;0.002509441400312009
Operário;MS;0.002467707680968449
Aparecidense;GO;0.0024613617890641426
Santa Cruz;PE;0.0024475131095478687
Tocantinópolis;TO;0.0023350202835652595
Portuguesa;RJ;0.00218758454327759
Floresta;CE;0.002165294043419784
Ceilândia;DF;0.0021588873503728878
Sousa;PB;0.002119758052093189
Sergipe;SE;0.0021079066398839103
São Raimundo;RR;0.0020320762242030397
Real Noroeste;ES;0.0019979219770379724
Itabaiana;SE;0.001982774460187427
Anápolis;GO;0.001977997259401869
Cascavel;PR;0.0019640862442997973
Costa Rica;MS;0.0019312314485985525
Democrata;MG;0.001886249764177874
Asa;AL;0.0018258022397609481
Juazeirense;BA;0.0018140208769170587
Jacuipense;BA;0.0017862895602499056
Paraná;PR;0.0017686069231347523
Capital Cf;DF;0.0017334162750755964
Campinense;PB;0.0017296666542099255
Tuna Luso;PA;0.0017279792522138168
Rio Branco;ES;0.0017158950726794933
Gazin Porto Velho;RO;0.0017127640433934293
Lagarto;SE;0.0017053918328739752
Águia De Marabá;PA;0.0016945379571985805
Bahia De Feira;BA;0.0016754069230946371
Oeste;SP;0.0016709952322356632
Treze;PB;0.001668656751222887
Moto Club;MA;0.0016681537211174562
Gama;DF;0.001659980901139014
Maranhão;MA;0.0016388251464944086
União Rondonópolis;MT;0.0016227259511464324
Cianorte;PR;0.0016223384022732814
Ceov Operário;MT;0.0016038977397212825
Trem;AP;0.0015837721550874889
Inter De Limeira;SP;0.0015597296357941237
Vitória;ES;0.0015296372935396589
Olaria;RJ;0.0014980113764755598
Pouso Alegre;MG;0.0014865707825418158
Fluminense;PI;0.0014847365790129645
Ríver;PI;0.0014802114558703846
Grêmio Prudente;SP;0.0014603456629844016
Manauara;AM;0.0014435508699926992
Rio Branco;SP;0.001440077836398621
Atlético;BA;0.0014388848166080634
Dourados;MS;0.001433291682192251
4 De Julho;PI;0.0014306692926858641
Marcílio Dias;SC;0.0014295940067667004
Maricá;RJ;0.0014119975299205815
Portuguesa;SP;0.0013978052807153724
Boa Esporte;MG;0.001397258376251666
São Luiz;RS;0.0013848137123627108
Atlético Cearense;CE;0.0013720294265322523
Iguatu;CE;0.001371202303937944
Duque De Caxias;RJ;0.0013564060199844808
Joinville;SC;0.0013474493058699816
Xv De Piracicaba;SP;0.0013423591160197344
Sampaio Corrêa;RJ;0.0013309052226963413
Grêmio São-Carlense;SP;0.0013245612659184274
Parnahyba;PI;0.001321762998861309
Santo André;SP;0.0013140517568225201
Gramadense;RS;0.0013097831473115767
Xv De Jaú;SP;0.0013067070868171503
Belford Roxo;RJ;0.0013057290367494497
Afogados Da Ingazeira;PE;0.0013052204099629665
Gonçalense;RJ;0.0012836503130231837
Águia Negra;MS;0.0012679857170807972
America;RJ;0.0012642379026755958
Nova Venécia;ES;0.0012613819179304753
Água Santa;SP;0.0012592376652644708
São Bento;SP;0.0012568540410956423
Central;PE;0.0012556732133141026
Princesa;AM;0.0012541813405454628
São José;SP;0.0012539653998586192
Paduano;RJ;0.0012530552139188016
Betim Futebol;MG;0.0012471893526934973
Barra;SC;0.0012391869967435707
Uberlândia;MG;0.0012362890440110546
Taquaritinga;SP;0.0012335944739772788
Americano;RJ;0.0012308928109760395
Rio Branco De Venda Nova;ES;0.0012279261620599257
União Atlético;TO;0.00122532832381047
Globo;RN;0.0012216018138918752
Audax Rio;RJ;0.001217341355905628
Castanhal;PA;0.0012172301330280152
Pérolas Negras;RJ;0.0012143658535621704
Aquidauanense;MS;0.0012063757477187632
Azuriz Futebol;PR;0.0011954432900445403
Serra;ES;0.001189310291639235
Camboriú;SC;0.001185084681492319
Imperatriz;MA;0.0011833680710114432
Serrano;RJ;0.0011788286871533325
Real Brasília;DF;0.001178748969791706
Urt;MG;0.0011759299599732964
Anapolina;GO;0.001165488224914508
Capital;TO;0.001157799820409485
Interporto;TO;0.0011536983790456836
Mixto;MT;0.0011520318293092634
Alecrim;RN;0.0011504425803760365
Novo Hamburgo;RS;0.00114987361500816
Humaitá;AC;0.0011475648915781332
Icasa;CE;0.0011464741668017627
Resende;RJ;0.0011445239542461716
Rio Branco;AC;0.0011391575558353652
Nova Mutum;MT;0.0011369985424231617
Nacional;AM;0.0011366121655720636
Cabofriense;RJ;0.0011348023731454508
Boavista;RJ;0.0011272860756729843
Catanduva;SP;0.0011246407459963512
Hercílio Luz;SC;0.001122562477145958
Falcon;SE;0.0011195665665387408
Maracanã;CE;0.0011188919265609448
Barra;SE;0.0011175922767659517
Grêmio Anápolis;GO;0.001111054644867029
Caldense;MG;0.001110755557832957
Porto Vitória;ES;0.0011086523118395196
Univassouras Artsul;RJ;0.001106230349166458
Vocem;SP;0.001101508953333373
Goianésia;GO;0.001096049944051766
Cruzeiro;RS;0.0010882232971535972
Aimoré;RS;0.0010864994352364954
Ca Patrocinense;MG;0.0010840541029451462
