clube;uf;pagerank_score
Flamengo;RJ;0.0173805191419675
Atlético Mineiro;MG;0.0157785622415216
Palmeiras;SP;0.0152442359322144
Fluminense;RJ;0.0145985402194313
Corinthians;SP;0.0142164830114714
São Paulo;SP;0.0141639313524827
Internacional;RS;0.0132234531710841
Botafogo;RJ;0.0130948895045537
Fortaleza;CE;0.0127697867548499
Athletico Paranaense;PR;0.0124016135402355
Grêmio;RS;0.0123972186250893
Bahia;BA;0.0117061675907062
Red Bull Bragantino;SP;0.0116798679945612
Santos;SP;0.0106149770860648
Atlético Goianiense;GO;0.0104129515463286
Cruzeiro;MG;0.0103522966429007
Ceará;CE;0.0097511091535891
Cuiabá;MT;0.0093851585992467
Vasco Da Gama;RJ;0.00934821436961
Juventude;RS;0.0086693062127045
América;MG;0.0086489628527834
Goiás;GO;0.0083717720066987
Coritiba;PR;0.00741452269729
Vitória;BA;0.0074031117452962
Sport;PE;0.0073657534604409
Crb;AL;0.006585938660326
Criciúma;SC;0.0062434478123631
Avaí;SC;0.0061592773889155
Vila Nova;GO;0.005678788973597
Chapecoense;SC;0.0053581807551236
Mirassol;SP;0.0053289499688012
Ponte Preta;SP;0.0050529501221702
Remo;PA;0.0048252618787744
Grêmio Novorizontino;SP;0.0047378580193633
Brusque;SC;0.0046289307341582
Csa;AL;0.0046195407714644
Guarani;SP;0.0044656207830615
Operário;PR;0.0043910474631725
Paysandu;PA;0.0043591880948856
Sampaio Corrêa;MA;0.004306544722508
Náutico;PE;0.0042566018983925
Botafogo;SP;0.0040306204113103
Londrina;PR;0.0037602404492367
Abc;RN;0.0037147255927054
Volta Redonda;RJ;0.003708699866413
Tombense;MG;0.0036630556928085
Confiança;SE;0.0036413139127059
Ituano;SP;0.0035797393354786
Brasiliense;DF;0.003458287300914
Amazonas;AM;0.0034552812611179
São Bernardo;SP;0.003312692841023
Figueirense;SC;0.0032394771334743
Ypiranga;RS;0.0030803896690139
América;RN;0.0030529091914095
São José;RS;0.0030108254573207
Manaus;AM;0.0029605038111585
Botafogo;PB;0.0029335631541156
Ferroviária;SP;0.002863204999985
Retrô;PE;0.0028012439601082
Ferroviário;CE;0.0027944787795997
Nova Iguaçu;RJ;0.0027819289288253
Caxias;RS;0.0026611204270331
Altos;PI;0.0025957931999419
Maringá;PR;0.0025780479739064
Aparecidense;GO;0.0024990623685702
Tocantinópolis;TO;0.0024835534512443
Santa Cruz;PE;0.0024474246008826
Operário;MS;0.002345084992237
Athletic;MG;0.0022448238588781
Portuguesa;RJ;0.0022412323639285
Floresta;CE;0.002209785517867
Ceilândia;DF;0.0022079145935202
Brasil;RS;0.0021961863386584
Cascavel;PR;0.0021736606130436
Sousa;PB;0.0021297213748836
São Raimundo;RR;0.0020734729122674
Sergipe;SE;0.0020298703172287
Democrata;MG;0.0020007958963793
Real Noroeste;ES;0.0019669113935761
Anápolis;GO;0.0019594842318658
Itabaiana;SE;0.0019140787194123
Costa Rica;MS;0.0018442501678167
Paraná;PR;0.0018045740518119
Asa;AL;0.0017969101744877
Juazeirense;BA;0.0017530296077097
Jacuipense;BA;0.0017492290167404
Campinense;PB;0.0017394354264526
Tuna Luso;PA;0.001708209130906
Rio Branco;ES;0.0016982394076472
Treze;PB;0.0016787394708074
Gama;DF;0.0016746521013864
Bahia De Feira;BA;0.0016378841695669
Oeste;SP;0.0016371990565649
Lagarto;SE;0.0016328541373874
Marcílio Dias;SC;0.0016324962026338
Moto Club;MA;0.0016181265335106
Maranhão;MA;0.0015836355586901
Inter De Limeira;SP;0.0015635994492244
São Luiz;RS;0.001551216375521
Joinville;SC;0.0015481379848931
Vitória;ES;0.0015142833006812
Pouso Alegre;MG;0.0015009150698656
Trem;AP;0.0015003453940737
Olaria;RJ;0.0014577794407592
