clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
NÁUTICO;PE;Recife;-8.04666;-34.8771;2611606.0;130;103;114;0.0042566018983925;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
BOTAFOGO;SP;Guará;-20.4302;-47.8236;3517703.0;254;248;382;0.0040306204113103;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
LONDRINA;PR;Londrina;-23.304;-51.1691;4113700.0;119;119;135;0.0037602404492367;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ABC;RN;Natal;-5.7945;-35.2119;2408102.0;312;244;196;0.0037147255927054;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
VOLTA REDONDA;RJ;Volta Redonda;-22.5202;-44.0996;3306305.0;294;218;280;0.003708699866413;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TOMBENSE;MG;Tombos;-20.9086;-42.0228;3169208.0;240;250;258;0.0036630556928085;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CONFIANÇA;SE;Aracaju;-10.9091;-37.0677;2800308.0;125;72;107;0.0036413139127059;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
ITUANO;SP;Itu;-23.2544;-47.2927;3523909.0;288;260;324;0.0035797393354786;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BRASILIENSE;DF;Brasília;-15.8333;-48.0569;5300108.0;122;47;46;0.003458287300914;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
AMAZONAS;AM;Manaus;-3.11866;-60.0212;1302603.0;105;64;78;0.0034552812611179;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
SÃO BERNARDO;SP;São Bernardo do Campo;-23.6914;-46.5646;3548708.0;184;127;123;0.003312692841023;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FIGUEIRENSE;SC;Florianópolis;-27.5945;-48.5477;4205407.0;282;260;278;0.0032394771334743;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
YPIRANGA;RS;Erechim;-27.6364;-52.2697;4307005.0;270;208;230;0.0030803896690139;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
AMÉRICA;RN;Natal;-5.79357;-35.1986;2408102.0;320;174;130;0.0030529091914095;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
SÃO JOSÉ;RS;Porto Alegre;-30.0318;-51.2065;4314902.0;272;218;244;0.0030108254573207;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
MANAUS;AM;Manaus;-3.11866;-60.0212;1302603.0;86;70;61;0.0029605038111585;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
BOTAFOGO;PB;João Pessoa;-7.11509;-34.8641;2507507.0;86;84;52;0.0029335631541156;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
FERROVIÁRIA;SP;Botucatu;-22.8837;-48.4437;3507506.0;255;246;185;0.002863204999985;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
