clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;clube;uf_slug;uf;pos
GUARANI/sao_paulo;-22.9056;-47.0608;0.0045304245765741;0;2;0;Guarani;sao_paulo;SP;1
VOLTA REDONDA/rio_de_janeiro;-22.5181;-44.1014;0.0036566316904885;0;2;0;Volta Redonda;rio_de_janeiro;RJ;2
TOMBENSE/minas_gerais;-20.7658;-42.0256;0.0035401446627742;0;2;0;Tombense;minas_gerais;MG;3
BRASILIENSE/distrito_federal;-15.82667;-48.06083;0.0032670099009632;0;1;0;Brasiliense;distrito_federal;DF;4
NOVA IGUAÇU/rio_de_janeiro;-22.7553;-43.4508;0.0027565277471377;0;2;0;Nova Iguaçu;rio_de_janeiro;RJ;5
APARECIDENSE/goias;-16.8233;-49.2442;0.0024613617890641;0;1;0;Aparecidense;goias;GO;6
PORTUGUESA/rio_de_janeiro;-22.9068;-43.1729;0.0021875845432775;0;2;0;Portuguesa;rio_de_janeiro;RJ;7
CEILÂNDIA/distrito_federal;-15.8267;-48.1033;0.0021588873503728;0;1;0;Ceilândia;distrito_federal;DF;8
REAL NOROESTE/espirito_santo;-18.9817;-40.7333;0.0019979219770379;0;0;0;Real Noroeste;espirito_santo;ES;9
ANÁPOLIS/goias;-16.3286;-48.9533;0.0019779972594018;0;1;0;Anápolis;goias;GO;10
DEMOCRATA/minas_gerais;-18.8528;-41.9478;0.0018862497641778;0;0;0;Democrata;minas_gerais;MG;11
CAPITAL CF/distrito_federal;-15.7939;-47.8828;0.0017334162750755;0;1;0;Capital Cf;distrito_federal;DF;12
RIO BRANCO/espirito_santo;-20.3155;-40.3128;0.0017158950726794;0;0;0;Rio Branco;espirito_santo;ES;13
GAMA/distrito_federal;-16.0153;-48.0653;0.001659980901139;0;1;0;Gama;distrito_federal;DF;14
INTER DE LIMEIRA/sao_paulo;-22.5603;-47.4033;0.0015597296357941;0;2;0;Inter De Limeira;sao_paulo;SP;15
VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0015296372935396;0;0;0;Vitória;espirito_santo;ES;16
OLARIA/rio_de_janeiro;-22.9068;-43.1729;0.0014980113764755;0;2;0;Olaria;rio_de_janeiro;RJ;17
POUSO ALEGRE/minas_gerais;-22.2303;-45.9336;0.0014865707825418;0;2;0;Pouso Alegre;minas_gerais;MG;18
RIO BRANCO/sao_paulo;-22.7419;-47.3333;0.0014400778363986;0;2;0;Rio Branco;sao_paulo;SP;19
MARICÁ/rio_de_janeiro;-22.9225;-42.8186;0.0014119975299205;0;2;0;Maricá;rio_de_janeiro;RJ;20
PAYSANDU/para;-1.4558;-48.4902;0.0042828746162255;1;1;1;Paysandu;para;PA;1
AMAZONAS/amazonas;-3.119;-60.0217;0.0035076410980069;1;1;1;Amazonas;amazonas;AM;2
MANAUS/amazonas;-3.119;-60.0217;0.0029734838729107;1;1;1;Manaus;amazonas;AM;3
TOCANTINÓPOLIS/tocantins;-6.3297;-47.4767;0.0023350202835652;1;1;1;Tocantinópolis;tocantins;TO;4
SÃO RAIMUNDO/roraima;2.8236;-60.6753;0.002032076224203;1;1;1;São Raimundo;roraima;RR;5
TUNA LUSO/para;-1.4558;-48.4902;0.0017279792522138;1;1;1;Tuna Luso;para;PA;6
GAZIN PORTO VELHO/rondonia;-8.7619;-63.9039;0.0017127640433934;0;1;1;Gazin Porto Velho;rondonia;RO;7
ÁGUIA DE MARABÁ/para;-5.3556;-49.1122;0.0016945379571985;1;1;1;Águia De Marabá;para;PA;8
CEOV OPERÁRIO/mato_grosso;-15.6536;-56.1333;0.0016038977397212;0;1;1;Ceov Operário;mato_grosso;MT;9
