clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4;clube;uf;pos
BRAGANTINO/para;-1.06126;-46.7826;0.0009722083285549;0;2;0;0;0;0;Bragantino;PA;1
SÃO RAIMUNDO/para;-2.43849;-54.6996;0.0009309083911812;0;2;0;0;0;0;São Raimundo;PA;2
SANTOS/amapa;0.034934;-51.0694;0.0009303371429007;0;2;0;0;0;0;Santos;AP;3
INDEPENDENTE/amapa;-0.0583;-51.1817;0.0008863719410593;0;2;0;0;0;0;Independente;AP;4
SÃO FRANCISCO/para;-2.43849;-54.6996;0.0008542278722195;0;2;0;0;0;0;São Francisco;PA;5
AMAZÔNIA INDEPENDENTE/para;-2.63609;-54.9374;0.0008494149837162;0;2;0;0;0;0;Amazônia Independente;PA;6
CAETÉ/para;-1.0536;-46.7656;0.000823384413963;0;2;0;0;0;0;Caeté;PA;7
CAPITÃO POÇO/para;-1.7456;-47.0575;0.0008199352199915;0;2;0;0;0;0;Capitão Poço;PA;8
YPIRANGA/amapa;0.034934;-51.0694;0.000818720053367;0;2;0;0;0;0;Ypiranga;AP;9
SANTA ROSA/para;-1.4554;-48.4898;0.0007929227759592;0;2;0;0;0;0;Santa Rosa;PA;10
IZABELENSE/para;-1.29686;-48.1606;0.000692935780753;0;2;0;0;0;0;Izabelense;PA;11
PINHEIRENSE/para;-1.4554;-48.4898;0.000688555399887;0;2;0;0;0;0;Pinheirense;PA;12
ORATÓRIO/amapa;-0.0383;-51.0632;0.0006885373181046;0;2;0;0;0;0;Oratório;AP;13
INDEPENDENTE TUCURUÍ/para;-3.7664;-49.6725;0.0006713244650897;0;2;0;0;0;0;Independente Tucuruí;PA;14
JI-PARANÁ/rondonia;-10.8777;-61.9322;0.0009429126067683;1;2;0;1;2;1;Ji-Paraná;RO;1
REAL ARIQUEMES/rondonia;-9.90571;-63.0325;0.0009380076554786;1;2;0;1;2;1;Real Ariquemes;RO;2
GALVEZ/acre;-9.974;-67.8076;0.0009189345623347;1;2;0;1;2;1;Galvez;AC;3
GAZIN PORTO VELHO/rondonia;-8.76077;-63.8999;0.0009135194335924;1;2;0;1;2;1;Gazin Porto Velho;RO;4
UNIÃO CACOALENSE/rondonia;-11.4343;-61.4562;0.0007940553786814;1;2;0;1;2;1;União Cacoalense;RO;5
UNIÃO DE RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0007659654766135;1;2;0;1;1;1;União De Rondonópolis;MT;6
DOM BOSCO/mato_grosso;-15.601;-56.0974;0.0007517220244777;1;2;0;1;1;1;Dom Bosco;MT;7
OPERÁRIO/mato_grosso;-15.65;-56.1325;0.0007239035968124;1;2;0;1;1;1;Operário;MT;8
PORTO VELHO ESPORTE CLUBE/rondonia;-8.76077;-63.8999;0.0007088081987797;1;2;0;1;2;1;Porto Velho Esporte Clube;RO;9
ATLÉTICO/acre;-9.974;-67.8076;0.0006845834508379;1;2;0;1;2;1;Atlético;AC;10
INDEPENDÊNCIA/acre;-9.974;-67.8076;0.0006520391645948;1;2;0;1;2;1;Independência;AC;11
GUAPORÉ/rondonia;-11.7271;-61.7714;0.0006180690175728;1;2;0;1;2;1;Guaporé;RO;12
SÃO FRANCISCO/acre;-9.974;-67.8076;0.0006054231637337;1;2;0;1;2;1;São Francisco;AC;13
