clube;jogos_fora;distancia_km;tempo_h
AMAZONAS;9;56595.61317927171;158.4119223907563
BOTAFOGO;10;48926.17484409771;163.831846694011
PAYSANDU;9;46124.7442986681;157.19061051222403
MARANHÃO;10;44162.82738086637;147.9034423371941
FLORESTA;9;42956.914929034225;153.74400743907057
SANTA CRUZ;10;38389.04167491554;139.29318398253335
ITABAIANA;10;37615.8451514548;149.29778930042963
CAXIAS;9;35361.5527414754;136.16771653795539
CONFIANÇA;9;35201.974802513316;138.30710300314163
YPIRANGA;9;34338.452306522195;153.3731989387083
FIGUEIRENSE;10;32602.596598316875;145.4538529701183
BARRA;10;31992.15872037868;145.21698095602892
ANÁPOLIS;10;31344.939836954145;151.74536096285937
MARINGÁ;10;31339.093311566467;158.1379878616803
BRUSQUE;9;30377.117846889927;139.2317565586124
INTER DE LIMEIRA;10;27682.483157732448;137.78924039161
ITUANO;10;26904.06272944489;125.05576127291722
VOLTA REDONDA;9;26602.593586539708;138.16898812206352
GUARANI;9;26338.520353748474;132.7312690255189
FERROVIÁRIA;9;25693.768205224667;118.09597647875306
