clube;liga;jogos_fora;distancia_km;tempo_h
PAYSANDU/para;Serie C (Macro 1);19;53769.831193957725;253.12467174244713
AMAZONAS/amazonas;Serie C (Macro 1);19;48649.92565026029;233.97974889615867
ANÁPOLIS/goias;Serie C (Macro 0);19;33012.177784557665;220.20077417514156
ITUANO/sao_paulo;Serie C (Macro 2);19;30956.895180660085;254.24990828138064
CAXIAS/rio_grande_do_sul;Serie C (Macro 2);19;30076.209752120812;249.34326674570656
FERROVIÁRIA/sao_paulo;Serie C (Macro 2);19;29286.969631509965;244.0067885116097
FLORESTA/ceara;Serie C (Macro 3);19;28741.80842074074;256.14342619259264
FIGUEIRENSE/santa_catarina;Serie C (Macro 2);19;28224.052703172405;260.5738380178544
YPIRANGA/rio_grande_do_sul;Serie C (Macro 2);19;27315.929655888784;283.30823134763875
BRUSQUE/santa_catarina;Serie C (Macro 2);19;27129.202607553576;292.282775009442
INTER DE LIMEIRA/sao_paulo;Serie C (Macro 0);19;27032.805686291398;234.7443326911976
GUARANI/sao_paulo;Serie C (Macro 0);19;25201.103400222735;220.85793966694501
VOLTA REDONDA/rio_de_janeiro;Serie C (Macro 0);19;24396.931101946902;241.02185798854472
MARINGÁ/parana;Serie C (Macro 2);19;23254.555163416513;261.8241354264929
ITABAIANA/sergipe;Serie C (Macro 3);19;21638.44244621294;211.53268794665505
BOTAFOGO/paraiba;Serie C (Macro 3);19;21595.747095004306;237.0101732576443
CONFIANÇA/sergipe;Serie C (Macro 3);19;21145.744017591678;220.10952813310067
SANTA CRUZ/pernambuco;Serie C (Macro 3);19;20798.348262586802;212.844333522678
BARRA/santa_catarina;Serie D (Macro 2 | Sub 2);17;20578.962237417345;250.6035687967717
MARANHÃO/maranhao;Serie D (Macro 3 | Sub 0);17;19743.486675945023;210.589441261598
