visitante;mandante;liga;modo;dist_ida_volta_km;tempo_ida_volta_h;detalhes
AMAZONAS/amazonas;PAYSANDU/para;Serie C (Macro 1);FLIGHT;3039.4;12.7;Voo MAO->BEL (1495km). Ônibus t1:13km, t3:11km.
AMAZONAS/amazonas;MANAUS/amazonas;Serie C (Macro 1);LOCAL;0.0;0.0;Mesma coordenada. Custo zero.
AMAZONAS/amazonas;TOCANTINÓPOLIS/tocantins;Serie C (Macro 1);FLIGHT;3524.2;16.5;Voo MAO->IMP (1638km). Ônibus t1:13km, t3:111km.
AMAZONAS/amazonas;SÃO RAIMUNDO/roraima;Serie C (Macro 1);ROAD;1488.1;23.2;Ônibus: 744km em 11.6h.
AMAZONAS/amazonas;TUNA LUSO/para;Serie C (Macro 1);FLIGHT;3039.4;12.7;Voo MAO->BEL (1495km). Ônibus t1:13km, t3:11km.
AMAZONAS/amazonas;GAZIN PORTO VELHO/rondonia;Serie C (Macro 1);FLIGHT;1785.6;11.2;Voo MAO->PVH (872km). Ônibus t1:13km, t3:8km.
AMAZONAS/amazonas;CEOV OPERÁRIO/mato_grosso;Serie C (Macro 1);FLIGHT;3391.5;12.9;Voo MAO->CGB (1679km). Ônibus t1:13km, t3:3km.
AMAZONAS/amazonas;TREM/amapa;Serie C (Macro 1);FLIGHT;2458.9;11.7;Voo MAO->MCP (1214km). Ônibus t1:13km, t3:2km.
AMAZONAS/amazonas;MANAUARA/amazonas;Serie C (Macro 1);LOCAL;0.0;0.0;Mesma coordenada. Custo zero.
AMAZONAS/amazonas;PRINCESA/amazonas;Serie C (Macro 1);ROAD;203.0;3.3;Ônibus: 102km em 1.6h.
AMAZONAS/amazonas;CASTANHAL/para;Serie C (Macro 1);FLIGHT;3165.3;14.8;Voo MAO->BEL (1495km). Ônibus t1:13km, t3:74km.
AMAZONAS/amazonas;UNIÃO ATLÉTICO/tocantins;Serie C (Macro 1);FLIGHT;3237.0;12.8;Voo MAO->AUX (1597km). Ônibus t1:13km, t3:8km.
AMAZONAS/amazonas;IMPERATRIZ/maranhao;Serie C (Macro 1);FLIGHT;3313.2;12.9;Voo MAO->IMP (1638km). Ônibus t1:13km, t3:5km.
AMAZONAS/amazonas;CAPITAL/tocantins;Serie C (Macro 1);FLIGHT;3563.8;13.7;Voo MAO->PMW (1749km). Ônibus t1:13km, t3:20km.
AMAZONAS/amazonas;INTERPORTO/tocantins;Serie C (Macro 1);FLIGHT;3641.3;14.7;Voo MAO->PMW (1749km). Ônibus t1:13km, t3:59km.
AMAZONAS/amazonas;MIXTO/mato_grosso;Serie C (Macro 1);FLIGHT;3401.4;13.0;Voo MAO->CGB (1679km). Ônibus t1:13km, t3:8km.
AMAZONAS/amazonas;HUMAITÁ/acre;Serie C (Macro 1);FLIGHT;2806.6;14.5;Voo MAO->RBR (1323km). Ônibus t1:13km, t3:68km.
AMAZONAS/amazonas;RIO BRANCO/acre;Serie C (Macro 1);FLIGHT;2711.3;12.6;Voo MAO->RBR (1323km). Ônibus t1:13km, t3:20km.
AMAZONAS/amazonas;NOVA MUTUM/mato_grosso;Serie C (Macro 1);FLIGHT;3879.9;20.6;Voo MAO->CGB (1679km). Ônibus t1:13km, t3:247km.
ANÁPOLIS/goias;GUARANI/sao_paulo;Serie C (Macro 0);FLIGHT;1833.6;12.5;Voo GYN->VCP (850km). Ônibus t1:50km, t3:18km.
ANÁPOLIS/goias;VOLTA REDONDA/rio_de_janeiro;Serie C (Macro 0);FLIGHT;2517.9;16.2;Voo GYN->RRJ (1073km). Ônibus t1:50km, t3:137km.
ANÁPOLIS/goias;TOMBENSE/minas_gerais;Serie C (Macro 0);FLIGHT;2759.9;19.3;Voo GYN->CAW (1154km). Ônibus t1:50km, t3:176km.
ANÁPOLIS/goias;BRASILIENSE/distrito_federal;Serie C (Macro 0);ROAD;273.9;3.9;Ônibus: 137km em 1.9h.
ANÁPOLIS/goias;NOVA IGUAÇU/rio_de_janeiro;Serie C (Macro 0);FLIGHT;2291.0;13.2;Voo GYN->GIG (1066km). Ônibus t1:50km, t3:30km.
