rodada;visitante;mandante;modo;dist_ida_volta_km;tempo_ida_volta_h;detalhes
1;GUARANI;MARANHÃO;FLIGHT;5308.8;15.9;Voo VCP->SLZ (2623km). Ônibus t1:19km, t3:13km.
1;CAXIAS;BRUSQUE;ROAD;1102.8;14.8;Ônibus: 551km em 7.4h.
1;BARRA;BOTAFOGO;FLIGHT;6089.6;17.2;Voo NVT->JPA (3014km). Ônibus t1:15km, t3:16km.
1;FERROVIÁRIA;MARINGÁ;ROAD;1027.7;12.9;Ônibus: 514km em 6.5h.
1;ANÁPOLIS;ITUANO;FLIGHT;1884.5;13.0;Voo GYN->VCP (850km). Ônibus t1:50km, t3:43km.
1;FLORESTA;INTER DE LIMEIRA;FLIGHT;5499.4;17.2;Voo FOR->VCP (2669km). Ônibus t1:9km, t3:72km.
1;AMAZONAS;CONFIANÇA;FLIGHT;6222.1;16.8;Voo MAO->AJU (3087km). Ônibus t1:13km, t3:11km.
1;PAYSANDU;VOLTA REDONDA;FLIGHT;5940.3;19.4;Voo BEL->RRJ (2821km). Ônibus t1:12km, t3:137km.
1;ITABAIANA;SANTA CRUZ;ROAD;1047.1;14.3;Ônibus: 524km em 7.2h.
1;FIGUEIRENSE;YPIRANGA;ROAD;1030.4;17.2;Ônibus: 515km em 8.6h.
2;SANTA CRUZ;FLORESTA;FLIGHT;1478.8;10.8;Voo REC->FOR (719km). Ônibus t1:11km, t3:9km.
2;BOTAFOGO;FERROVIÁRIA;FLIGHT;4996.3;15.3;Voo JPA->AQA (2477km). Ônibus t1:16km, t3:6km.
2;MARANHÃO;BARRA;FLIGHT;6333.0;17.3;Voo SLZ->NVT (3139km). Ônibus t1:13km, t3:15km.
2;BRUSQUE;PAYSANDU;FLIGHT;6594.9;18.4;Voo NVT->BEL (3245km). Ônibus t1:40km, t3:12km.
2;CONFIANÇA;CAXIAS;FLIGHT;5767.9;16.0;Voo AJU->CXJ (2868km). Ônibus t1:11km, t3:5km.
2;INTER DE LIMEIRA;ANÁPOLIS;FLIGHT;1941.7;13.7;Voo VCP->GYN (850km). Ônibus t1:72km, t3:50km.
2;VOLTA REDONDA;GUARANI;ROAD;748.3;9.2;Ônibus: 374km em 4.6h.
2;YPIRANGA;ITABAIANA;FLIGHT;5897.3;20.2;Voo XAP->AJU (2784km). Ônibus t1:100km, t3:65km.
2;ITUANO;AMAZONAS;FLIGHT;6118.9;17.4;Voo VCP->MAO (3003km). Ônibus t1:43km, t3:13km.
2;MARINGÁ;FIGUEIRENSE;ROAD;1447.8;19.8;Ônibus: 724km em 9.9h.
3;SANTA CRUZ;CONFIANÇA;ROAD;998.4;13.5;Ônibus: 499km em 6.7h.
3;ITUANO;INTER DE LIMEIRA;ROAD;200.9;2.6;Ônibus: 100km em 1.3h.
3;CAXIAS;VOLTA REDONDA;FLIGHT;2678.2;15.2;Voo CXJ->RRJ (1197km). Ônibus t1:5km, t3:137km.
3;BARRA;PAYSANDU;FLIGHT;6544.4;17.4;Voo NVT->BEL (3245km). Ônibus t1:15km, t3:12km.
3;ANÁPOLIS;YPIRANGA;FLIGHT;3095.7;16.2;Voo GYN->XAP (1398km). Ônibus t1:50km, t3:100km.
3;MARANHÃO;AMAZONAS;FLIGHT;4097.7;14.2;Voo SLZ->MAO (2023km). Ônibus t1:13km, t3:13km.
3;ITABAIANA;GUARANI;FLIGHT;4091.8;15.9;Voo AJU->VCP (1963km). Ônibus t1:65km, t3:19km.
3;BOTAFOGO;FIGUEIRENSE;FLIGHT;6244.1;17.2;Voo JPA->FLN (3090km). Ônibus t1:16km, t3:17km.
3;FERROVIÁRIA;FLORESTA;FLIGHT;5202.5;15.4;Voo AQA->FOR (2586km). Ônibus t1:6km, t3:9km.
3;BRUSQUE;MARINGÁ;ROAD;1328.0;18.4;Ônibus: 664km em 9.2h.
4;CONFIANÇA;BRUSQUE;FLIGHT;5019.5;16.5;Voo AJU->NVT (2458km). Ônibus t1:11km, t3:40km.
4;PAYSANDU;ITABAIANA;FLIGHT;3944.4;15.4;Voo BEL->AJU (1896km). Ônibus t1:12km, t3:65km.
4;FLORESTA;BOTAFOGO;ROAD;1293.6;20.1;Ônibus: 647km em 10.1h.
4;VOLTA REDONDA;MARANHÃO;FLIGHT;5494.7;19.0;Voo RRJ->SLZ (2598km). Ônibus t1:137km, t3:13km.
4;AMAZONAS;SANTA CRUZ;FLIGHT;6578.2;17.2;Voo MAO->REC (3265km). Ônibus t1:13km, t3:11km.
4;FIGUEIRENSE;ANÁPOLIS;FLIGHT;2948.6;13.8;Voo FLN->GYN (1408km). Ônibus t1:17km, t3:50km.
4;INTER DE LIMEIRA;BARRA;ROAD;1474.3;19.3;Ônibus: 737km em 9.6h.
4;MARINGÁ;ITUANO;ROAD;1163.3;14.0;Ônibus: 582km em 7.0h.
4;GUARANI;FERROVIÁRIA;ROAD;367.1;4.7;Ônibus: 184km em 2.3h.
4;YPIRANGA;CAXIAS;ROAD;585.2;10.7;Ônibus: 293km em 5.3h.
5;SANTA CRUZ;GUARANI;FLIGHT;4891.6;15.3;Voo REC->VCP (2416km). Ônibus t1:11km, t3:19km.
5;INTER DE LIMEIRA;CONFIANÇA;FLIGHT;4090.6;15.5;Voo VCP->AJU (1963km). Ônibus t1:72km, t3:11km.
5;ANÁPOLIS;FERROVIÁRIA;ROAD;1356.9;17.5;Ônibus: 678km em 8.8h.
5;BRUSQUE;VOLTA REDONDA;FLIGHT;1930.9;15.7;Voo NVT->RRJ (788km). Ônibus t1:40km, t3:137km.
5;CAXIAS;AMAZONAS;FLIGHT;7036.2;17.6;Voo CXJ->MAO (3500km). Ônibus t1:5km, t3:13km.
5;ITABAIANA;MARINGÁ;FLIGHT;5000.3;17.2;Voo AJU->MGF (2419km). Ônibus t1:65km, t3:17km.
5;BOTAFOGO;PAYSANDU;FLIGHT;3806.3;13.9;Voo JPA->BEL (1875km). Ônibus t1:16km, t3:12km.
5;BARRA;FIGUEIRENSE;ROAD;163.6;2.3;Ônibus: 82km em 1.1h.
5;MARANHÃO;FLORESTA;FLIGHT;1532.7;11.0;Voo SLZ->FOR (744km). Ônibus t1:13km, t3:9km.
5;ITUANO;YPIRANGA;FLIGHT;1943.2;14.5;Voo VCP->XAP (829km). Ônibus t1:43km, t3:100km.
6;ANÁPOLIS;PAYSANDU;FLIGHT;4008.2;14.9;Voo GYN->BEL (1942km). Ônibus t1:50km, t3:12km.
6;FLORESTA;ITABAIANA;FLIGHT;2018.0;13.1;Voo FOR->AJU (935km). Ônibus t1:9km, t3:65km.
6;BOTAFOGO;MARANHÃO;FLIGHT;2693.9;12.6;Voo JPA->SLZ (1319km). Ônibus t1:16km, t3:13km.
6;FERROVIÁRIA;VOLTA REDONDA;ROAD;1107.4;13.7;Ônibus: 554km em 6.9h.
6;CAXIAS;BARRA;ROAD;1065.6;13.9;Ônibus: 533km em 7.0h.
6;FIGUEIRENSE;AMAZONAS;FLIGHT;6931.0;17.8;Voo FLN->MAO (3436km). Ônibus t1:17km, t3:13km.
6;CONFIANÇA;ITUANO;FLIGHT;4033.4;14.8;Voo AJU->VCP (1963km). Ônibus t1:11km, t3:43km.
6;YPIRANGA;BRUSQUE;ROAD;965.5;16.2;Ônibus: 483km em 8.1h.
6;GUARANI;MARINGÁ;ROAD;1261.7;15.2;Ônibus: 631km em 7.6h.
6;SANTA CRUZ;INTER DE LIMEIRA;FLIGHT;4997.6;16.5;Voo REC->VCP (2416km). Ônibus t1:11km, t3:72km.
7;MARINGÁ;YPIRANGA;ROAD;1353.7;19.4;Ônibus: 677km em 9.7h.
7;VOLTA REDONDA;SANTA CRUZ;FLIGHT;4610.2;17.8;Voo RRJ->REC (2157km). Ônibus t1:137km, t3:11km.
7;AMAZONAS;FLORESTA;FLIGHT;5547.3;16.0;Voo MAO->FOR (2751km). Ônibus t1:13km, t3:9km.
7;ITABAIANA;FIGUEIRENSE;FLIGHT;5229.2;17.2;Voo AJU->FLN (2533km). Ônibus t1:65km, t3:17km.
7;PAYSANDU;CAXIAS;FLIGHT;7146.3;17.6;Voo BEL->CXJ (3556km). Ônibus t1:12km, t3:5km.
7;BRUSQUE;FERROVIÁRIA;FLIGHT;1388.7;11.8;Voo NVT->AQA (648km). Ônibus t1:40km, t3:6km.
7;BARRA;ANÁPOLIS;FLIGHT;2742.8;13.7;Voo NVT->GYN (1307km). Ônibus t1:15km, t3:50km.
7;ITUANO;GUARANI;ROAD;99.9;1.4;Ônibus: 50km em 0.7h.
7;MARANHÃO;CONFIANÇA;FLIGHT;2853.2;12.6;Voo SLZ->AJU (1403km). Ônibus t1:13km, t3:11km.
7;INTER DE LIMEIRA;BOTAFOGO;FLIGHT;5203.9;17.1;Voo VCP->JPA (2515km). Ônibus t1:72km, t3:16km.
8;GUARANI;BARRA;ROAD;1374.8;18.1;Ônibus: 687km em 9.1h.
8;CAXIAS;MARANHÃO;FLIGHT;7018.3;17.6;Voo CXJ->SLZ (3491km). Ônibus t1:5km, t3:13km.
8;SANTA CRUZ;MARINGÁ;FLIGHT;5788.4;16.6;Voo REC->MGF (2866km). Ônibus t1:11km, t3:17km.
8;ANÁPOLIS;BRUSQUE;FLIGHT;2793.3;14.7;Voo GYN->NVT (1307km). Ônibus t1:50km, t3:40km.
8;FERROVIÁRIA;AMAZONAS;FLIGHT;5660.0;15.9;Voo AQA->MAO (2811km). Ônibus t1:6km, t3:13km.
8;ITABAIANA;INTER DE LIMEIRA;FLIGHT;4197.8;17.1;Voo AJU->VCP (1963km). Ônibus t1:65km, t3:72km.
8;FIGUEIRENSE;CONFIANÇA;FLIGHT;5122.0;15.6;Voo FLN->AJU (2533km). Ônibus t1:17km, t3:11km.
8;YPIRANGA;VOLTA REDONDA;FLIGHT;2872.4;18.0;Voo XAP->RRJ (1199km). Ônibus t1:100km, t3:137km.
8;FLORESTA;PAYSANDU;FLIGHT;2657.7;12.3;Voo FOR->BEL (1308km). Ônibus t1:9km, t3:12km.
8;BOTAFOGO;ITUANO;FLIGHT;5146.6;16.4;Voo JPA->VCP (2515km). Ônibus t1:16km, t3:43km.
9;CONFIANÇA;FLORESTA;FLIGHT;1910.8;11.4;Voo AJU->FOR (935km). Ônibus t1:11km, t3:9km.
9;VOLTA REDONDA;ITABAIANA;FLIGHT;3823.7;18.4;Voo RRJ->AJU (1711km). Ônibus t1:137km, t3:65km.
9;MARINGÁ;BOTAFOGO;FLIGHT;5971.3;17.1;Voo MGF->JPA (2953km). Ônibus t1:17km, t3:16km.
9;ITUANO;CAXIAS;FLIGHT;1928.4;11.9;Voo VCP->CXJ (916km). Ônibus t1:43km, t3:5km.
9;AMAZONAS;GUARANI;FLIGHT;6070.2;16.8;Voo MAO->VCP (3003km). Ônibus t1:13km, t3:19km.
9;FERROVIÁRIA;SANTA CRUZ;FLIGHT;4802.6;14.8;Voo AQA->REC (2385km). Ônibus t1:6km, t3:11km.
9;YPIRANGA;INTER DE LIMEIRA;FLIGHT;2000.4;15.2;Voo XAP->VCP (829km). Ônibus t1:100km, t3:72km.
9;MARANHÃO;ANÁPOLIS;FLIGHT;3912.2;14.9;Voo SLZ->GYN (1894km). Ônibus t1:13km, t3:50km.
9;PAYSANDU;FIGUEIRENSE;FLIGHT;6749.1;17.5;Voo BEL->FLN (3346km). Ônibus t1:12km, t3:17km.
9;BRUSQUE;BARRA;ROAD;84.8;1.6;Ônibus: 42km em 0.8h.
10;CAXIAS;GUARANI;FLIGHT;1879.7;11.3;Voo CXJ->VCP (916km). Ônibus t1:5km, t3:19km.
