origem;destino;dist_reta_km;dist_rod_km;tempo_rod_h
Porto Alegre/RIO_GRANDE_DO_SUL;Curitiba/PARANA;545.22;740.44;9.5
Porto Alegre/RIO_GRANDE_DO_SUL;Caxias do Sul/RIO_GRANDE_DO_SUL;96.16;125.83;1.94
Porto Alegre/RIO_GRANDE_DO_SUL;Chapecó/SANTA_CATARINA;352.73;451.66;6.38
Porto Alegre/RIO_GRANDE_DO_SUL;Florianópolis/SANTA_CATARINA;375.49;455.88;5.61
Porto Alegre/RIO_GRANDE_DO_SUL;Ponta Grossa/PARANA;557.2;853.31;10.98
Porto Alegre/RIO_GRANDE_DO_SUL;Criciúma/SANTA_CATARINA;234.03;279.59;3.53
Porto Alegre/RIO_GRANDE_DO_SUL;Brusque/SANTA_CATARINA;395.65;538.46;6.87
Porto Alegre/RIO_GRANDE_DO_SUL;Pelotas/RIO_GRANDE_DO_SUL;219.73;259.42;3.93
Porto Alegre/RIO_GRANDE_DO_SUL;Erechim/RIO_GRANDE_DO_SUL;285.15;369.39;5.13
Porto Alegre/RIO_GRANDE_DO_SUL;Cascavel/PARANA;604.56;789.72;11.19
Porto Alegre/RIO_GRANDE_DO_SUL;Itajaí/SANTA_CATARINA;427.45;535.06;6.66
Porto Alegre/RIO_GRANDE_DO_SUL;Joinville/SANTA_CATARINA;474.43;614.66;7.68
Porto Alegre/RIO_GRANDE_DO_SUL;Tubarão/SANTA_CATARINA;275.88;320.68;3.96
Porto Alegre/RIO_GRANDE_DO_SUL;Ijuí/RIO_GRANDE_DO_SUL;319.34;408.94;5.5
Porto Alegre/RIO_GRANDE_DO_SUL;Balneário Camboriú/SANTA_CATARINA;421.6;519.91;6.45
Porto Alegre/RIO_GRANDE_DO_SUL;Concórdia/SANTA_CATARINA;319.87;438.11;6.15
Porto Alegre/RIO_GRANDE_DO_SUL;São Leopoldo/RIO_GRANDE_DO_SUL;31.49;35.02;0.59
Porto Alegre/RIO_GRANDE_DO_SUL;Novo Hamburgo/RIO_GRANDE_DO_SUL;39.68;43.34;0.72
Porto Alegre/RIO_GRANDE_DO_SUL;Pato Branco/PARANA;445.66;588.87;8.79
Porto Alegre/RIO_GRANDE_DO_SUL;Jaraguá do Sul/SANTA_CATARINA;446.04;625.53;7.89
Porto Alegre/RIO_GRANDE_DO_SUL;Camboriú/SANTA_CATARINA;418.05;521.66;6.48
Porto Alegre/RIO_GRANDE_DO_SUL;Paranaguá/PARANA;566.98;734.94;9.31
Porto Alegre/RIO_GRANDE_DO_SUL;Rio Grande/RIO_GRANDE_DO_SUL;237.19;320.34;4.85
Porto Alegre/RIO_GRANDE_DO_SUL;São José dos Pinhais/PARANA;536.48;726.75;9.22
Porto Alegre/RIO_GRANDE_DO_SUL;Toledo/PARANA;638.89;825.14;11.71
Porto Alegre/RIO_GRANDE_DO_SUL;Lages/SANTA_CATARINA;261.1;351.62;5.9
Porto Alegre/RIO_GRANDE_DO_SUL;Foz do Iguaçu/PARANA;597.87;781.11;11.73
Porto Alegre/RIO_GRANDE_DO_SUL;Santa Maria/RIO_GRANDE_DO_SUL;253.17;290.03;4.31
Porto Alegre/RIO_GRANDE_DO_SUL;São Borja/RIO_GRANDE_DO_SUL;489.04;584.25;8.07
Porto Alegre/RIO_GRANDE_DO_SUL;Guarapuava/PARANA;515.09;750.9;10.7
Porto Alegre/RIO_GRANDE_DO_SUL;Palhoça/SANTA_CATARINA;363.13;438.71;5.37
Porto Alegre/RIO_GRANDE_DO_SUL;Campo Largo/PARANA;538.66;748.49;9.52
Porto Alegre/RIO_GRANDE_DO_SUL;Blumenau/SANTA_CATARINA;404.44;587.06;7.46
Porto Alegre/RIO_GRANDE_DO_SUL;Santo Ângelo/RIO_GRANDE_DO_SUL;353.1;437.61;6.26
Porto Alegre/RIO_GRANDE_DO_SUL;Gramado/RIO_GRANDE_DO_SUL;80.14;115.44;1.93
Porto Alegre/RIO_GRANDE_DO_SUL;Bento Gonçalves/RIO_GRANDE_DO_SUL;100.31;122.0;1.92
Porto Alegre/RIO_GRANDE_DO_SUL;São José/SANTA_CATARINA;368.77;445.68;5.47
Porto Alegre/RIO_GRANDE_DO_SUL;Nova Veneza/SANTA_CATARINA;228.12;284.85;3.73
Porto Alegre/RIO_GRANDE_DO_SUL;Araucária/PARANA;523.35;748.35;9.48
Porto Alegre/RIO_GRANDE_DO_SUL;Prudentópolis/PARANA;534.89;784.11;10.79
Porto Alegre/RIO_GRANDE_DO_SUL;Sapucaia do Sul/RIO_GRANDE_DO_SUL;23.83;32.42;0.5
Porto Alegre/RIO_GRANDE_DO_SUL;Rio do Sul/SANTA_CATARINA;348.38;480.05;8.22
Porto Alegre/RIO_GRANDE_DO_SUL;União da Vitória/PARANA;421.47;608.33;8.35
Porto Alegre/RIO_GRANDE_DO_SUL;Caçador/SANTA_CATARINA;361.81;585.58;8.25
Porto Alegre/RIO_GRANDE_DO_SUL;Bagé/RIO_GRANDE_DO_SUL;311.92;378.13;5.57
Porto Alegre/RIO_GRANDE_DO_SUL;Santa Cruz do Sul/RIO_GRANDE_DO_SUL;122.77;151.95;2.31
Porto Alegre/RIO_GRANDE_DO_SUL;Rio Pardo/RIO_GRANDE_DO_SUL;112.39;147.6;2.18
Porto Alegre/RIO_GRANDE_DO_SUL;Capão da Canoa/RIO_GRANDE_DO_SUL;119.83;140.57;1.83
Porto Alegre/RIO_GRANDE_DO_SUL;Francisco Beltrão/PARANA;474.35;615.23;8.61
Porto Alegre/RIO_GRANDE_DO_SUL;Esteio/RIO_GRANDE_DO_SUL;20.0;23.04;0.4
Porto Alegre/RIO_GRANDE_DO_SUL;Passo Fundo/RIO_GRANDE_DO_SUL;227.97;288.4;3.88
Porto Alegre/RIO_GRANDE_DO_SUL;Irati/PARANA;508.27;727.81;9.94
Porto Alegre/RIO_GRANDE_DO_SUL;Verê/PARANA;483.83;655.11;9.27
Porto Alegre/RIO_GRANDE_DO_SUL;Canoas/RIO_GRANDE_DO_SUL;13.1;16.89;0.32
Porto Alegre/RIO_GRANDE_DO_SUL;Porto União/SANTA_CATARINA;421.19;609.69;8.39
Porto Alegre/RIO_GRANDE_DO_SUL;Campo Mourão/PARANA;673.28;964.02;13.44
Porto Alegre/RIO_GRANDE_DO_SUL;Venâncio Aires/RIO_GRANDE_DO_SUL;104.48;127.11;1.95
Porto Alegre/RIO_GRANDE_DO_SUL;Curitiba/SERGIPE;545.15;740.61;9.5
Porto Alegre/RIO_GRANDE_DO_SUL;Cachoeirinha/RIO_GRANDE_DO_SUL;15.2;19.05;0.3
Porto Alegre/RIO_GRANDE_DO_SUL;Nova Prata/RIO_GRANDE_DO_SUL;144.03;193.26;3.48
Porto Alegre/RIO_GRANDE_DO_SUL;Marau/RIO_GRANDE_DO_SUL;199.64;270.29;4.08
Porto Alegre/RIO_GRANDE_DO_SUL;Itararé/SAO_PAULO;682.16;1025.8;13.06
Porto Alegre/RIO_GRANDE_DO_SUL;Garibaldi/RIO_GRANDE_DO_SUL;91.64;112.61;1.7
Porto Alegre/RIO_GRANDE_DO_SUL;Imbituba/SANTA_CATARINA;317.56;369.46;4.55
Porto Alegre/RIO_GRANDE_DO_SUL;Carazinho/RIO_GRANDE_DO_SUL;250.09;289.15;3.78
Porto Alegre/RIO_GRANDE_DO_SUL;Vacaria/RIO_GRANDE_DO_SUL;171.35;246.62;4.1
Porto Alegre/RIO_GRANDE_DO_SUL;Viamão/RIO_GRANDE_DO_SUL;19.25;22.41;0.53
Porto Alegre/RIO_GRANDE_DO_SUL;São João Batista/SANTA_CATARINA;382.88;516.31;6.53
Porto Alegre/RIO_GRANDE_DO_SUL;Navegantes/SANTA_CATARINA;428.93;538.28;6.83
Porto Alegre/RIO_GRANDE_DO_SUL;Três Passos/RIO_GRANDE_DO_SUL;389.25;471.4;6.48
Porto Alegre/RIO_GRANDE_DO_SUL;Igrejinha/RIO_GRANDE_DO_SUL;65.71;84.54;1.38
Porto Alegre/RIO_GRANDE_DO_SUL;São Gabriel/RIO_GRANDE_DO_SUL;300.28;329.59;4.69
Porto Alegre/RIO_GRANDE_DO_SUL;Frederico Westphalen/RIO_GRANDE_DO_SUL;365.37;427.44;5.51
Porto Alegre/RIO_GRANDE_DO_SUL;Farroupilha/RIO_GRANDE_DO_SUL;90.31;110.71;1.62
Porto Alegre/RIO_GRANDE_DO_SUL;Cruz Alta/RIO_GRANDE_DO_SUL;278.86;352.64;4.87
Porto Alegre/RIO_GRANDE_DO_SUL;Canoinhas/SANTA_CATARINA;435.16;685.81;9.28
Porto Alegre/RIO_GRANDE_DO_SUL;Orleans/SANTA_CATARINA;263.9;323.38;4.23
Porto Alegre/RIO_GRANDE_DO_SUL;Lajeado/RIO_GRANDE_DO_SUL;96.25;114.46;1.66
Curitiba/PARANA;Rio de Janeiro/RIO_DE_JANEIRO;679.81;841.3;11.11
Curitiba/PARANA;São Paulo/SAO_PAULO;338.91;402.94;5.72
Curitiba/PARANA;Caxias do Sul/RIO_GRANDE_DO_SUL;455.23;576.81;9.87
Curitiba/PARANA;Chapecó/SANTA_CATARINA;381.72;474.36;6.8
Curitiba/PARANA;Florianópolis/SANTA_CATARINA;250.68;301.98;4.2
Curitiba/PARANA;Bragança Paulista/SAO_PAULO;390.04;481.58;6.83
Curitiba/PARANA;Santos/SAO_PAULO;339.02;394.25;5.64
Curitiba/PARANA;Ponta Grossa/PARANA;96.83;113.72;1.7
Curitiba/PARANA;Campinas/SAO_PAULO;358.63;473.83;6.42
Curitiba/PARANA;Criciúma/SANTA_CATARINA;360.15;480.59;6.38
Curitiba/PARANA;São Bernardo do Campo/SAO_PAULO;334.9;406.69;5.95
Curitiba/PARANA;Brusque/SANTA_CATARINA;188.72;240.74;3.57
Curitiba/PARANA;Novo Horizonte/SAO_PAULO;438.06;644.61;8.33
Curitiba/PARANA;Ribeirão Preto/SAO_PAULO;493.98;694.12;8.99
Curitiba/PARANA;Itu/SAO_PAULO;312.71;410.98;6.05
Curitiba/PARANA;Londrina/PARANA;303.9;384.04;5.54
Curitiba/PARANA;Volta Redonda/RIO_DE_JANEIRO;617.11;719.63;9.5
Curitiba/PARANA;Mirassol/SAO_PAULO;511.02;679.23;9.06
Curitiba/PARANA;Erechim/RIO_GRANDE_DO_SUL;385.56;471.59;6.3
Curitiba/PARANA;Araraquara/SAO_PAULO;417.75;617.1;7.98
Curitiba/PARANA;Cascavel/PARANA;425.11;496.65;7.03
Curitiba/PARANA;Itajaí/SANTA_CATARINA;174.43;212.08;3.07
Curitiba/PARANA;Nova Iguaçu/RIO_DE_JANEIRO;661.82;804.75;10.61
Curitiba/PARANA;Joinville/SANTA_CATARINA;106.06;130.79;1.99
Curitiba/PARANA;Barueri/SAO_PAULO;322.8;396.67;5.53
Curitiba/PARANA;São João del-Rei/MINAS_GERAIS;699.18;863.8;12.01
Curitiba/PARANA;Limeira/SAO_PAULO;370.28;529.23;6.99
Curitiba/PARANA;Cianorte/PARANA;390.04;502.91;6.83
Curitiba/PARANA;Maringá/PARANA;349.55;423.44;5.84
Curitiba/PARANA;Tubarão/SANTA_CATARINA;338.76;420.84;5.62
Curitiba/PARANA;Resende/RIO_DE_JANEIRO;590.14;677.52;8.91
Curitiba/PARANA;Pouso Alegre/MINAS_GERAIS;491.11;597.68;8.28
Curitiba/PARANA;Ijuí/RIO_GRANDE_DO_SUL;565.93;716.43;9.93
Curitiba/PARANA;Balneário Camboriú/SANTA_CATARINA;184.71;222.98;3.17
Curitiba/PARANA;Santo André/SAO_PAULO;339.47;410.46;6.03
Curitiba/PARANA;Concórdia/SANTA_CATARINA;340.1;412.93;5.56
Curitiba/PARANA;São Leopoldo/RIO_GRANDE_DO_SUL;514.09;744.92;9.64
Curitiba/PARANA;Sorocaba/SAO_PAULO;282.04;372.21;5.61
Curitiba/PARANA;São José dos Campos/SAO_PAULO;420.43;497.41;6.75
Curitiba/PARANA;Piracicaba/SAO_PAULO;341.99;481.08;6.99
Curitiba/PARANA;Diadema/SAO_PAULO;330.75;399.47;5.77
Curitiba/PARANA;Varginha/MINAS_GERAIS;580.78;709.58;9.64
Curitiba/PARANA;Duque de Caxias/RIO_DE_JANEIRO;672.62;820.4;10.84
Curitiba/PARANA;Piraí/RIO_DE_JANEIRO;627.67;746.62;9.75
Curitiba/PARANA;Novo Hamburgo/RIO_GRANDE_DO_SUL;506.07;753.23;9.77
Curitiba/PARANA;Pato Branco/PARANA;351.9;451.57;5.92
Curitiba/PARANA;Poços de Caldas/MINAS_GERAIS;489.19;640.8;8.54
Curitiba/PARANA;Jaraguá do Sul/SANTA_CATARINA;118.7;160.78;2.5
Curitiba/PARANA;Capivari/SAO_PAULO;323.24;446.97;6.56
