Origem;Destino;Dist_Rod_km;Tempo_Rod_h;Dist_Multi_km;Tempo_Multi_h;Solucao_Multimodal
Porto Alegre (RS);Manaus (AM);4440.9;72.2;3619.2;9.0;Porto Alegre (RS) -> [Bus 10km, 0.3h] -> Aero(POA) -> [Flight 3596km, 8.5h] -> Aero(MAO) -> [Bus 13km, 0.3h] -> Manaus (AM)
Porto Alegre (RS);Volta Redonda (RJ);1444.7;18.5;1408.9;7.8;Porto Alegre (RS) -> [Bus 10km, 0.3h] -> Aero(POA) -> [Flight 1263km, 5.6h] -> Aero(RRJ) -> [Bus 137km, 2.0h] -> Volta Redonda (RJ)
Porto Alegre (RS);Pelotas (RS);259.4;3.9;270.8;4.8;Porto Alegre (RS) -> [Bus 10km, 0.3h] -> Aero(POA) -> [Flight 254km, 4.3h] -> Aero(PET) -> [Bus 7km, 0.2h] -> Pelotas (RS)
Porto Alegre (RS);Mirassol (SP);1361.8;18.3;1209.2;6.0;Porto Alegre (RS) -> [Bus 10km, 0.3h] -> Aero(POA) -> [Flight 1187km, 5.5h] -> Aero(SJP) -> [Bus 13km, 0.2h] -> Mirassol (SP)
Manaus (AM);Volta Redonda (RJ);4139.6;65.8;3423.9;10.3;Manaus (AM) -> [Bus 13km, 0.3h] -> Aero(MAO) -> [Flight 3274km, 8.1h] -> Aero(RRJ) -> [Bus 137km, 2.0h] -> Volta Redonda (RJ)
Manaus (AM);Pelotas (RS);4643.3;75.2;3787.8;9.2;Manaus (AM) -> [Bus 13km, 0.3h] -> Aero(MAO) -> [Flight 3767km, 8.7h] -> Aero(PET) -> [Bus 7km, 0.2h] -> Pelotas (RS)
Manaus (AM);Mirassol (SP);3410.2;56.9;2648.6;7.8;Manaus (AM) -> [Bus 13km, 0.3h] -> Aero(MAO) -> [Flight 2622km, 7.3h] -> Aero(SJP) -> [Bus 13km, 0.2h] -> Mirassol (SP)
Volta Redonda (RJ);Pelotas (RS);1698.3;22.2;1651.1;8.0;Volta Redonda (RJ) -> [Bus 137km, 2.0h] -> Aero(RRJ) -> [Flight 1507km, 5.9h] -> Aero(PET) -> [Bus 7km, 0.2h] -> Pelotas (RS)
Volta Redonda (RJ);Mirassol (SP);737.0;8.9;917.9;7.1;Volta Redonda (RJ) -> [Bus 137km, 2.0h] -> Aero(RRJ) -> [Flight 768km, 5.0h] -> Aero(SJP) -> [Bus 13km, 0.2h] -> Mirassol (SP)
Pelotas (RS);Mirassol (SP);1561.0;21.4;1448.4;6.2;Pelotas (RS) -> [Bus 7km, 0.2h] -> Aero(PET) -> [Flight 1429km, 5.8h] -> Aero(SJP) -> [Bus 13km, 0.2h] -> Mirassol (SP)
