ICAO Aeródromo Origem;ICAO Aeródromo Destino;flights
SBSP;SBRJ;18169
SBRJ;SBSP;18163
SBSP;SBBR;8910
SBBR;SBSP;8862
SBSP;SBCF;8166
SBCF;SBSP;8162
SBSP;SBPA;7927
SBPA;SBSP;7885
SBCT;SBSP;6991
SBSP;SBCT;6986
SBGR;SBPA;6462
SBPA;SBGR;6451
SBGR;SBRF;6058
SBRF;SBGR;5937
SBCF;SBGR;5404
SBGL;SBGR;5346
SBGR;SBCF;5282
SBSP;SBSV;5202
SBGR;SBGL;5196
SBSV;SBSP;5177
SBCT;SBGR;5080
SBGR;SBCT;5047
SBSP;SBFL;5037
SBFL;SBSP;5015
SBGR;SBBR;4981
SBBR;SBGR;4949
SBRJ;SBBR;4324
SBBR;SBRJ;4313
SBGR;SBSV;4301
SBFZ;SBGR;4154
SBSV;SBGR;4148
SBSP;SBRF;3898
SBRF;SBSP;3878
SBGR;SBFZ;3873
SBPA;SBGL;3798
SBGL;SBPA;3786
SBCY;SBGR;3543
SBFL;SBGR;3527
SBGR;SBFL;3517
SBSP;SBGO;3472
SBGO;SBSP;3462
SBGR;SBCY;3429
SBSP;SBNF;3364
SBNF;SBSP;3356
SBGR;SBVT;3276
SBRF;SBGL;3206
SBGL;SBCF;3205
SBVT;SBGR;3199
SBGR;SBMO;3197
SBMO;SBGR;3174
SBCF;SBKP;3171
SBCF;SBGL;3168
SBGL;SBRF;3157
SBKP;SBCF;3125
SBCF;SBBR;3082
SBBR;SBCF;3071
SBGL;SBVT;3066
SBSV;SBGL;3025
SBGR;SBGO;3022
SBGL;SBSV;3004
SBVT;SBGL;2998
SBEG;SBGR;2978
SBGO;SBGR;2910
SBBR;SBKP;2905
SBKP;SBBR;2895
SBGR;SBBE;2887
SBRF;SBBR;2764
SBBR;SBRF;2761
SBGR;SBEG;2742
SBCT;SBKP;2723
SBRJ;SBKP;2645
SBBE;SBGR;2629
SBKP;SBRJ;2620
SBGL;SBKP;2592
SBKP;SBCT;2549
SBGR;SBFI;2527
SBFI;SBGR;2512
SBBR;SBGL;2511
SBKP;SBPA;2491
SBGL;SBBR;2486
SBKP;SBGL;2485
SBPA;SBKP;2480
SBGR;SBNF;2434
SBNF;SBGR;2423
SBSP;SBVT;2415
SBVT;SBSP;2396
SBGL;SBCT;2375
SBGR;SBSG;2365
SBCT;SBGL;2359
SBFZ;SBGL;2358
SBGL;SBFZ;2358
SBKP;SBRF;2356
SBSG;SBGR;2351
SBRF;SBKP;2295
SBSV;SBCF;2281
SBRF;SBCF;2241
SBSV;SBBR;2221
SBBR;SBSV;2216
SBGR;SBCG;2210
SBCG;SBGR;2205
SBCF;SBRF;2188
SBPS;SBGR;2177
SBCF;SBSV;2177
SBGR;SBPS;2161
SBSP;SBFZ;2130
SBFZ;SBSP;2127
SBGR;SBJP;2098
SBKP;SBSV;2096
SBSV;SBKP;2094
SBRF;SBFZ;2085
SBJP;SBGR;2072
SBCF;SBPS;2051
SBPS;SBCF;2046
SBFZ;SBRF;2040
SBEG;SBKP;2029
SBRF;SBSV;1995
SBSV;SBRF;1989
SBKP;SBEG;1954
SBPA;SBCT;1935
SBCT;SBPA;1926
SBSL;SBGR;1905
SBGR;SBAR;1863
SBAR;SBGR;1861
SBBR;SBFZ;1790
SBFZ;SBBR;1781
SBSP;SBPS;1744
SBPS;SBSP;1740
SBCF;SBRJ;1726
SBBR;SBEG;1724
SBRJ;SBCF;1715
SBEG;SBBR;1682
SBFN;SBRF;1659
SBRP;SBKP;1657
SBGR;SBSL;1648
SBSR;SBKP;1645
SBKP;SBSR;1643
SBKP;SBFL;1636
SBKP;SBRP;1630
SBGO;SBKP;1629
SBRF;SBFN;1627
SBCY;SBKP;1626
SBKP;SBGO;1623
SBKP;SBCY;1610
SBFL;SBKP;1605
SBVT;SBCF;1602
SBSP;SBGL;1590
SBGL;SBSP;1590
SBCF;SBVT;1563
SBBR;SBPA;1556
SBBE;SBBR;1556
SBPA;SBBR;1556
SBBR;SBBE;1551
SBKP;SBNF;1488
SBNF;SBKP;1486
SBMK;SBCF;1483
SBCF;SBMK;1482
SBFL;SBGL;1445
SBGL;SBFL;1442
SBRJ;SBGR;1435
SBGR;SBRJ;1431
SBFI;SBGL;1418
SBCF;SBGO;1410
SBGL;SBFI;1410
SBGO;SBCF;1404
SBBR;SBCT;1401
SBGR;SBTE;1400
SBCT;SBBR;1397
SBBE;SBMQ;1384
SBMQ;SBBE;1381
SBCF;SBUL;1352
SBUL;SBCF;1350
SBKP;SBVT;1336
SBGR;SBCH;1327
SBCH;SBGR;1326
SBGR;SBMG;1318
SBSV;SBFZ;1304
SBMG;SBGR;1303
SBGO;SBBR;1296
SBBE;SBEG;1294
SBBR;SBGO;1287
SBIP;SBCF;1277
SBCF;SBIP;1275
SBUL;SBKP;1267
SBKP;SBUL;1263
SBVT;SBKP;1252
SBSP;SBFI;1218
SBFI;SBSP;1218
SBCG;SBKP;1215
SBKP;SBCG;1215
SBSP;SBSR;1198
SBSR;SBSP;1197
SBRP;SBSP;1192
SBTE;SBGR;1186
SBSP;SBRP;1184
SBSP;SBMO;1152
SBKP;SBBE;1151
SBFZ;SBBE;1145
SBFZ;SBSV;1143
SBMO;SBSP;1142
SBBE;SBFZ;1141
SBJP;SBBR;1123
SBBR;SBJP;1122
SBBR;SBCY;1120
SBBR;SBMO;1107
SBCF;SBJR;1105
SBMO;SBBR;1104
SBBE;SBKP;1102
SBCY;SBBR;1099
SBJR;SBCF;1090
SBGR;SBJU;1085
SBJU;SBGR;1080
SBGR;SBPL;1069
SBCT;SBFI;1063
SBPL;SBGR;1063
SBFI;SBCT;1056
SBGR;SBLO;1055
SBTE;SBBR;1050
SBSN;SBBE;1049
SBBR;SBTE;1048
SBIL;SBGR;1046
SBLO;SBGR;1043
SBVC;SBGR;1042
SBKP;SBMG;1040
SBGR;SBVC;1039
SBMG;SBKP;1036
SBGR;SBIL;1034
SBBE;SBSN;1029
SBSP;SBCY;1024
SBEG;SBBE;1023
SBCY;SBSP;1022
SBRF;SBSG;1018
SBGO;SBRF;1012
SBSG;SBRF;1010
SBRF;SBGO;1006
SBBR;SBSL;974
SBCF;SBBE;967
SBSL;SBBR;962
SBBE;SBCF;959
SBGR;SBPJ;955
SBPJ;SBGR;951
SBGR;SBUL;945
SBUL;SBGR;943
